ensg	shChd4	shMcrs1	shLuc
ENSMUSG00000037552	1900.333333333333	1934.0	1814.0
ENSMUSG00000052609	723.3333333333335	967.5	1173.0
ENSMUSG00000040624	459.66666666666674	207.0	602.0
ENSMUSG00000038167	86.33333333333331	141.0	127.5
ENSMUSG00000014782	53.66666666666666	12.0	186.0
ENSMUSG00000039713	1670.0	1268.5	2848.5
ENSMUSG00000060739	9900.333333333334	10505.0	12365.5
ENSMUSG00000020572	4747.666666666667	2240.0	2565.0
ENSMUSG00000038886	279.0	85.0	553.5
ENSMUSG00000028614	2785.666666666666	2476.0	2368.5
ENSMUSG00000066571	1882.666666666667	1510.0	3114.5
ENSMUSG00000001930	337.6666666666667	145.5	522.0
ENSMUSG00000028522	1338.6666666666667	1100.5	764.0
ENSMUSG00000038500	920.0	958.5	709.0
ENSMUSG00000097930	85.0	65.5	70.0
ENSMUSG00000042797	255.66666666666663	354.5	222.0
ENSMUSG00000039952	10354.0	10332.5	19138.0
ENSMUSG00000068566	2491.0	2163.5	1420.0
ENSMUSG00000090086	20.0	39.0	12.5
ENSMUSG00000024142	526.0	498.0	350.0
ENSMUSG00000086782	31.33333333333333	28.0	38.5
ENSMUSG00000048279	335.0	244.0	104.0
ENSMUSG00000090641	39.0	4.0	8.5
ENSMUSG00000048897	3491.0	1373.0	5732.5
ENSMUSG00000025529	972.3333333333335	1161.5	1091.0
ENSMUSG00000012640	409.33333333333326	163.5	351.0
ENSMUSG00000038437	2682.333333333333	1941.5	3564.0
ENSMUSG00000030469	389.66666666666674	324.5	140.5
ENSMUSG00000024212	1243.3333333333333	1805.5	808.5
ENSMUSG00000028496	245.0	174.5	314.5
ENSMUSG00000060862	571.6666666666666	786.0	312.5
ENSMUSG00000022863	554.3333333333334	753.0	1215.0
ENSMUSG00000020423	1319.3333333333333	1041.0	1208.5
ENSMUSG00000036478	1458.333333333333	964.5	1610.5
ENSMUSG00000075046	14.0	0.5	6.0
ENSMUSG00000063895	6364.0	6383.5	9682.5
ENSMUSG00000033054	4301.333333333333	3190.5	4879.0
ENSMUSG00000075271	379.66666666666674	229.5	265.5
ENSMUSG00000033128	2212.333333333333	2171.5	1845.5
ENSMUSG00000020740	2580.333333333333	2529.5	2045.0
ENSMUSG00000025006	322.3333333333333	229.5	544.0
ENSMUSG00000022091	756.0	1121.0	432.0
ENSMUSG00000047907	14.0	13.5	17.5
ENSMUSG00000021217	129.0	97.5	68.0
ENSMUSG00000046982	140.0	247.0	94.5
ENSMUSG00000057265	27.33333333333333	6.5	14.5
ENSMUSG00000042570	1930.333333333333	2331.5	2409.0
ENSMUSG00000032727	515.0	349.5	404.5
ENSMUSG00000021662	715.3333333333335	927.5	1598.0
ENSMUSG00000013736	1584.0	873.0	935.0
ENSMUSG00000036885	554.3333333333334	791.5	665.5
ENSMUSG00000042292	2788.666666666666	5028.0	3007.5
ENSMUSG00000009569	709.3333333333335	958.5	839.5
ENSMUSG00000028063	2739.0	5365.0	2803.0
ENSMUSG00000029093	125.33333333333331	142.5	135.0
ENSMUSG00000056144	51.66666666666666	11.5	30.5
ENSMUSG00000090215	35.0	30.0	24.5
ENSMUSG00000057735	1.3333333333333333	3.0	2.5
ENSMUSG00000024127	992.3333333333335	750.5	905.0
ENSMUSG00000021803	208.33333333333331	182.5	59.0
ENSMUSG00000034918	3.333333333333333	24.5	15.5
ENSMUSG00000028952	540.0	586.5	442.5
ENSMUSG00000020908	46.66666666666666	2.5	206.0
ENSMUSG00000074219	17.333333333333332	10.5	8.5
ENSMUSG00000074228	22.0	2.0	12.0
ENSMUSG00000061455	295.6666666666667	214.0	321.0
ENSMUSG00000030393	371.66666666666674	168.5	139.0
ENSMUSG00000027522	1009.3333333333335	907.0	893.5
ENSMUSG00000027363	2613.0	1282.0	2878.0
ENSMUSG00000028560	4283.666666666667	2799.5	3817.5
ENSMUSG00000073012	66.66666666666667	0.0	0.0
ENSMUSG00000032612	4621.0	6457.5	4472.5
ENSMUSG00000038429	7115.666666666668	6729.5	6349.5
ENSMUSG00000022710	10141.0	4250.0	7625.0
ENSMUSG00000057322	8269.333333333334	6161.5	7044.0
ENSMUSG00000079641	10594.0	7427.0	5079.5
ENSMUSG00000057863	21267.0	18671.5	19947.0
ENSMUSG00000041841	25136.0	24269.5	24809.5
ENSMUSG00000062006	6744.0	4130.5	6482.5
