ensg	ivd ESCs (cardio)	ivd cardiomyocytes	ivd ESCs (mneu)	ivd motor neurons	ivd ESCs (ra)	ivd retinoic acid
ENSMUSG00000074305	1942.0	1029.0	795.0	316.0	706.5	1366.5
ENSMUSG00000040867	71.0	32.0	16.5	952.0	35.5	20.0
ENSMUSG00000092035	2597.0	69784.0	3394.0	6850.5	18009.0	69784.0
ENSMUSG00000019370	5601.0	4194.0	6416.5	13646.5	4707.0	4801.0
ENSMUSG00000023906	192.0	106.0	1472.0	10.0	724.5	6242.0
ENSMUSG00000030835	3537.0	2864.0	2475.0	1273.0	3654.5	6096.0
ENSMUSG00000036959	159.0	1069.0	374.0	589.0	119.0	281.0
ENSMUSG00000047824	1848.0	1883.0	1408.0	1378.0	2046.0	1540.0
ENSMUSG00000002608	800.0	1126.0	916.5	1037.5	1293.0	1297.5
ENSMUSG00000032020	69.0	1179.0	77.5	477.5	38.5	636.0
ENSMUSG00000061544	1630.0	339.0	814.0	367.5	2484.0	579.0
ENSMUSG00000001175	6569.0	3400.0	14691.0	27587.0	8171.5	12267.0
ENSMUSG00000022346	645.0	49.0	1074.5	122.5	793.5	673.5
ENSMUSG00000037197	3557.0	2393.0	3499.5	2331.0	5168.0	3369.5
ENSMUSG00000020224	1512.0	495.0	2234.0	1248.5	2352.5	872.0
ENSMUSG00000024797	703.0	1030.0	743.0	1044.0	742.0	893.5
ENSMUSG00000093726	415.0	364.0	248.0	148.5	349.0	267.5
ENSMUSG00000062210	100.0	550.0	113.0	63.5	57.0	394.0
ENSMUSG00000037169	1165.0	982.0	2119.0	719.5	4930.0	2040.0
ENSMUSG00000038181	253.0	583.0	315.0	489.5	120.5	1089.5
ENSMUSG00000068614	1.0	69791.0	815.5	22.0	19.0	1337.0
ENSMUSG00000042712	2160.0	13564.0	6200.5	4158.0	2138.0	8321.0
ENSMUSG00000079523	8701.0	7408.0	8433.0	26538.0	8021.0	8318.0
ENSMUSG00000036181	66.0	271.0	172.0	39.5	317.0	823.5
ENSMUSG00000043439	8311.0	74.0	4853.5	319.5	7272.0	3078.5
ENSMUSG00000066324	1533.0	8097.0	1955.0	2742.0	2625.0	5295.0
ENSMUSG00000050192	436.0	704.0	743.0	343.0	477.0	259.5
ENSMUSG00000092203	1829.0	1203.0	2534.5	1562.0	2020.0	794.0
ENSMUSG00000035293	1628.0	2647.0	3709.0	1612.5	1602.0	1496.5
ENSMUSG00000086503	76.0	27.0	357.0	31.5	527.0	137.0
ENSMUSG00000070509	27.0	195.0	1273.5	4926.5	158.5	343.0
ENSMUSG00000030603	6209.0	1515.0	7956.0	6113.5	5440.0	4144.5
ENSMUSG00000028647	340.0	234.0	1619.5	257.5	496.5	389.5
ENSMUSG00000006998	10249.0	8112.0	8848.0	10863.5	10822.5	10249.0
ENSMUSG00000028020	507.0	471.0	372.0	567.5	461.0	714.5
ENSMUSG00000051306	605.0	761.0	724.5	958.5	795.0	670.5
ENSMUSG00000104498	995.0	292.0	1542.5	1686.5	1397.0	1057.5
ENSMUSG00000042364	1080.0	2227.0	862.5	2361.5	1925.5	3122.0
ENSMUSG00000029029	370.0	98.0	347.5	295.5	395.5	305.0
ENSMUSG00000021062	521.0	836.0	648.0	296.0	297.0	774.0
ENSMUSG00000075012	117.0	60.0	526.5	1760.0	327.0	219.0
ENSMUSG00000097163	259.0	30.0	1975.5	149.5	648.5	108.0
ENSMUSG00000021549	1836.0	1919.0	1568.0	2584.5	1826.0	1952.0
ENSMUSG00000033126	160.0	96.0	340.5	230.5	233.0	126.5
ENSMUSG00000031438	203.0	699.0	156.0	33.0	357.5	2331.0
ENSMUSG00000040009	39.0	36.0	75.5	732.5	70.5	53.5
ENSMUSG00000062518	2017.0	298.0	3509.0	33.0	4254.5	705.5
ENSMUSG00000097908	864.0	325.0	786.5	138.5	572.0	157.0
ENSMUSG00000020387	278.0	90.0	1166.5	11.5	986.5	77.0
ENSMUSG00000090386	235.0	175.0	302.0	1150.0	118.5	308.5
ENSMUSG00000025410	5181.0	3806.0	3059.5	6014.0	3541.0	5127.0
ENSMUSG00000024767	2360.0	2779.0	4227.5	6687.0	3029.0	2559.0
ENSMUSG00000001288	6118.0	582.0	3306.0	70.5	3723.0	436.5
ENSMUSG00000025574	1636.0	240.0	2793.0	500.5	1145.0	708.0
ENSMUSG00000024597	1242.0	1065.0	605.5	566.5	2366.0	2289.0
ENSMUSG00000034023	3106.0	640.0	1399.5	137.5	1569.5	643.5
ENSMUSG00000055917	1925.0	663.0	1484.5	753.0	1266.5	947.0
ENSMUSG00000004934	1935.0	1195.0	1236.0	1468.0	1450.5	1052.5
ENSMUSG00000036934	435.0	1063.0	391.5	283.5	621.0	440.5
ENSMUSG00000021572	340.0	386.0	450.5	182.0	196.0	183.0
ENSMUSG00000039954	69.0	46.0	46.5	1532.0	60.5	86.5
ENSMUSG00000002679	893.0	530.0	1949.5	859.5	899.0	662.5
ENSMUSG00000037997	130.0	385.0	200.5	1008.0	101.0	185.5
ENSMUSG00000005054	1326.0	718.0	3192.5	639.0	1049.0	1530.0
ENSMUSG00000028184	371.0	2458.0	3537.0	1633.5	556.0	4918.5
ENSMUSG00000029436	373.0	277.0	126.0	255.0	195.5	257.0
ENSMUSG00000022844	297.0	368.0	241.5	104.5	337.0	1957.5
ENSMUSG00000023902	2398.0	26.0	2983.5	0.0	3737.0	363.0
ENSMUSG00000024785	1617.0	492.0	2548.0	302.0	2052.5	1037.0
ENSMUSG00000092225	724.0	55.0	509.5	18.5	779.0	209.0
ENSMUSG00000023104	2476.0	1619.0	3375.0	1964.0	1906.5	1355.5
ENSMUSG00000041712	6746.0	3557.0	7712.5	1783.0	4263.5	1626.5
ENSMUSG00000043671	312.0	425.0	288.0	408.0	282.5	431.5
ENSMUSG00000048012	727.0	190.0	771.0	67.0	596.0	180.0
ENSMUSG00000023020	537.0	550.0	1096.0	792.5	510.0	405.5
ENSMUSG00000028890	485.0	305.0	264.5	263.5	518.5	371.5
ENSMUSG00000026248	723.0	568.0	1008.0	488.5	732.0	349.0
ENSMUSG00000060568	14.0	51.0	84.5	1052.5	5.5	35.0
ENSMUSG00000022685	1542.0	1452.0	1665.5	560.5	1377.5	833.5
ENSMUSG00000054074	38.0	188.0	229.0	922.0	98.0	249.5
ENSMUSG00000022031	4082.0	3356.0	4390.5	3558.5	3856.0	2117.0
ENSMUSG00000017485	2396.0	6102.0	2419.0	16216.5	1825.0	6156.5
ENSMUSG00000024261	174.0	17.0	551.5	2837.5	321.5	46.0
ENSMUSG00000027499	239.0	617.0	704.0	6158.0	283.0	553.0
ENSMUSG00000070283	459.0	237.0	931.0	568.5	327.5	137.0
ENSMUSG00000029826	886.0	133.0	112.5	44.0	1300.0	941.5
ENSMUSG00000031697	2055.0	579.0	2753.5	1177.5	1932.0	1398.5
ENSMUSG00000039910	1312.0	2979.0	1429.0	661.0	1356.0	5831.0
ENSMUSG00000002957	4091.0	4832.0	3723.5	4872.5	6079.5	10944.0
ENSMUSG00000024258	998.0	771.0	2537.0	1678.5	2048.5	1091.0
ENSMUSG00000040112	1076.0	571.0	1176.0	598.0	984.0	411.5
ENSMUSG00000067713	892.0	1189.0	963.0	964.0	976.0	1262.0
ENSMUSG00000073568	90.0	20.0	42.0	4.0	396.5	30.0
ENSMUSG00000014905	329.0	751.0	351.5	491.0	372.5	558.5
ENSMUSG00000039183	1717.0	148.0	2239.5	937.5	2261.5	617.5
ENSMUSG00000068290	578.0	647.0	687.0	763.0	601.0	574.0
ENSMUSG00000035284	1815.0	1263.0	444.0	383.0	998.5	1553.0
ENSMUSG00000024454	1947.0	1350.0	3096.5	3315.0	1443.5	1446.5
ENSMUSG00000021975	1408.0	915.0	1927.0	589.0	1575.5	920.0
ENSMUSG00000039405	9.0	1016.0	155.0	780.0	60.5	817.5
ENSMUSG00000063802	969.0	446.0	1643.0	1917.5	963.0	740.0
ENSMUSG00000032534	279.0	218.0	494.0	418.5	583.5	429.5
ENSMUSG00000003604	613.0	89.0	574.5	226.0	486.0	218.0
ENSMUSG00000052299	2378.0	2237.0	1588.0	1038.5	2214.0	2081.5
ENSMUSG00000070047	4606.0	7000.0	7019.0	1961.5	10246.0	18786.0
ENSMUSG00000063245	1563.0	164.0	1162.5	120.5	612.5	209.5
ENSMUSG00000046034	415.0	161.0	650.5	298.0	706.5	642.0
ENSMUSG00000020160	41.0	1665.0	359.5	7455.5	46.5	2482.0
ENSMUSG00000022614	848.0	1215.0	847.0	609.0	955.5	2611.0
ENSMUSG00000049800	616.0	1180.0	458.0	361.0	858.5	1827.5
ENSMUSG00000032026	951.0	79.0	1980.0	538.5	620.0	724.5
ENSMUSG00000024259	1377.0	1751.0	1466.0	2007.5	1316.0	1409.5
ENSMUSG00000011158	464.0	441.0	451.0	768.0	799.5	937.5
ENSMUSG00000031840	88.0	1040.0	20.5	2915.5	47.5	92.0
ENSMUSG00000022570	1493.0	440.0	1791.5	779.5	1520.0	885.5
ENSMUSG00000024197	2561.0	3176.0	1905.0	196.5	2008.5	2189.0
ENSMUSG00000074781	3784.0	2148.0	7096.5	8985.0	4039.0	3439.0
ENSMUSG00000068079	1139.0	4.0	324.0	14.5	1882.0	71.0
ENSMUSG00000041685	1252.0	2204.0	709.5	742.5	1444.5	1772.5
ENSMUSG00000063905	377.0	49.0	280.5	0.0	509.0	108.5
ENSMUSG00000032497	677.0	679.0	757.5	619.5	753.0	929.5
ENSMUSG00000026491	10227.0	3261.0	5737.5	2130.5	12090.0	7711.0
ENSMUSG00000000346	1469.0	6072.0	2465.0	3624.5	2322.0	2182.5
ENSMUSG00000044408	220.0	887.0	708.5	1590.0	315.0	498.5
ENSMUSG00000062198	610.0	184.0	713.5	163.0	534.5	217.0
