ensg	name	MEF	OSK iCD1 D0	OSK iCD1 D1	OSK iCD1 D3	OSK iCD1 D5	OSK iCD1 D8	OSK iCD1 D10	ESC 2iLIF
ENSMUSG00000006728	Cdk4	3896.0	2002.5	3079.5	2663.0	2398.0	3997.5	3395.5	3899.0
ENSMUSG00000030236	Slco1b2	0.0	0.0	16.0	34.5	61.0	120.0	47.0	55.5
ENSMUSG00000043587	Pxylp1	197.0	127.5	186.0	147.5	69.5	37.5	70.5	55.0
ENSMUSG00000040276	Pacsin1	1.0	0.5	0.0	4.5	0.0	5.0	10.0	161.0
ENSMUSG00000025357	Dgka	179.0	352.5	502.5	847.0	808.0	1499.0	559.0	400.0
ENSMUSG00000032557	Uba5	947.0	627.5	466.5	654.5	419.0	471.0	427.5	485.5
ENSMUSG00000037533	Rapgef6	282.0	319.0	440.5	457.0	400.5	626.5	600.5	364.5
ENSMUSG00000092258	Gm20444	49.0	76.5	16.5	6.0	0.5	0.0	3.5	0.0
ENSMUSG00000031441	Atp11a	839.0	2524.0	3390.0	3427.0	4133.5	2157.0	2895.0	540.0
ENSMUSG00000063972	Nr6a1	41.0	62.0	86.0	141.0	122.0	582.0	466.5	825.0
ENSMUSG00000000148	Brat1	162.0	229.0	200.5	169.0	240.5	219.5	244.5	253.0
ENSMUSG00000108033	Gm44284	24.0	90.0	20.5	20.5	3.5	3.0	3.0	0.0
ENSMUSG00000029860	Zyx	4731.0	11796.0	2671.5	2399.5	1559.5	649.0	1019.5	64.5
ENSMUSG00000029463	Fam216a	410.0	309.0	302.5	265.5	209.0	211.0	258.5	227.5
ENSMUSG00000073007	Fam46d	81.0	111.0	33.0	43.5	31.5	0.0	31.0	0.0
ENSMUSG00000037235	Mxd4	569.0	1312.0	939.5	1370.0	1510.0	467.5	773.5	32.0
ENSMUSG00000070527	Mkrn3	8.0	17.5	19.0	18.0	14.0	12.0	31.5	87.0
ENSMUSG00000072915	Gm12258	37.0	122.0	94.0	82.5	93.0	68.0	186.5	129.5
ENSMUSG00000057777	Mab21l2	77.0	47.0	27.0	47.0	18.5	3.5	28.0	0.5
ENSMUSG00000033585	Ndn	1717.0	1169.0	1104.5	814.5	614.5	159.0	279.5	181.5
ENSMUSG00000025358	Cdk2	548.0	333.5	568.0	373.0	544.0	1219.5	945.5	1235.5
ENSMUSG00000041609	Bicdl1	109.0	97.5	78.0	80.0	64.5	104.0	83.0	136.5
ENSMUSG00000086454	Platr14	5.0	1.0	1.5	1.0	3.0	97.5	91.0	854.5
ENSMUSG00000090150	Acad11	130.0	250.0	172.0	192.0	129.5	141.0	111.0	178.5
ENSMUSG00000031242	2610002M06Rik	653.0	727.5	564.5	543.0	579.5	536.0	540.5	488.0
ENSMUSG00000066877	Nck2	415.0	740.5	399.0	524.0	491.5	406.5	457.0	319.5
ENSMUSG00000029462	Vps29	1184.0	658.0	1119.0	839.0	839.0	548.5	502.5	992.5
ENSMUSG00000048351	Coa7	233.0	80.0	166.5	163.0	181.0	300.5	165.0	452.5
ENSMUSG00000106702	Gm42846	145.0	227.5	168.0	247.5	231.0	50.5	86.0	2.5
ENSMUSG00000034574	Daam1	415.0	665.0	725.5	483.5	508.5	552.5	485.0	307.5
ENSMUSG00000001785	Pwp1	815.0	437.5	562.0	448.0	388.0	634.5	527.0	825.0
ENSMUSG00000064068	Mtx1	632.0	441.5	898.0	818.0	692.0	581.5	550.5	692.0
ENSMUSG00000113816	CT030159.3	100.0	110.5	77.0	68.5	56.0	39.0	43.5	93.5
ENSMUSG00000040043	Rbms2	1205.0	1497.0	1030.5	1055.0	785.0	728.5	743.0	606.5
ENSMUSG00000025044	Msr1	482.0	527.0	282.0	360.5	33.5	27.5	0.0	0.0
