name	cluster	domain
Neural stem cells	0	Neuroectoderm
Neurons	0	Neuroectoderm
Brain fetal	0	Neuroectoderm
Occipital lobe fetal	0	Neuroectoderm
Parietal lobe fetal	0	Neuroectoderm
Temporal lobe fetal	0	Neuroectoderm
Amygdala adult	1	Neuroectoderm
Amygdala newborn	1	Neuroectoderm
Brain adult	1	Neuroectoderm
Caudate nucleus adult	1	Neuroectoderm
Caudate nucleus newborn	1	Neuroectoderm
Cerebellum adult	1	Neuroectoderm
Cerebellum newborn	1	Neuroectoderm
Cerebral meninges adult	1	Neuroectoderm
Frontal lobe adult	1	Neuroectoderm
Globus pallidus newborn	1	Neuroectoderm
Hippocampus adult	1	Neuroectoderm
Hippocampus newborn	1	Neuroectoderm
Insula adult	1	Neuroectoderm
Medial frontal gyrus adult	1	Neuroectoderm
Medial frontal gyrus newborn	1	Neuroectoderm
Medial temporal gyrus adult	1	Neuroectoderm
Medial temporal gyrus newborn	1	Neuroectoderm
Nucleus accumbens adult	1	Neuroectoderm
Occipital cortex adult	1	Neuroectoderm
Occipital cortex newborn	1	Neuroectoderm
Occipital lobe adult	1	Neuroectoderm
Occipital pole adult	1	Neuroectoderm
Olfactory region adult	1	Neuroectoderm
Paracentral gyrus adult	1	Neuroectoderm
Parietal cortex adult	1	Neuroectoderm
Parietal lobe adult	1	Neuroectoderm
Parietal lobe newborn	1	Neuroectoderm
Postcentral gyrus adult	1	Neuroectoderm
Putamen adult	1	Neuroectoderm
Putamen newborn	1	Neuroectoderm
Temporal lobe adult	1	Neuroectoderm
Thalamus newborn	1	Neuroectoderm
Corpus callosum adult	2	Neuroectoderm
Diencephalon adult	2	Neuroectoderm
Globus pallidus adult	2	Neuroectoderm
Locus coeruleus adult	2	Neuroectoderm
Locus coeruleus newborn	2	Neuroectoderm
Medulla oblongata adult	2	Neuroectoderm
Medulla oblongata newborn	2	Neuroectoderm
Optic nerve	2	Neuroectoderm
Pons adult	2	Neuroectoderm
Spinal cord adult	2	Neuroectoderm
Spinal cord fetal	2	Neuroectoderm
Spinal cord newborn	2	Neuroectoderm
Substantia nigra adult	2	Neuroectoderm
Substantia nigra newborn	2	Neuroectoderm
Thalamus adult	2	Neuroectoderm
Cerebrospinal fluid	3	Neuroectoderm
Eye vitreous humor	3	Neuroectoderm
Eye fetal	4	Neuroectoderm
Retina adult	4	Neuroectoderm
Pineal adult	5	Neuroectoderm
Pituitary adult	5	Neuroectoderm
Appendix adult	6	Blood mesoderm
Lymph node adult	6	Blood mesoderm
Spleen adult	6	Blood mesoderm
Spleen fetal	6	Blood mesoderm
Thymus adult	6	Blood mesoderm
Thymus fetal	6	Blood mesoderm
Tonsil adult	6	Blood mesoderm
Vein adult	6	Blood mesoderm
Eosinophils	7	Blood mesoderm
Neutrophils	7	Blood mesoderm
Blood adult	7	Blood mesoderm
Neutrophil pmn	7	Blood mesoderm
Basophils	8	Blood mesoderm
Cd14+ monocytes	8	Blood mesoderm
Cd14+ monocyte derived endothelial progenitor cells	8	Blood mesoderm
Cd14+cd16+ monocytes	8	Blood mesoderm
Monocytes	8	Blood mesoderm
Cd19+ b cells	8	Blood mesoderm
Cd34+ progenitors	8	Blood mesoderm
Dendritic cells monocyte immature derived	8	Blood mesoderm
Dendritic cells plasmacytoid	8	Blood mesoderm
Macrophage monocyte derived	8	Blood mesoderm
Mast cell stimulated	8	Blood mesoderm
Mast cell	8	Blood mesoderm
Peripheral blood mononuclear cells	8	Blood mesoderm
Immature langerhans cells	8	Blood mesoderm
Migratory langerhans cells	8	Blood mesoderm
Cd4+ t cells	9	Blood mesoderm
Cd4+cd25+cd45ra+ naive regulatory t cells	9	Blood mesoderm
Memory regulatory t cells	9	Blood mesoderm
Naive conventional t cells	9	Blood mesoderm
Memory conventional t cells	9	Blood mesoderm
Cd8+ t cells	9	Blood mesoderm
Natural killer cells	9	Blood mesoderm
Gamma delta positive t cells	9	Blood mesoderm
Cd133+ stem cells adult bone marrow derived	10	Blood mesoderm
Cd133+ stem cells cord blood derived	10	Blood mesoderm
Cd34+ stem cells adult bone marrow derived	10	Blood mesoderm
Common myeloid progenitor cmp	10	Blood mesoderm
Granulocyte macrophage progenitor	10	Blood mesoderm
Pmc	10	Blood mesoderm
Lung adult	11	Neuroectoderm
Lung fetal	11	Neuroectoderm
Lung right lower lobe adult	11	Neuroectoderm
Colon adult	12	Mesoderm
Colon fetal	12	Mesoderm
Duodenum fetal	12	Mesoderm
Small intestine adult	12	Mesoderm
Small intestine fetal	12	Mesoderm
Rectum fetal	13	Embryonic
H9 embryonic stem cells	14	Endoderm
Adipose	14	Endoderm
Hips +ccl2	14	Endoderm
Hips	14	Endoderm
Adipocyte breast	15	Endoderm
Adipocyte omental	15	Endoderm
Adipocyte perirenal	15	Endoderm
Adipocyte subcutaneous	15	Endoderm
Alveolar epithelial cells	15	Endoderm
Amniotic epithelial cells	15	Endoderm
Anulus pulposus cell	15	Endoderm
Astrocyte cerebellum	15	Endoderm
Astrocyte cerebral cortex	15	Endoderm
Bronchial epithelial cell	15	Endoderm
Cardiac myocyte	15	Endoderm
Chondrocyte de diff	15	Endoderm
Chondrocyte re diff	15	Endoderm
Ciliary epithelial cells	15	Endoderm
Corneal epithelial cells	15	Endoderm
Endothelial cells aortic	15	Endoderm
Endothelial cells artery	15	Endoderm
