name
Achilles tendon
Adipose tissue adult
Adrenal adult
Aorta adult
Bladder adult
Bone marrow adult
Breast adult
Colon adult
Colon fetal
Cruciate ligament
Ductus deferens adult
Duodenum fetal
Dura mater adult
Epididymis adult
Gall bladder adult
Kidney adult
Kidney fetal
Mature adipocyte
Ovary adult
Pancreas adult
Placenta adult
Prostate adult
Seminal vesicle adult
Small intestine adult
Small intestine fetal
Smooth muscle adult
Stomach fetal
Testis adult
Thyroid adult
Thyroid fetal
Urethra
Vagina adult
