name	color
Appendix adult	#fe7e81
Basophils	#fe7e81
Blood adult	#fe7e81
Cd133+ stem cells adult bone marrow derived	#fe7e81
Cd133+ stem cells cord blood derived	#fe7e81
Cd14+ monocyte derived endothelial progenitor cells	#fe7e81
Cd14+ monocytes	#fe7e81
Cd14+cd16+ monocytes	#fe7e81
Cd19+ b cells	#fe7e81
Cd34+ progenitors	#fe7e81
Cd34+ stem cells adult bone marrow derived	#fe7e81
Cd4+ t cells	#fe7e81
Cd4+cd25+cd45ra+ naive regulatory t cells	#fe7e81
Cd8+ t cells	#fe7e81
Common myeloid progenitor cmp	#fe7e81
Dendritic cells monocyte immature derived	#fe7e81
Dendritic cells plasmacytoid	#fe7e81
Eosinophils	#fe7e81
Gamma delta positive t cells	#fe7e81
Granulocyte macrophage progenitor	#fe7e81
Immature langerhans cells	#fe7e81
Lymph node adult	#fe7e81
Macrophage monocyte derived	#fe7e81
Mast cell	#fe7e81
Mast cell stimulated	#fe7e81
Memory conventional t cells	#fe7e81
Memory regulatory t cells	#fe7e81
Migratory langerhans cells	#fe7e81
Monocytes	#fe7e81
Naive conventional t cells	#fe7e81
Natural killer cells	#fe7e81
Neutrophil pmn	#fe7e81
Neutrophils	#fe7e81
Peripheral blood mononuclear cells	#fe7e81
Pmc	#fe7e81
Spleen adult	#fe7e81
Spleen fetal	#fe7e81
Thymus adult	#fe7e81
Thymus fetal	#fe7e81
Tonsil adult	#fe7e81
Vein adult	#fe7e81
Rectum fetal	#fbcc8c
Adipocyte breast	#843487
Adipocyte omental	#843487
Adipocyte perirenal	#843487
Adipocyte subcutaneous	#843487
Adipose	#843487
Alveolar epithelial cells	#843487
Amniotic epithelial cells	#843487
Amniotic membrane cells	#843487
Anulus pulposus cell	#843487
Artery adult	#843487
Astrocyte cerebellum	#843487
Astrocyte cerebral cortex	#843487
Bronchial epithelial cell	#843487
Cardiac myocyte	#843487
Cells	#843487
Cervix adult	#843487
Chondrocyte de diff	#843487
Chondrocyte re diff	#843487
Chorionic membrane cells	#843487
Ciliary epithelial cells	#843487
Corneal epithelial cells	#843487
Diaphragm fetal	#843487
Endothelial cells aortic	#843487
Endothelial cells artery	#843487
Endothelial cells lymphatic	#843487
Endothelial cells microvascular	#843487
Endothelial cells thoracic	#843487
Endothelial cells umbilical vein	#843487
Endothelial cells vein	#843487
Esophageal epithelial cells	#843487
Eye muscle inferior rectus	#843487
Eye muscle lateral	#843487
Eye muscle medial	#843487
Eye muscle superior	#843487
Fibroblast aortic adventitial	#843487
Fibroblast cardiac	#843487
Fibroblast choroid plexus	#843487
Fibroblast conjunctival	#843487
Fibroblast dermal	#843487
