	color
B cell (active)	#fe7e81
B cell (germinal center)	#fe7e81
B cell (naive)	#fe7e81
B cell (resting)	#fe7e81
B cells CD19+	#fe7e81
B cells CD43-	#fe7e81
BMDM	#fe7e81
BMDM +CpolyG	#fe7e81
BMDM +IFNa	#fe7e81
BMDM +IFNg	#fe7e81
BMDM +IL-1b	#fe7e81
BMDM +IL-4	#fe7e81
BMDM +MALP2	#fe7e81
BMDM +TGFb	#fe7e81
BMDM +lipidA 360 mins	#fe7e81
BMDM -lipidA	#fe7e81
Basophilic erythroblast	#fe7e81
Bone marrow	#fe7e81
Bone marrow macrophages	#fe7e81
CD4+ T NKG2D+ cells	#fe7e81
CD4+ T NKG2D- cells	#fe7e81
CD4+ T cells	#fe7e81
CD4+ T cells +IL-21	#fe7e81
CD4+ T cells -IL-21	#fe7e81
CD4+ Th1 cells	#fe7e81
CD4+ Th17 cells 	#fe7e81
CD4+ Th2 cells	#fe7e81
CD4+ Th9 cells	#fe7e81
CD4+ Treg cells	#fe7e81
CD4+ iTreg cells	#fe7e81
CD4T DP CD3hi	#fe7e81
CD4T DP CD3lo	#fe7e81
CD8+ T cells	#fe7e81
CD8+ T cells +IL-2	#fe7e81
Common lymphoid progenitor	#fe7e81
Common myeloid progenitor	#fe7e81
DC CD11+	#fe7e81
DC CD8+	#fe7e81
DN1e	#fe7e81
Dendritic cells (BMDC)	#fe7e81
Double negative 1 (DN1) thymic cells	#fe7e81
Double negative 2a (DN2a) thymic cells	#fe7e81
Double negative 2b (DN2b) thymic cells	#fe7e81
Double negative 3 (DN3) thymic cells	#fe7e81
Double positive thymic cells	#fe7e81
Eosinophils -IL-10 +LPS	#fe7e81
Eosinophils -IL-10 -LPS	#fe7e81
Erythroblast	#fe7e81
Erythrocytes type A	#fe7e81
Erythrocytes type B	#fe7e81
Erythroid cells (TER119+)	#fe7e81
Erythroid progenitor	#fe7e81
Granulocyte-monocyte progenitor	#fe7e81
Granulocytes	#fe7e81
Hematopoietic stem cells	#fe7e81
Hematopoietic stem cells (MPP1)	#fe7e81
Hematopoietic stem cells (MPP2)	#fe7e81
Hematopoietic stem cells (MPP3)	#fe7e81
Hematopoietic stem cells (MPP4)	#fe7e81
Innate lymphoid cell (Type 2)	#fe7e81
Invariant NKT	#fe7e81
Long-term HSC	#fe7e81
Macrophages +IL10 +LPS	#fe7e81
Macrophages +IL10 -LPS	#fe7e81
Macrophages -IL10 +LPS	#fe7e81
Macrophages -IL10 -LPS	#fe7e81
Mast cell +IL10 +LPS	#fe7e81
Mast cell +IL10 -LPS	#fe7e81
Mast cell -IL10 +LPS	#fe7e81
Mast cell -IL10 -LPS	#fe7e81
Mast cells (CD25+)	#fe7e81
Mast cells (CD25-)	#fe7e81
Megakaryoblast	#fe7e81
Megakaryocyte erythroid progenitor	#fe7e81
Microglia	#fe7e81
Monocyte	#fe7e81
Monocytes	#fe7e81
Multipotent progenitor	#fe7e81
Myelocytes	#fe7e81
Myeloid cells	#fe7e81
NKT (derived) 	#fe7e81
NKT stage1	#fe7e81
NKT stage2	#fe7e81
NKT stage3	#fe7e81
Naive CD4+ T cells, anti-CD3-28 treated	#fe7e81
Natural killer cells	#fe7e81
Neutrophil +IL10 +LPS	#fe7e81
Neutrophil +IL10 -LPS	#fe7e81
Neutrophil -IL10 +LPS	#fe7e81
Neutrophil -IL10 -LPS	#fe7e81
Orthochromatic erythroblast	#fe7e81
Polychromatic erythroblast	#fe7e81
Proerythroblast	#fe7e81
Promyelocytes	#fe7e81
Spleen	#fe7e81
Thymus	#fe7e81
pre-B cells	#fe7e81
pro-B (fraction B)	#fe7e81
pro-B (fraction CC`)	#fe7e81
pro-B cells	#fe7e81
splenic B cells	#fe7e81
splenic DC +IL10 +LPS	#fe7e81
splenic DC +IL10 -LPS	#fe7e81
splenic DC -IL10 +LPS	#fe7e81
splenic DC -IL10 -LPS	#fe7e81
2C Embryo	#fbcc8c
2C Embryo (early)	#fbcc8c
2C Embryo (late)	#fbcc8c
2C Embryo (middle)	#fbcc8c
4C Embryo	#fbcc8c
4C Embryo (single-cell)	#fbcc8c
8C Embryo	#fbcc8c
8C Embryo (single-cell)	#fbcc8c
Blastocyst	#fbcc8c
Blastocyst (Early) ICM	#fbcc8c
Blastocyst (Early) TE	#fbcc8c
Blastocyst (Late) PrE	#fbcc8c
