tss_loc	ensg	name	strand
chr12:115507977-115507977	ENSMUSG00000094088	Ighv1-64	-1
chr12:115120219-115120219	ENSMUSG00000094198	Ighv1-50	-1
chr14:51773590-51773590	ENSMUSG00000060615	Ang4	-1
chr12:111271111-111271111	ENSMUSG00000021278	Amn	1
chr1:128328318-128328318	ENSMUSG00000026354	Lct	-1
chr1:166130238-166130238	ENSMUSG00000000544	Gpa33	1
chr6:68270527-68270527	ENSMUSG00000093861	Igkv1-110	1
chr6:68121091-68121091	ENSMUSG00000094335	Igkv1-117	1
chr6:68632430-68632430	ENSMUSG00000094420	Igkv10-96	-1
chr13:4049011-4049011	ENSMUSG00000033715	Akr1c14	1
chr17:12675838-12675838	ENSMUSG00000023829	Slc22a1	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr5:136966616-136966616	ENSMUSG00000001739	Cldn15	1
chr1:162813672-162813672	ENSMUSG00000026692	Fmo4	-1
chr11:30649587-30649587	ENSMUSG00000060923	Acyp2	-1
chr4:62502276-62502276	ENSMUSG00000038422	Hdhd3	-1
chr1:74409376-74409376	ENSMUSG00000026175	Vil1	1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:46238492-46238492	ENSMUSG00000030838	Ush1c	-1
chr11:76902159-76902159	ENSMUSG00000020839	Tmigd1	1
chr8:5105232-5105232	ENSMUSG00000023073	Slc10a2	-1
chr9:77045749-77045749	ENSMUSG00000032357	Tinag	-1
chr6:68541658-68541658	ENSMUSG00000076525	Igkv1-99	1
chr1:14755990-14755990	ENSMUSG00000025930	Msc	-1
chr15:84720083-84720083	ENSMUSG00000078954	Arhgap8	1
chr6:70663298-70663298	ENSMUSG00000095335	Igkv3-5	1
chr12:115294504-115294504	ENSMUSG00000104452	Ighv8-8	-1
chr2:110597307-110597307	ENSMUSG00000041644	Slc5a12	1
chr10:127705170-127705170	ENSMUSG00000025401	Myo1a	1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr1:195176716-195176716	ENSMUSG00000026616	Cr2	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr6:68049983-68049983	ENSMUSG00000094872	Igkv9-120	1
chr15:85735776-85735776	ENSMUSG00000022383	Ppara	1
chr4:141623821-141623821	ENSMUSG00000040740	Slc25a34	-1
chr11:96928104-96928104	ENSMUSG00000047040	Prr15l	1
chr5:33104219-33104219	ENSMUSG00000011034	Slc5a1	1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr12:79130777-79130777	ENSMUSG00000021125	Arg2	1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
