tss_loc	ensg	name	strand
chr11:59541568-59541568	ENSMUSG00000032691	Nlrp3	1
chr16:44765736-44765736	ENSMUSG00000022667	Cd200r1	1
chr11:114934386-114934386	ENSMUSG00000063193	Cd300lb	-1
chr7:104369884-104369884	ENSMUSG00000052749	Trim30b	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr11:79530559-79530559	ENSMUSG00000070354	Gm21975	-1
chr17:35188439-35188439	ENSMUSG00000073412	Lst1	-1
chr17:29318877-29318877	ENSMUSG00000024011	Pi16	1
chr13:47122720-47122720	ENSMUSG00000038068	Rnf144b	1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr17:55749984-55749984	ENSMUSG00000032915	Emr4	1
chr2:129371139-129371139	ENSMUSG00000027398	Il1b	-1
chr17:17883940-17883940	ENSMUSG00000045551	Fpr1	-1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr17:55952623-55952623	ENSMUSG00000003206	Ebi3	1
chr14:61309753-61309753	ENSMUSG00000043157	Arl11	1
chr13:100246323-100246323	ENSMUSG00000071203	Naip5	-1
chr8:72009626-72009626	ENSMUSG00000003484	Cyp4f18	-1
chr6:123289870-123289870	ENSMUSG00000030142	Clec4e	-1
chr14:103046977-103046977	ENSMUSG00000022126	Irg1	1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
chr12:112760655-112760655	ENSMUSG00000052160	Pld4	1
chr6:122602444-122602444	ENSMUSG00000040613	Apobec1	-1
chr9:109849456-109849456	ENSMUSG00000038357	Camp	-1
chr17:48167257-48167257	ENSMUSG00000043939	A530064D06Rik	-1
chr7:3821812-3821812	ENSMUSG00000074419	Gm15448	-1
chr7:43351341-43351341	ENSMUSG00000039013	Siglecf	1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr13:56178885-56178885	ENSMUSG00000049625	Tifab	-1
chr3:127789872-127789872	ENSMUSG00000046688	Tifa	1
chr4:126024550-126024550	ENSMUSG00000028859	Csf3r	1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr8:95017692-95017692	ENSMUSG00000060470	Gpr97	1
chr2:24336853-24336853	ENSMUSG00000026981	Il1rn	1
chr5:137871758-137871758	ENSMUSG00000066682	Pilrb2	-1
chr5:137858049-137858049	ENSMUSG00000066684	Pilrb1	-1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chrX:106143229-106143229	ENSMUSG00000033777	Tlr13	1
chr11:83703991-83703991	ENSMUSG00000069792	Wfdc17	1
chr1:74375195-74375195	ENSMUSG00000026177	Slc11a1	1
chr17:48232768-48232768	ENSMUSG00000042265	Trem1	1
chr1:40429570-40429570	ENSMUSG00000026069	Il1rl1	1
chr16:22657173-22657173	ENSMUSG00000022861	Dgkg	-1
chr17:34092340-34092340	ENSMUSG00000024334	H2-Oa	1
chr15:103255439-103255439	ENSMUSG00000058794	Nfe2	-1
chr7:3502465-3502465	ENSMUSG00000053338	Tarm1	-1
chr5:123865516-123865516	ENSMUSG00000045502	Hcar2	-1
chr7:18884690-18884690	ENSMUSG00000030413	Pglyrp1	1
chr7:43660161-43660161	ENSMUSG00000030474	Siglece	-1
chr7:29134854-29134854	ENSMUSG00000030589	Rasgrp4	1
chr4:132796387-132796387	ENSMUSG00000037731	Themis2	-1
chr13:102693558-102693558	ENSMUSG00000021624	Cd180	1
chr12:40134228-40134228	ENSMUSG00000002565	Scin	-1
chr10:79874476-79874476	ENSMUSG00000057729	Prtn3	1
