tss_loc	ensg	name	strand
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr1:166130238-166130238	ENSMUSG00000000544	Gpa33	1
chrX:143933311-143933311	ENSMUSG00000031285	Dcx	-1
chr10:63386563-63386563	ENSMUSG00000036764	Dnajc12	1
chr9:100571090-100571090	ENSMUSG00000070287	Slc35g2	-1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr13:4049011-4049011	ENSMUSG00000033715	Akr1c14	1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr1:74409376-74409376	ENSMUSG00000026175	Vil1	1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr7:46238492-46238492	ENSMUSG00000030838	Ush1c	-1
chr11:102107822-102107822	ENSMUSG00000017311	Pyy	-1
chr6:142298423-142298423	ENSMUSG00000041681	Iapp	1
chr2:62483650-62483650	ENSMUSG00000000394	Gcg	-1
chr1:158958367-158958367	ENSMUSG00000073530	Pappa2	-1
chr2:148732467-148732467	ENSMUSG00000027438	Napb	-1
chr5:113735782-113735782	ENSMUSG00000053334	Ficd	1
chr13:56438355-56438355	ENSMUSG00000021509	Slc25a48	1
chr11:75937738-75937738	ENSMUSG00000020847	Rph3al	-1
chr1:75507077-75507077	ENSMUSG00000032968	Inha	1
chr3:137624037-137624037	ENSMUSG00000046818	Ddit4l	1
chr6:48537569-48537569	ENSMUSG00000039347	Atp6v0e2	1
chr10:109010975-109010975	ENSMUSG00000035864	Syt1	-1
chr9:86880439-86880439	ENSMUSG00000033419	Snap91	-1
chr3:96181151-96181151	ENSMUSG00000038486	Sv2a	1
chr2:181314500-181314500	ENSMUSG00000027581	Stmn3	-1
