tss_loc	ensg	name	strand
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr9:45079183-45079183	ENSMUSG00000048534	Amica1	1
chr6:129623864-129623864	ENSMUSG00000030149	Klrk1	-1
chr17:25244033-25244033	ENSMUSG00000047507	Baiap3	-1
chr2:165655298-165655298	ENSMUSG00000017897	Eya2	1
chr14:30008813-30008813	ENSMUSG00000015966	Il17rb	-1
chr1:4779212-4779212	ENSMUSG00000102275	RP23-34E15.5	-1
chr2:140152043-140152043	ENSMUSG00000078197	Gm17374	1
chr10:61171954-61171954	ENSMUSG00000020096	Tbata	1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr2:156887078-156887078	ENSMUSG00000027636	Sla2	-1
chr4:59003210-59003210	ENSMUSG00000092345	Gm20503	1
chr6:129591782-129591782	ENSMUSG00000030165	Klrd1	1
chr2:13794064-13794064	ENSMUSG00000003418	St8sia6	-1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr1:171653035-171653035	ENSMUSG00000038179	Slamf7	-1
chr14:59341351-59341351	ENSMUSG00000091649	Phf11b	-1
chr1:173580353-173580353	ENSMUSG00000073491	Pydc4	-1
chr9:14903884-14903884	ENSMUSG00000031933	Folr4	-1
chr19:6363535-6363535	ENSMUSG00000079467	Gm14966	-1
chr1:86893573-86893573	ENSMUSG00000102649	RP23-26I10.5	1
chr5:25661275-25661275	ENSMUSG00000059244	Gm10062	-1
chr1:158551966-158551966	ENSMUSG00000102618	RP23-411L6.3	-1
chr1:51195221-51195221	ENSMUSG00000099625	Gm29325	1
chr1:164575455-164575455	ENSMUSG00000102389	RP24-272N10.6	1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr2:34913976-34913976	ENSMUSG00000026873	Phf19	-1
chr11:4948064-4948064	ENSMUSG00000020396	Nefh	-1
chr10:81393051-81393051	ENSMUSG00000078439	Smim24	1
chr9:13431361-13431361	ENSMUSG00000031802	Phxr4	1
chr1:160077918-160077918	ENSMUSG00000026729	4930562F07Rik	-1
chr1:37865079-37865079	ENSMUSG00000060771	Tsga10	-1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
