tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr6:52234939-52234939	ENSMUSG00000000938	Hoxa10	-1
chr11:96271457-96271457	ENSMUSG00000020875	Hoxb9	1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr2:24475599-24475599	ENSMUSG00000026976	Pax8	-1
chr19:44756045-44756045	ENSMUSG00000004231	Pax2	1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr1:20890606-20890606	ENSMUSG00000025931	Paqr8	1
chr17:8525372-8525372	ENSMUSG00000023868	Pde10a	1
chr3:88334504-88334504	ENSMUSG00000001420	Tmem79	-1
chr6:113471427-113471427	ENSMUSG00000030281	Il17rc	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr19:58455398-58455398	ENSMUSG00000025089	Gfra1	-1
chr5:24209724-24209724	ENSMUSG00000099891	Gm5575	-1
chr11:46735080-46735080	ENSMUSG00000040405	Havcr1	1
chr15:79516408-79516408	ENSMUSG00000010830	Kdelr3	1
chr11:50602084-50602084	ENSMUSG00000036545	Adamts2	1
chr15:10952332-10952332	ENSMUSG00000058914	C1qtnf3	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr19:57008228-57008228	ENSMUSG00000025083	Afap1l2	-1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr1:162217623-162217623	ENSMUSG00000078190	Dnm3os	1
chr5:5694060-5694060	ENSMUSG00000015653	Steap2	-1
chr3:129332720-129332720	ENSMUSG00000028024	Enpep	-1
chr4:128962420-128962420	ENSMUSG00000028789	Azin2	-1
chr1:119422248-119422248	ENSMUSG00000037035	Inhbb	-1
chr7:110627661-110627661	ENSMUSG00000030790	Adm	1
chr9:19928282-19928282	ENSMUSG00000091460	Gm7808	-1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr16:19706365-19706365	ENSMUSG00000041247	Lamp3	-1
chr13:21495223-21495223	ENSMUSG00000078139	AK157302	1
chr7:24862213-24862213	ENSMUSG00000091955	Gm9844	1
chr19:19001117-19001117	ENSMUSG00000036192	Rorb	-1
chr4:43669141-43669141	ENSMUSG00000043633	Fam221b	-1
chr3:122293547-122293547	ENSMUSG00000057359	Gm17494	-1
chr17:80127471-80127471	ENSMUSG00000035473	Galm	1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr7:19404104-19404104	ENSMUSG00000040714	Klc3	-1
chr1:135324807-135324807	ENSMUSG00000048096	Lmod1	1
chr17:3397207-3397207	ENSMUSG00000023800	Tiam2	1
chr10:88356996-88356996	ENSMUSG00000020057	Dram1	-1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr2:163397949-163397949	ENSMUSG00000017817	Jph2	-1
chr18:51865881-51865881	ENSMUSG00000069379	Gm4950	-1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr13:98694834-98694834	ENSMUSG00000052485	Tmem171	-1
chr13:34652671-34652671	ENSMUSG00000021411	Pxdc1	-1
chr13:114458730-114458730	ENSMUSG00000021765	Fst	-1
chr19:32061469-32061469	ENSMUSG00000024887	Asah2	-1
chr10:14545036-14545036	ENSMUSG00000039116	Gpr126	-1
chr6:17463800-17463800	ENSMUSG00000009376	Met	1
chr13:25056004-25056004	ENSMUSG00000035910	Dcdc2a	1
chr8:119635680-119635680	ENSMUSG00000045246	Kcng4	-1
chr16:23520590-23520590	ENSMUSG00000022887	Masp1	-1
chr15:97908310-97908310	ENSMUSG00000022479	Vdr	-1
chr14:28504750-28504750	ENSMUSG00000021994	Wnt5a	1
chr1:82291416-82291416	ENSMUSG00000055980	Irs1	-1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
chr6:136875805-136875805	ENSMUSG00000030218	Mgp	-1
chr2:84775404-84775404	ENSMUSG00000023224	Serping1	-1
chr6:124512632-124512632	ENSMUSG00000055172	C1ra	1
chr3:19957054-19957054	ENSMUSG00000003617	Cp	1
chr6:124542321-124542321	ENSMUSG00000038521	C1s1	-1
chr7:112159057-112159057	ENSMUSG00000030772	Dkk3	-1
chr2:156775420-156775420	ENSMUSG00000067818	Myl9	1
chr12:80108034-80108034	ENSMUSG00000097417	Gm26669	1
chr5:24601976-24601976	ENSMUSG00000028949	Smarcd3	-1
chr11:4118831-4118831	ENSMUSG00000003585	Sec14l2	-1
chr1:173741747-173741747	ENSMUSG00000073490	AI607873	-1
chr1:173913046-173913046	ENSMUSG00000026536	Mnda	-1
chr5:5749326-5749326	ENSMUSG00000015652	Steap1	-1
chr7:84528975-84528975	ENSMUSG00000097789	Gm2115	1
chr3:49757316-49757316	ENSMUSG00000037892	Pcdh18	-1
chr11:116752167-116752167	ENSMUSG00000056032	BC018473	1
chr9:83938475-83938475	ENSMUSG00000101392	Gm29163	-1
chr10:97565501-97565501	ENSMUSG00000036446	Lum	1
chr10:38965515-38965515	ENSMUSG00000019846	Lama4	1
chr17:24528248-24528248	ENSMUSG00000093565	Rab26os	1
chr14:70457476-70457476	ENSMUSG00000003469	Phyhip	1
chr9:66069731-66069731	ENSMUSG00000039452	Snx22	-1
chr3:132950291-132950291	ENSMUSG00000040998	Npnt	-1
chr5:96793385-96793385	ENSMUSG00000029484	Anxa3	1
chr16:97490047-97490047	ENSMUSG00000096156	Gm9242	1
chr7:30664937-30664937	ENSMUSG00000094365	Gm21982	-1
chr5:33995984-33995984	ENSMUSG00000048142	Nat8l	1
chr13:115101964-115101964	ENSMUSG00000042284	Itga1	-1
chr9:102988712-102988712	ENSMUSG00000032548	Slco2a1	1
chr16:14291408-14291408	ENSMUSG00000018830	Myh11	-1
chr9:18397538-18397538	ENSMUSG00000043943	Naalad2	-1
chr6:55175043-55175043	ENSMUSG00000003477	Inmt	-1
chr8:106510913-106510913	ENSMUSG00000061048	Cdh3	1
chr11:115974709-115974709	ENSMUSG00000020758	Itgb4	1
chr1:153186047-153186047	ENSMUSG00000026479	Lamc2	-1
chr17:83215292-83215292	ENSMUSG00000024247	Pkdcc	1
chr3:89215180-89215180	ENSMUSG00000028047	Thbs3	1
chr12:71309884-71309884	ENSMUSG00000044548	Dact1	1
chr13:74406396-74406396	ENSMUSG00000062382	Gm10116	1
chr4:41098183-41098183	ENSMUSG00000028435	Aqp3	-1
chr1:135258568-135258568	ENSMUSG00000003051	Elf3	-1
chr19:42045610-42045610	ENSMUSG00000025176	Hoga1	1
chr9:70141578-70141578	ENSMUSG00000032224	Fam81a	-1
chr9:64385626-64385626	ENSMUSG00000036466	Megf11	1
chr18:13972733-13972733	ENSMUSG00000024420	Zfp521	-1
chr2:134786159-134786159	ENSMUSG00000051177	Plcb1	1
chr6:32588192-32588192	ENSMUSG00000029765	Plxna4	-1
chr5:16731074-16731074	ENSMUSG00000059179	Gm8991	-1
chr14:8309777-8309777	ENSMUSG00000021750	Fam107a	-1
chr6:72355447-72355447	ENSMUSG00000055912	Tmem150a	1
