tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr14:51773590-51773590	ENSMUSG00000060615	Ang4	-1
chr11:100096225-100096225	ENSMUSG00000048013	Krt35	-1
chr15:101743109-101743109	ENSMUSG00000051879	Krt71	-1
chr15:101802343-101802343	ENSMUSG00000063661	Krt73	-1
chr11:99322951-99322951	ENSMUSG00000035831	Krt25	-1
chr11:99351104-99351104	ENSMUSG00000017588	Krt27	-1
chr11:99374903-99374903	ENSMUSG00000055937	Krt28	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr1:166130238-166130238	ENSMUSG00000000544	Gpa33	1
chr9:123260789-123260789	ENSMUSG00000054871	Tmem158	-1
chr7:104369884-104369884	ENSMUSG00000052749	Trim30b	-1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr3:96670131-96670131	ENSMUSG00000038354	Ankrd35	1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr5:136966616-136966616	ENSMUSG00000001739	Cldn15	1
chr12:80760541-80760541	ENSMUSG00000062961	Ccdc177	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr13:22009741-22009741	ENSMUSG00000006179	Prss16	-1
chr17:46428926-46428926	ENSMUSG00000023968	Crip3	1
chr2:147361925-147361925	ENSMUSG00000037034	Pax1	1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr9:105960643-105960643	ENSMUSG00000091345	Col6a5	-1
chr9:111057270-111057270	ENSMUSG00000043953	Ccrl2	-1
chr5:92348882-92348882	ENSMUSG00000034855	Cxcl10	-1
chr6:124779727-124779727	ENSMUSG00000030125	Lrrc23	-1
chr11:114727408-114727408	ENSMUSG00000034706	Dnaic2	1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr1:74409376-74409376	ENSMUSG00000026175	Vil1	1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr7:46238492-46238492	ENSMUSG00000030838	Ush1c	-1
chr17:48264295-48264295	ENSMUSG00000051682	Treml4	1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr10:127000709-127000709	ENSMUSG00000025432	Avil	1
chr11:102107822-102107822	ENSMUSG00000017311	Pyy	-1
chr6:142298423-142298423	ENSMUSG00000041681	Iapp	1
chr2:62483650-62483650	ENSMUSG00000000394	Gcg	-1
chr1:158958367-158958367	ENSMUSG00000073530	Pappa2	-1
chr2:148732467-148732467	ENSMUSG00000027438	Napb	-1
chr15:74714839-74714839	ENSMUSG00000022598	Psca	1
chr15:101850786-101850786	ENSMUSG00000046834	Krt1	-1
chr11:55336564-55336564	ENSMUSG00000055333	Fat2	-1
chr1:162984527-162984527	ENSMUSG00000026691	Fmo3	-1
chr15:28203752-28203752	ENSMUSG00000022262	Dnah5	1
chr10:127705170-127705170	ENSMUSG00000025401	Myo1a	1
chr2:85519024-85519024	ENSMUSG00000075217	4833423E24Rik	-1
chr19:5349574-5349574	ENSMUSG00000024846	Cst6	-1
chr12:49382693-49382693	ENSMUSG00000020950	Foxg1	1
chr14:55491093-55491093	ENSMUSG00000022211	Lrrc16b	1
chr3:88206813-88206813	ENSMUSG00000097156	Gm3764	1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr1:195176716-195176716	ENSMUSG00000026616	Cr2	-1
chr6:48537569-48537569	ENSMUSG00000039347	Atp6v0e2	1
chr10:109010975-109010975	ENSMUSG00000035864	Syt1	-1
chr9:86880439-86880439	ENSMUSG00000033419	Snap91	-1
chr3:96181151-96181151	ENSMUSG00000038486	Sv2a	1
chr2:181314500-181314500	ENSMUSG00000027581	Stmn3	-1
chr9:104102560-104102560	ENSMUSG00000079355	Ackr4	-1
chr5:90640487-90640487	ENSMUSG00000029370	Rassf6	-1
chr12:104263122-104263122	ENSMUSG00000079014	Serpina3i	1
chr12:79130777-79130777	ENSMUSG00000021125	Arg2	1
chr12:56691767-56691767	ENSMUSG00000001497	Pax9	1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr1:39193731-39193731	ENSMUSG00000026077	Npas2	1
chr2:59484653-59484653	ENSMUSG00000026989	Dapl1	1
chr11:115861612-115861612	ENSMUSG00000034427	Myo15b	1
chr3:87376387-87376387	ENSMUSG00000059994	Fcrl1	1
chr1:78310345-78310345	ENSMUSG00000032908	Sgpp2	1
chr1:17004219-17004219	ENSMUSG00000042686	Jph1	-1
chr3:95160457-95160457	ENSMUSG00000038777	Sema6c	1
chr1:83116766-83116766	ENSMUSG00000026166	Ccl20	1
chr11:78920787-78920787	ENSMUSG00000020826	Nos2	1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr13:110280206-110280206	ENSMUSG00000021700	Rab3c	-1
chr14:12823079-12823079	ENSMUSG00000054423	Cadps	-1
chrX:20921004-20921004	ENSMUSG00000037217	Syn1	-1
chr1:106861173-106861173	ENSMUSG00000067006	Serpinb5	1
chr11:100135928-100135928	ENSMUSG00000054146	Krt15	-1
chr7:28863853-28863853	ENSMUSG00000053522	Lgals7	1
chr19:47692094-47692094	ENSMUSG00000025064	Col17a1	-1
chr11:99389364-99389364	ENSMUSG00000019761	Krt10	-1
chr1:93168725-93168725	ENSMUSG00000084989	E030010N08Rik	1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
chr12:112760655-112760655	ENSMUSG00000052160	Pld4	1
chr6:122602444-122602444	ENSMUSG00000040613	Apobec1	-1
chr9:109849456-109849456	ENSMUSG00000038357	Camp	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr7:43824499-43824499	ENSMUSG00000050063	Klk6	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr17:75435905-75435905	ENSMUSG00000071042	Rasgrp3	1
chr11:100356128-100356128	ENSMUSG00000006930	Hap1	-1
chr18:31447415-31447415	ENSMUSG00000024261	Syt4	-1
chr17:25809085-25809085	ENSMUSG00000025738	Fbxl16	1
chr7:16944682-16944682	ENSMUSG00000070802	Pnmal2	1
chrX:7638471-7638471	ENSMUSG00000031144	Syp	1
chr2:136713453-136713453	ENSMUSG00000027273	Snap25	1
chr7:46180033-46180033	ENSMUSG00000040136	Abcc8	-1
chr1:162898712-162898712	ENSMUSG00000040170	Fmo2	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr5:123252102-123252102	ENSMUSG00000029442	Wdr66	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr7:28833854-28833854	ENSMUSG00000053964	Lgals4	1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr7:110982461-110982461	ENSMUSG00000005611	Mrvi1	-1
chr9:105998322-105998322	ENSMUSG00000032572	Col6a4	-1
chr15:79516408-79516408	ENSMUSG00000010830	Kdelr3	1
chr8:4325210-4325210	ENSMUSG00000023235	Ccl25	1
chr4:107307169-107307169	ENSMUSG00000034785	Dio1	-1
chr5:90786103-90786103	ENSMUSG00000029379	Cxcl3	1
chr8:68276567-68276567	ENSMUSG00000053886	Sh2d4a	1
chr1:130731976-130731976	ENSMUSG00000042510	AA986860	1
chr2:24336853-24336853	ENSMUSG00000026981	Il1rn	1
chr11:100193246-100193246	ENSMUSG00000051617	Krt9	-1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr8:19225478-19225478	ENSMUSG00000050756	Defb6	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
