tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr11:110168196-110168196	ENSMUSG00000041797	Abca9	-1
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr11:59541568-59541568	ENSMUSG00000032691	Nlrp3	1
chr19:11604849-11604849	ENSMUSG00000024679	Ms4a6d	-1
chr17:25244033-25244033	ENSMUSG00000047507	Baiap3	-1
chr2:165655298-165655298	ENSMUSG00000017897	Eya2	1
chr7:104369884-104369884	ENSMUSG00000052749	Trim30b	-1
chr7:80636017-80636017	ENSMUSG00000084821	Gm15880	1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr11:30649587-30649587	ENSMUSG00000060923	Acyp2	-1
chr11:79530559-79530559	ENSMUSG00000070354	Gm21975	-1
chr17:35188439-35188439	ENSMUSG00000073412	Lst1	-1
chr10:88383711-88383711	ENSMUSG00000096945	Gm26546	-1
chr3:96246380-96246380	ENSMUSG00000093553	Gm20633	-1
chr11:75172560-75172560	ENSMUSG00000085609	1700016P03Rik	1
chr1:180376444-180376444	ENSMUSG00000103772	RP24-74O18.4	1
chr9:111057270-111057270	ENSMUSG00000043953	Ccrl2	-1
chr5:92348882-92348882	ENSMUSG00000034855	Cxcl10	-1
chr17:29318877-29318877	ENSMUSG00000024011	Pi16	1
chr13:47122720-47122720	ENSMUSG00000038068	Rnf144b	1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr11:82035571-82035571	ENSMUSG00000035385	Ccl2	1
chr6:97807058-97807058	ENSMUSG00000035158	Mitf	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr6:137252299-137252299	ENSMUSG00000030223	Ptpro	1
chr17:81649607-81649607	ENSMUSG00000054640	Slc8a1	-1
chr17:55749984-55749984	ENSMUSG00000032915	Emr4	1
chr1:46066315-46066315	ENSMUSG00000041144	Dnah7b	1
chr5:113735782-113735782	ENSMUSG00000053334	Ficd	1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr2:13794064-13794064	ENSMUSG00000003418	St8sia6	-1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr1:195176716-195176716	ENSMUSG00000026616	Cr2	-1
chr8:110940314-110940314	ENSMUSG00000097380	Gm26816	-1
chr9:46998931-46998931	ENSMUSG00000094893	Gm4791	1
chr1:89683908-89683908	ENSMUSG00000102009	4933400F21Rik	-1
chr4:137388382-137388382	ENSMUSG00000101493	2810405F17Rik	-1
chr1:171653035-171653035	ENSMUSG00000038179	Slamf7	-1
chr14:59341351-59341351	ENSMUSG00000091649	Phf11b	-1
chr1:173580353-173580353	ENSMUSG00000073491	Pydc4	-1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr17:55952623-55952623	ENSMUSG00000003206	Ebi3	1
chr14:61309753-61309753	ENSMUSG00000043157	Arl11	1
chr13:100246323-100246323	ENSMUSG00000071203	Naip5	-1
chr14:20703012-20703012	ENSMUSG00000097577	6230400D17Rik	-1
chr7:141613747-141613747	ENSMUSG00000097170	Gm16982	-1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr3:87376387-87376387	ENSMUSG00000059994	Fcrl1	1
chr9:51278513-51278513	ENSMUSG00000044694	2010007H06Rik	1
chrX:73774405-73774405	ENSMUSG00000002007	Srpk3	1
chr15:101054399-101054399	ENSMUSG00000095440	Fignl2	-1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr10:41612837-41612837	ENSMUSG00000101176	Gm29095	-1
chr11:115408314-115408314	ENSMUSG00000085072	Ict1os	-1
chr8:105633750-105633750	ENSMUSG00000102593	RP24-242N1.2	1
chr10:14718214-14718214	ENSMUSG00000019867	Gje1	-1
chr19:5560575-5560575	ENSMUSG00000024922	Ovol1	-1
chr16:3718124-3718124	ENSMUSG00000022534	Mefv	-1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
chr12:112760655-112760655	ENSMUSG00000052160	Pld4	1
chr6:122602444-122602444	ENSMUSG00000040613	Apobec1	-1
chr17:75435905-75435905	ENSMUSG00000071042	Rasgrp3	1
chr12:83633833-83633833	ENSMUSG00000099708	Gm29361	-1
chr9:3015654-3015654	ENSMUSG00000074564	Gm10720	1
chr9:3036877-3036877	ENSMUSG00000096201	Gm10715	1
chr9:3013140-3013140	ENSMUSG00000096519	Gm10721	1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr1:37865079-37865079	ENSMUSG00000060771	Tsga10	-1
chr1:40324610-40324610	ENSMUSG00000070942	Il1rl2	1
chr1:170644532-170644532	ENSMUSG00000038463	Olfml2b	1
chr4:3689548-3689548	ENSMUSG00000097860	Gm26857	-1
chr14:61670131-61670131	ENSMUSG00000103869	RP24-271M20.4	-1
chr14:61681494-61681494	ENSMUSG00000102151	RP24-271M20.3	-1
chr3:89365253-89365253	ENSMUSG00000042672	Dcst1	-1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr19:55841672-55841672	ENSMUSG00000099746	Ppnr	1
chr2:52863516-52863516	ENSMUSG00000097857	Gm26603	-1
chr13:56178885-56178885	ENSMUSG00000049625	Tifab	-1
chr3:127789872-127789872	ENSMUSG00000046688	Tifa	1
chr4:126024550-126024550	ENSMUSG00000028859	Csf3r	1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr18:37755954-37755954	ENSMUSG00000097330	Gm26672	-1
chr1:74295603-74295603	ENSMUSG00000099931	Gm29358	1
chr5:138279958-138279958	ENSMUSG00000029510	Gpc2	-1
chr17:17830719-17830719	ENSMUSG00000080316	Spaca6	1
chrX:106485274-106485274	ENSMUSG00000033737	Fndc3c1	-1
chr12:72409054-72409054	ENSMUSG00000021087	Rtn1	-1
chr17:36058371-36058371	ENSMUSG00000079492	Gm11127	-1
chr4:128618619-128618619	ENSMUSG00000062545	Tlr12	-1
chr10:23349887-23349887	ENSMUSG00000010461	Eya4	-1
chr15:101128522-101128522	ENSMUSG00000000530	Acvrl1	1
chr13:100317674-100317674	ENSMUSG00000078942	Naip6	-1
chr3:15574985-15574985	ENSMUSG00000095028	Sirpb1b	-1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr14:75016027-75016027	ENSMUSG00000034959	5031414D18Rik	1
chr17:26973217-26973217	ENSMUSG00000048731	Ggnbp1	1
chrX:136993155-136993155	ENSMUSG00000031428	Zcchc18	1
chr4:101496648-101496648	ENSMUSG00000028528	Dnajc6	1
chr6:124462744-124462744	ENSMUSG00000008153	Clstn3	-1
chr11:6065545-6065545	ENSMUSG00000057897	Camk2b	-1
chr10:112163621-112163621	ENSMUSG00000035694	Caps2	1
chr1:128774421-128774421	ENSMUSG00000097283	Gm26686	-1
chr11:11627824-11627824	ENSMUSG00000062511	4930512M02Rik	-1
chr8:41017468-41017468	ENSMUSG00000084960	B430010I23Rik	1
chr19:6276605-6276605	ENSMUSG00000085196	Gm14963	-1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr12:99964499-99964499	ENSMUSG00000045404	Kcnk13	1
chr17:35171858-35171858	ENSMUSG00000024397	Aif1	-1
chr11:80154105-80154105	ENSMUSG00000020709	Adap2	1
chr3:52004025-52004025	ENSMUSG00000102423	RP23-380F8.3	-1
chr5:120777661-120777661	ENSMUSG00000032661	Oas3	-1
chr8:87804439-87804439	ENSMUSG00000045333	Zfp423	-1
chr12:109695586-109695586	ENSMUSG00000098202	B830012L14Rik	1
chr15:37792433-37792433	ENSMUSG00000051359	Ncald	-1
chrX:106143229-106143229	ENSMUSG00000033777	Tlr13	1
chr11:83703991-83703991	ENSMUSG00000069792	Wfdc17	1
chr1:74375195-74375195	ENSMUSG00000026177	Slc11a1	1
chr9:123678439-123678439	ENSMUSG00000029530	Ccr9	1
chr15:74897021-74897021	ENSMUSG00000063522	2010109I03Rik	-1
chr19:3929761-3929761	ENSMUSG00000024885	Aldh3b1	-1
chr3:15838643-15838643	ENSMUSG00000074677	Sirpb1c	-1
chr17:80127471-80127471	ENSMUSG00000035473	Galm	1
chr1:92950865-92950865	ENSMUSG00000026271	Gpr35	1
chr16:22657173-22657173	ENSMUSG00000022861	Dgkg	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr17:34092340-34092340	ENSMUSG00000024334	H2-Oa	1
chr6:29272488-29272488	ENSMUSG00000043421	Hilpda	1
chr12:102727333-102727333	ENSMUSG00000096751	Gm21971	-1
chr1:156455290-156455290	ENSMUSG00000103199	RP24-228M19.3	1
chr13:23746790-23746790	ENSMUSG00000075031	Hist1h2bb	1
chr13:23562369-23562369	ENSMUSG00000069273	Hist1h3e	-1
chr13:23575763-23575763	ENSMUSG00000099583	Hist1h3d	1
chr10:88356996-88356996	ENSMUSG00000020057	Dram1	-1
chr7:43660161-43660161	ENSMUSG00000030474	Siglece	-1
chr19:11443553-11443553	ENSMUSG00000056290	Ms4a4b	1
chr8:69044956-69044956	ENSMUSG00000089995	Gm15716	1
chr2:69670120-69670120	ENSMUSG00000075307	Klhl41	1
chr7:67222458-67222458	ENSMUSG00000097527	1700112J16Rik	-1
chr4:124986430-124986430	ENSMUSG00000028871	Rspo1	1
chr7:46732543-46732543	ENSMUSG00000040017	Saa4	-1
chr3:96246685-96246685	ENSMUSG00000093769	Hist2h3c1	1
chr2:131086765-131086765	ENSMUSG00000027322	Siglec1	-1
chr11:43587040-43587040	ENSMUSG00000045877	4933415A04Rik	1
chr4:22408291-22408291	ENSMUSG00000103000	RP23-381K3.4	1
chr1:165235125-165235125	ENSMUSG00000102302	RP23-187M7.5	-1
chr19:32061469-32061469	ENSMUSG00000024887	Asah2	-1
chr10:14545036-14545036	ENSMUSG00000039116	Gpr126	-1
chr6:17463800-17463800	ENSMUSG00000009376	Met	1
chr6:122921848-122921848	ENSMUSG00000049037	Clec4a1	1
chr7:29134854-29134854	ENSMUSG00000030589	Rasgrp4	1
chr4:132796387-132796387	ENSMUSG00000037731	Themis2	-1
chr13:102693558-102693558	ENSMUSG00000021624	Cd180	1
chr11:97685953-97685953	ENSMUSG00000078695	Cisd3	1
chr1:180196020-180196020	ENSMUSG00000026489	Adck3	-1
chr2:57115038-57115038	ENSMUSG00000026826	Nr4a2	-1
chr6:83441755-83441755	ENSMUSG00000051844	B230319C09Rik	1
chr1:13236434-13236434	ENSMUSG00000103495	RP23-93D12.1	-1
chr1:154726356-154726356	ENSMUSG00000004110	Cacna1e	-1
chr17:31535460-31535460	ENSMUSG00000104159	RP23-106N22.5	-1
chr10:22402883-22402883	ENSMUSG00000096937	Gm10825	1
chr11:115048409-115048409	ENSMUSG00000069607	Cd300lh	-1
chr6:124493113-124493113	ENSMUSG00000038527	C1rl	1
chr12:80108034-80108034	ENSMUSG00000097417	Gm26669	1
chr5:24601976-24601976	ENSMUSG00000028949	Smarcd3	-1
chr18:36726736-36726736	ENSMUSG00000051439	Cd14	-1
chr15:78305603-78305603	ENSMUSG00000071714	Csf2rb2	-1
chr10:51480632-51480632	ENSMUSG00000089672	Gp49a	1
chr10:51480640-51480640	ENSMUSG00000062593	Lilrb4	1
chr7:139988434-139988434	ENSMUSG00000025473	Adam8	-1
chr1:173741747-173741747	ENSMUSG00000073490	AI607873	-1
chr1:173913046-173913046	ENSMUSG00000026536	Mnda	-1
chr9:13446753-13446753	ENSMUSG00000090592	Gm17571	-1
chr3:32454587-32454587	ENSMUSG00000103039	RP23-372I17.5	1
chr6:119236526-119236526	ENSMUSG00000041460	Cacna2d4	1
chr5:149265058-149265058	ENSMUSG00000060063	Alox5ap	1
chr11:106314762-106314762	ENSMUSG00000040592	Cd79b	-1
chr19:40994148-40994148	ENSMUSG00000061132	Blnk	-1
chr7:43408204-43408204	ENSMUSG00000030468	Siglecg	1
chr3:51559652-51559652	ENSMUSG00000102466	RP24-511H12.2	-1
chrX:167264286-167264286	ENSMUSG00000040522	Tlr8	-1
chr11:34314822-34314822	ENSMUSG00000069911	Fam196b	1
chr8:84200869-84200869	ENSMUSG00000103593	RP24-64D24.3	1
chr9:56416066-56416066	ENSMUSG00000102419	RP23-180C14.1	-1
chr11:70156197-70156197	ENSMUSG00000000318	Clec10a	1
chr11:69696098-69696098	ENSMUSG00000018752	Tnfsf12Tnfsf13	-1
chr5:64467921-64467921	ENSMUSG00000100911	1700027F09Rik	-1
chr1:87865073-87865073	ENSMUSG00000103996	RP23-473M13.2	1
chr1:195013746-195013746	ENSMUSG00000103867	RP23-445K23.5	1
chr7:16259338-16259338	ENSMUSG00000049130	C5ar1	-1
chr7:4460674-4460674	ENSMUSG00000006154	Eps8l1	1
chr5:96793385-96793385	ENSMUSG00000029484	Anxa3	1
chr13:38951313-38951313	ENSMUSG00000097151	Gm26514	-1
chr7:30413788-30413788	ENSMUSG00000030579	Tyrobp	1
