tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr13:53473074-53473074	ENSMUSG00000021469	Msx2	-1
chr6:23248264-23248264	ENSMUSG00000029697	Fezf1	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chrX:38252429-38252429	ENSMUSG00000036502	Tmem255a	-1
chr3:89831370-89831370	ENSMUSG00000046280	She	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr15:101054399-101054399	ENSMUSG00000095440	Fignl2	-1
chrX:114474333-114474333	ENSMUSG00000025597	Klhl4	1
chr10:41612837-41612837	ENSMUSG00000101176	Gm29095	-1
chr11:115408314-115408314	ENSMUSG00000085072	Ict1os	-1
chr8:105633750-105633750	ENSMUSG00000102593	RP24-242N1.2	1
chr10:14718214-14718214	ENSMUSG00000019867	Gje1	-1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr5:127241808-127241808	ENSMUSG00000034324	Tmem132c	1
chr5:136883121-136883121	ENSMUSG00000004415	Col26a1	-1
chr14:55784042-55784042	ENSMUSG00000022220	Adcy4	-1
chr7:103843164-103843164	ENSMUSG00000052217	Hbb-bh1	-1
chr13:31806691-31806691	ENSMUSG00000050295	Foxc1	1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr19:55841672-55841672	ENSMUSG00000099746	Ppnr	1
chr2:52863516-52863516	ENSMUSG00000097857	Gm26603	-1
chr18:37755954-37755954	ENSMUSG00000097330	Gm26672	-1
chr1:74295603-74295603	ENSMUSG00000099931	Gm29358	1
chr5:75978458-75978458	ENSMUSG00000062960	Kdr	-1
chr8:104101625-104101625	ENSMUSG00000031871	Cdh5	1
chr5:138279958-138279958	ENSMUSG00000029510	Gpc2	-1
chr17:17830719-17830719	ENSMUSG00000080316	Spaca6	1
chrX:106485274-106485274	ENSMUSG00000033737	Fndc3c1	-1
chr10:23349887-23349887	ENSMUSG00000010461	Eya4	-1
chr12:33957671-33957671	ENSMUSG00000035799	Twist1	1
chr16:14705852-14705852	ENSMUSG00000022676	Snai2	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr2:80447625-80447625	ENSMUSG00000027004	Frzb	-1
chr12:19387809-19387809	ENSMUSG00000093908	Gm5784	1
chr13:51203065-51203065	ENSMUSG00000091383	Hist1h2al	-1
chr19:10389090-10389090	ENSMUSG00000024743	Syt7	1
chr3:82358044-82358044	ENSMUSG00000033900	Map9	1
chrX:135839056-135839056	ENSMUSG00000072966	Gprasp2	1
chr12:109729764-109729764	ENSMUSG00000097391	Mirg	1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr1:162217623-162217623	ENSMUSG00000078190	Dnm3os	1
chr5:5694060-5694060	ENSMUSG00000015653	Steap2	-1
chr13:89540636-89540636	ENSMUSG00000021613	Hapln1	1
chr11:51289920-51289920	ENSMUSG00000063564	Col23a1	1
chr8:87804439-87804439	ENSMUSG00000045333	Zfp423	-1
chr12:109695586-109695586	ENSMUSG00000098202	B830012L14Rik	1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr8:12385771-12385771	ENSMUSG00000047935	Gm5607	1
chr13:78198017-78198017	ENSMUSG00000087143	A830082K12Rik	1
chr11:95587735-95587735	ENSMUSG00000000120	Ngfr	-1
chr6:21985916-21985916	ENSMUSG00000062980	Cped1	1
chr4:154636866-154636866	ENSMUSG00000039410	Prdm16	-1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr17:47833241-47833241	ENSMUSG00000032717	Mdfi	-1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr13:23746790-23746790	ENSMUSG00000075031	Hist1h2bb	1
chr13:23562369-23562369	ENSMUSG00000069273	Hist1h3e	-1
chr13:23575763-23575763	ENSMUSG00000099583	Hist1h3d	1
chr3:30013156-30013156	ENSMUSG00000027684	Mecom	-1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr3:82074689-82074689	ENSMUSG00000028005	Gucy1b3	-1
chr15:89499623-89499623	ENSMUSG00000022623	Shank3	1
chr3:82145073-82145073	ENSMUSG00000033910	Gucy1a3	-1
chr14:55874735-55874735	ENSMUSG00000097542	Gm26751	-1
chr14:70890130-70890130	ENSMUSG00000022103	Gfra2	1
chr11:43587040-43587040	ENSMUSG00000045877	4933415A04Rik	1
chr9:37528078-37528078	ENSMUSG00000001946	Esam	1
chr4:118489755-118489755	ENSMUSG00000033191	Tie1	-1
chr4:94739289-94739289	ENSMUSG00000006386	Tek	1
chr3:137341067-137341067	ENSMUSG00000054690	Emcn	1
chr13:114458730-114458730	ENSMUSG00000021765	Fst	-1
chr17:49564337-49564337	ENSMUSG00000040260	Daam2	-1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr14:28504750-28504750	ENSMUSG00000021994	Wnt5a	1
chr1:82291416-82291416	ENSMUSG00000055980	Irs1	-1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
chr3:96219865-96219865	ENSMUSG00000063689	Hist2h2ab	1
chr1:154726356-154726356	ENSMUSG00000004110	Cacna1e	-1
chr7:112159057-112159057	ENSMUSG00000030772	Dkk3	-1
chr2:156775420-156775420	ENSMUSG00000067818	Myl9	1
chrX:6873484-6873484	ENSMUSG00000062393	Dgkk	1
chr7:137314445-137314445	ENSMUSG00000010476	Ebf3	-1
chr9:13446753-13446753	ENSMUSG00000090592	Gm17571	-1
chr3:32454587-32454587	ENSMUSG00000103039	RP23-372I17.5	1
chr6:119236526-119236526	ENSMUSG00000041460	Cacna2d4	1
chr18:62922327-62922327	ENSMUSG00000071847	Apcdd1	1
chr3:49757316-49757316	ENSMUSG00000037892	Pcdh18	-1
chr13:23762386-23762386	ENSMUSG00000069265	Hist1h3a	-1
chr7:43490075-43490075	ENSMUSG00000013367	Iglon5	-1
chr6:143947106-143947106	ENSMUSG00000041540	Sox5	-1
chr16:42340651-42340651	ENSMUSG00000047261	Gap43	-1
chr13:21750505-21750505	ENSMUSG00000064288	Hist1h4k	-1
chr13:21783370-21783370	ENSMUSG00000101972	Hist1h3i	-1
chr10:97565501-97565501	ENSMUSG00000036446	Lum	1
chr10:38965515-38965515	ENSMUSG00000019846	Lama4	1
chr3:87948666-87948666	ENSMUSG00000004885	Crabp2	1
chr4:83052339-83052339	ENSMUSG00000059049	Frem1	-1
chr7:62376979-62376979	ENSMUSG00000056972	Magel2	1
chr3:132950291-132950291	ENSMUSG00000040998	Npnt	-1
chr13:38951313-38951313	ENSMUSG00000097151	Gm26514	-1
chr11:76179671-76179671	ENSMUSG00000069808	Fam57a	1
chr12:109600330-109600330	ENSMUSG00000085925	Rtl1	-1
chr13:23531050-23531050	ENSMUSG00000060981	Hist1h4h	1
chr13:23544465-23544465	ENSMUSG00000100210	Hist1h3f	1
chr13:21832196-21832196	ENSMUSG00000069305	Hist1h4n	-1
chr3:96245497-96245497	ENSMUSG00000064220	Hist2h2aa2	1
chr3:96270289-96270289	ENSMUSG00000093656	Gm20628	-1
chr13:21833758-21833758	ENSMUSG00000069303	Hist1h2br	1
chr9:87498112-87498112	ENSMUSG00000102683	RP24-69K24.1	1
chr1:34350775-34350775	ENSMUSG00000102839	RP24-152H15.4	1
chr13:78199757-78199757	ENSMUSG00000069171	Nr2f1	-1
chr10:43174530-43174530	ENSMUSG00000038248	Sobp	-1
chr2:30834972-30834972	ENSMUSG00000039476	Prrx2	1
chr12:105453856-105453856	ENSMUSG00000094910	D430019H16Rik	1
chr11:71033513-71033513	ENSMUSG00000018451	6330403K07Rik	-1
