tss_loc	ensg	name	strand
chr5:71658308-71658308	ENSMUSG00000029211	Gabra4	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr6:77979699-77979699	ENSMUSG00000063063	Ctnna2	-1
chr11:110168196-110168196	ENSMUSG00000041797	Abca9	-1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chrX:143933311-143933311	ENSMUSG00000031285	Dcx	-1
chr10:63386563-63386563	ENSMUSG00000036764	Dnajc12	1
chr9:100571090-100571090	ENSMUSG00000070287	Slc35g2	-1
chr9:123260789-123260789	ENSMUSG00000054871	Tmem158	-1
chr4:49845549-49845549	ENSMUSG00000039579	Grin3a	-1
chr8:17535281-17535281	ENSMUSG00000060924	Csmd1	-1
chr1:15287254-15287254	ENSMUSG00000092083	Kcnb2	1
chr3:123446913-123446913	ENSMUSG00000027978	Prss12	1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr3:130180891-130180891	ENSMUSG00000058897	Col25a1	1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:7804974-7804974	ENSMUSG00000071984	Fndc1	-1
chr14:79771312-79771312	ENSMUSG00000036422	Pcdh8	-1
chr7:19282662-19282662	ENSMUSG00000030401	Rtn2	1
chr9:21937033-21937033	ENSMUSG00000040563	Lppr2	1
chr1:69107756-69107756	ENSMUSG00000062209	Erbb4	-1
chr6:88843720-88843720	ENSMUSG00000033152	Podxl2	-1
chr10:127000709-127000709	ENSMUSG00000025432	Avil	1
chr2:148732467-148732467	ENSMUSG00000027438	Napb	-1
chr10:11082305-11082305	ENSMUSG00000019828	Grm1	-1
chr7:78578408-78578408	ENSMUSG00000059146	Ntrk3	-1
chr6:18428231-18428231	ENSMUSG00000000416	Cttnbp2	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr9:44288615-44288615	ENSMUSG00000032131	Abcg4	-1
chr19:50678646-50678646	ENSMUSG00000043531	Sorcs1	-1
chr1:146494760-146494760	ENSMUSG00000035131	Brinp3	1
chr1:9601199-9601199	ENSMUSG00000067879	3110035E14Rik	1
chr12:49382693-49382693	ENSMUSG00000020950	Foxg1	1
chr14:55491093-55491093	ENSMUSG00000022211	Lrrc16b	1
chr3:88206813-88206813	ENSMUSG00000097156	Gm3764	1
chr2:178118975-178118975	ENSMUSG00000027525	Phactr3	1
chr7:141429425-141429425	ENSMUSG00000060240	Cend1	-1
chr2:82053222-82053222	ENSMUSG00000070866	Zfp804a	1
chr8:112570043-112570043	ENSMUSG00000031772	Cntnap4	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr17:24689955-24689955	ENSMUSG00000007021	Syngr3	-1
chr6:48537569-48537569	ENSMUSG00000039347	Atp6v0e2	1
chr10:109010975-109010975	ENSMUSG00000035864	Syt1	-1
chr9:86880439-86880439	ENSMUSG00000033419	Snap91	-1
chr3:96181151-96181151	ENSMUSG00000038486	Sv2a	1
chr2:181314500-181314500	ENSMUSG00000027581	Stmn3	-1
chr10:49788766-49788766	ENSMUSG00000056073	Grik2	-1
chr15:84447097-84447097	ENSMUSG00000062760	1810041L15Rik	-1
chr18:72351069-72351069	ENSMUSG00000060534	Dcc	-1
chr5:116467860-116467860	ENSMUSG00000063919	Srrm4	-1
chr8:106337988-106337988	ENSMUSG00000031906	Smpd3	-1
chr13:54749874-54749874	ENSMUSG00000069227	Gprin1	-1
