tss_loc	ensg	name	strand
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr8:25597487-25597487	ENSMUSG00000037363	Letm2	-1
chr14:47116161-47116161	ENSMUSG00000072589	Gm10371	-1
chr4:117929763-117929763	ENSMUSG00000028539	Artn	-1
chr3:116562973-116562973	ENSMUSG00000027961	Lrrc39	1
chr16:38362209-38362209	ENSMUSG00000022803	Popdc2	1
chr11:69948175-69948175	ENSMUSG00000018566	Slc2a4	-1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr9:44288615-44288615	ENSMUSG00000032131	Abcg4	-1
chr6:121300227-121300227	ENSMUSG00000030108	Slc6a13	1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr17:26199087-26199087	ENSMUSG00000024184	Pdia2	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr3:144760977-144760977	ENSMUSG00000056025	Clca1	-1
chr4:115640428-115640428	ENSMUSG00000028713	Cyp4b1	-1
chr11:53480274-53480274	ENSMUSG00000044352	Sowaha	-1
chr9:3015654-3015654	ENSMUSG00000074564	Gm10720	1
chr9:3036877-3036877	ENSMUSG00000096201	Gm10715	1
chr9:3013140-3013140	ENSMUSG00000096519	Gm10721	1
chr1:37865079-37865079	ENSMUSG00000060771	Tsga10	-1
chr6:87778136-87778136	ENSMUSG00000030054	Gp9	1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr11:117809668-117809668	ENSMUSG00000093485	Gm20708	1
chr17:36058371-36058371	ENSMUSG00000079492	Gm11127	-1
chr8:68276567-68276567	ENSMUSG00000053886	Sh2d4a	1
chr1:130731976-130731976	ENSMUSG00000042510	AA986860	1
chr5:48372392-48372392	ENSMUSG00000029089	Pacrgl	1
chr12:98628157-98628157	ENSMUSG00000021007	Spata7	1
chr11:11627824-11627824	ENSMUSG00000062511	4930512M02Rik	-1
chr18:56925548-56925548	ENSMUSG00000032656	March3	-1
chr14:46760541-46760541	ENSMUSG00000037628	Cdkn3	1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr14:50955992-50955992	ENSMUSG00000068417	Pnp2	1
chr9:66158223-66158223	ENSMUSG00000032380	Dapk2	1
chr12:78906964-78906964	ENSMUSG00000021118	Plek2	-1
chr5:137294629-137294629	ENSMUSG00000051502	Ufsp1	1
chr7:24862213-24862213	ENSMUSG00000091955	Gm9844	1
chr19:19001117-19001117	ENSMUSG00000036192	Rorb	-1
chr4:43669141-43669141	ENSMUSG00000043633	Fam221b	-1
chr3:122293547-122293547	ENSMUSG00000057359	Gm17494	-1
chr15:74897021-74897021	ENSMUSG00000063522	2010109I03Rik	-1
chr8:80494045-80494045	ENSMUSG00000051839	Gypa	1
chr15:103255439-103255439	ENSMUSG00000058794	Nfe2	-1
chr13:23746790-23746790	ENSMUSG00000075031	Hist1h2bb	1
chr13:23562369-23562369	ENSMUSG00000069273	Hist1h3e	-1
chr13:23575763-23575763	ENSMUSG00000099583	Hist1h3d	1
chr12:69790707-69790707	ENSMUSG00000020990	Cdkl1	-1
chr11:53980332-53980332	ENSMUSG00000063652	Slc22a21	-1
chr13:74062285-74062285	ENSMUSG00000021572	Cep72	-1
chr18:49755601-49755601	ENSMUSG00000024505	Dtwd2	-1
chr5:76658355-76658355	ENSMUSG00000103529	RP23-136I1.2	-1
chr6:134929092-134929092	ENSMUSG00000098318	1190002F15Rik	1
chr13:22041362-22041362	ENSMUSG00000060639	Hist1h4i	-1
chr14:55874735-55874735	ENSMUSG00000097542	Gm26751	-1
chr19:5727206-5727206	ENSMUSG00000089766	Gm16538	1
chr4:22408291-22408291	ENSMUSG00000103000	RP23-381K3.4	1
chr1:165235125-165235125	ENSMUSG00000102302	RP23-187M7.5	-1
chr18:61953075-61953075	ENSMUSG00000045629	Sh3tc2	1
chr11:54028090-54028090	ENSMUSG00000020334	Slc22a4	-1
chr17:31535460-31535460	ENSMUSG00000104159	RP23-106N22.5	-1
chr10:79874476-79874476	ENSMUSG00000057729	Prtn3	1
chr11:87793581-87793581	ENSMUSG00000009350	Mpo	1
chr15:77753072-77753072	ENSMUSG00000056656	Apol8	-1
chr4:156255338-156255338	ENSMUSG00000096351	Samd11	-1
chr11:83286726-83286726	ENSMUSG00000082101	Slfn14	-1
chr12:104926142-104926142	ENSMUSG00000100975	Gm28875	-1
chr11:58948920-58948920	ENSMUSG00000056895	Hist3h2ba	1
chr14:69503320-69503320	ENSMUSG00000093954	Gm28049	-1
chr4:46404236-46404236	ENSMUSG00000028332	Hemgn	-1
chr11:4118831-4118831	ENSMUSG00000003585	Sec14l2	-1
chr13:23762386-23762386	ENSMUSG00000069265	Hist1h3a	-1
chr4:119190011-119190011	ENSMUSG00000028644	Ermap	-1
chr13:21750505-21750505	ENSMUSG00000064288	Hist1h4k	-1
chr13:21783370-21783370	ENSMUSG00000101972	Hist1h3i	-1
chr17:25944932-25944932	ENSMUSG00000090113	Nhlrc4	-1
chr17:50698525-50698525	ENSMUSG00000044645	Gm7334	1
chr11:68973012-68973012	ENSMUSG00000032892	Rangrf	-1
chr12:85280435-85280435	ENSMUSG00000008822	Acyp1	-1
chr16:91465104-91465104	ENSMUSG00000084866	A930006K02Rik	1
chr18:54422295-54422295	ENSMUSG00000096982	Redrum	1
chr1:131638306-131638306	ENSMUSG00000004552	Ctse	1
chr14:70457476-70457476	ENSMUSG00000003469	Phyhip	1
chr9:66069731-66069731	ENSMUSG00000039452	Snx22	-1
chr6:125690419-125690419	ENSMUSG00000038115	Ano2	1
chr2:173119525-173119525	ENSMUSG00000070495	Ctcfl	-1
chr13:23531050-23531050	ENSMUSG00000060981	Hist1h4h	1
chr13:23544465-23544465	ENSMUSG00000100210	Hist1h3f	1
chr13:21832196-21832196	ENSMUSG00000069305	Hist1h4n	-1
chr3:96245497-96245497	ENSMUSG00000064220	Hist2h2aa2	1
chr3:96270289-96270289	ENSMUSG00000093656	Gm20628	-1
chr13:21833758-21833758	ENSMUSG00000069303	Hist1h2br	1
chr17:40811126-40811126	ENSMUSG00000023926	Rhag	1
