tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr17:56875477-56875477	ENSMUSG00000024209	1700061G19Rik	1
chrX:29151825-29151825	ENSMUSG00000097037	Gm26818	-1
chr13:23757620-23757620	ENSMUSG00000075029	4930558J22Rik	-1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chrY:818649-818649	ENSMUSG00000069053	Uba1y	1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr17:50293599-50293599	ENSMUSG00000010592	Dazl	-1
chr15:85131957-85131957	ENSMUSG00000022432	Smc1b	-1
chr6:125286042-125286042	ENSMUSG00000067702	Tuba3a	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr17:7804974-7804974	ENSMUSG00000071984	Fndc1	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chrY:797405-797405	ENSMUSG00000053211	Zfy1	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr4:101055263-101055263	ENSMUSG00000102578	RP23-336G7.4	-1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr11:100356128-100356128	ENSMUSG00000006930	Hap1	-1
chr12:83633833-83633833	ENSMUSG00000099708	Gm29361	-1
chr9:108826320-108826320	ENSMUSG00000023473	Celsr3	1
chr4:91372034-91372034	ENSMUSG00000008489	Elavl2	-1
chr11:101464999-101464999	ENSMUSG00000001313	Rnd2	1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr10:76961788-76961788	ENSMUSG00000001120	Pcbp3	-1
chr4:25800146-25800146	ENSMUSG00000055373	Fut9	-1
chrX:8042943-8042943	ENSMUSG00000087193	Gm14820	1
chr11:50602084-50602084	ENSMUSG00000036545	Adamts2	1
