tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr1:166130238-166130238	ENSMUSG00000000544	Gpa33	1
chr9:123260789-123260789	ENSMUSG00000054871	Tmem158	-1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr10:22820128-22820128	ENSMUSG00000045680	Tcf21	-1
chr1:74409376-74409376	ENSMUSG00000026175	Vil1	1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr7:46238492-46238492	ENSMUSG00000030838	Ush1c	-1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chr9:39604124-39604124	ENSMUSG00000038112	AW551984	-1
chr15:35296098-35296098	ENSMUSG00000022330	Osr2	1
chr9:21937033-21937033	ENSMUSG00000040563	Lppr2	1
chr1:69107756-69107756	ENSMUSG00000062209	Erbb4	-1
chr6:88843720-88843720	ENSMUSG00000033152	Podxl2	-1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr10:127705170-127705170	ENSMUSG00000025401	Myo1a	1
chrX:38252429-38252429	ENSMUSG00000036502	Tmem255a	-1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr12:58269258-58269258	ENSMUSG00000045930	Clec14a	-1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr11:115861612-115861612	ENSMUSG00000034427	Myo15b	1
chr1:78310345-78310345	ENSMUSG00000032908	Sgpp2	1
chr15:101054399-101054399	ENSMUSG00000095440	Fignl2	-1
chrX:114474333-114474333	ENSMUSG00000025597	Klhl4	1
chr3:105452330-105452330	ENSMUSG00000040896	Kcnd3	1
chr9:26733728-26733728	ENSMUSG00000045994	B3gat1	1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr1:20890606-20890606	ENSMUSG00000025931	Paqr8	1
chr17:8525372-8525372	ENSMUSG00000023868	Pde10a	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr11:100356128-100356128	ENSMUSG00000006930	Hap1	-1
chr5:127241808-127241808	ENSMUSG00000034324	Tmem132c	1
chr5:136883121-136883121	ENSMUSG00000004415	Col26a1	-1
chr4:123233556-123233556	ENSMUSG00000032744	Heyl	1
chr15:7398351-7398351	ENSMUSG00000042961	Egflam	-1
chr9:108826320-108826320	ENSMUSG00000023473	Celsr3	1
chr4:91372034-91372034	ENSMUSG00000008489	Elavl2	-1
chr11:101464999-101464999	ENSMUSG00000001313	Rnd2	1
chr19:58455398-58455398	ENSMUSG00000025089	Gfra1	-1
chr13:31806691-31806691	ENSMUSG00000050295	Foxc1	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr7:28833854-28833854	ENSMUSG00000053964	Lgals4	1
chr7:110982461-110982461	ENSMUSG00000005611	Mrvi1	-1
chr5:75978458-75978458	ENSMUSG00000062960	Kdr	-1
chr8:104101625-104101625	ENSMUSG00000031871	Cdh5	1
chr9:105998322-105998322	ENSMUSG00000032572	Col6a4	-1
chr15:79516408-79516408	ENSMUSG00000010830	Kdelr3	1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr10:76961788-76961788	ENSMUSG00000001120	Pcbp3	-1
chr4:25800146-25800146	ENSMUSG00000055373	Fut9	-1
chr5:138279958-138279958	ENSMUSG00000029510	Gpc2	-1
chr17:17830719-17830719	ENSMUSG00000080316	Spaca6	1
chrX:106485274-106485274	ENSMUSG00000033737	Fndc3c1	-1
chr3:90465866-90465866	ENSMUSG00000027931	Npr1	-1
chr12:33957671-33957671	ENSMUSG00000035799	Twist1	1
chr16:14705852-14705852	ENSMUSG00000022676	Snai2	1
chr11:50602084-50602084	ENSMUSG00000036545	Adamts2	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr2:80447625-80447625	ENSMUSG00000027004	Frzb	-1
chr3:94478831-94478831	ENSMUSG00000028137	Celf3	1
chr15:83784829-83784829	ENSMUSG00000041708	Mpped1	1
chr4:110351909-110351909	ENSMUSG00000028546	Elavl4	-1
chr19:10389090-10389090	ENSMUSG00000024743	Syt7	1
chr3:82358044-82358044	ENSMUSG00000033900	Map9	1
chrX:135839056-135839056	ENSMUSG00000072966	Gprasp2	1
chr11:65269941-65269941	ENSMUSG00000020542	Myocd	-1
chr6:36388084-36388084	ENSMUSG00000045613	Chrm2	1
chr10:70440880-70440880	ENSMUSG00000043259	Fam13c	1
chr12:109729764-109729764	ENSMUSG00000097391	Mirg	1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr1:162217623-162217623	ENSMUSG00000078190	Dnm3os	1
chr5:5694060-5694060	ENSMUSG00000015653	Steap2	-1
chr13:89540636-89540636	ENSMUSG00000021613	Hapln1	1
chr11:51289920-51289920	ENSMUSG00000063564	Col23a1	1
chr8:87804439-87804439	ENSMUSG00000045333	Zfp423	-1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr11:95587735-95587735	ENSMUSG00000000120	Ngfr	-1
chr6:21985916-21985916	ENSMUSG00000062980	Cped1	1
chr15:34306681-34306681	ENSMUSG00000022324	Matn2	1
chr17:14279506-14279506	ENSMUSG00000023886	Smoc2	1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr7:109010825-109010825	ENSMUSG00000031028	Tub	1
chr17:47833241-47833241	ENSMUSG00000032717	Mdfi	-1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr1:135324807-135324807	ENSMUSG00000048096	Lmod1	1
chr6:118197744-118197744	ENSMUSG00000030110	Ret	-1
chr2:66634952-66634952	ENSMUSG00000075316	Scn9a	-1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr2:163397949-163397949	ENSMUSG00000017817	Jph2	-1
chr3:82074689-82074689	ENSMUSG00000028005	Gucy1b3	-1
chr15:89499623-89499623	ENSMUSG00000022623	Shank3	1
chr3:82145073-82145073	ENSMUSG00000033910	Gucy1a3	-1
chr14:55874735-55874735	ENSMUSG00000097542	Gm26751	-1
chr14:70890130-70890130	ENSMUSG00000022103	Gfra2	1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr4:47208161-47208161	ENSMUSG00000028339	Col15a1	1
chr9:37528078-37528078	ENSMUSG00000001946	Esam	1
chr4:118489755-118489755	ENSMUSG00000033191	Tie1	-1
chr4:94739289-94739289	ENSMUSG00000006386	Tek	1
chr3:137341067-137341067	ENSMUSG00000054690	Emcn	1
chr13:114458730-114458730	ENSMUSG00000021765	Fst	-1
chr17:49564337-49564337	ENSMUSG00000040260	Daam2	-1
chr4:130047840-130047840	ENSMUSG00000040690	Col16a1	1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr14:28504750-28504750	ENSMUSG00000021994	Wnt5a	1
chr1:82291416-82291416	ENSMUSG00000055980	Irs1	-1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
chr15:95528706-95528706	ENSMUSG00000022454	Nell2	-1
chr1:174501825-174501825	ENSMUSG00000028354	Fmn2	1
chr1:152954993-152954993	ENSMUSG00000042751	Nmnat2	1
chr7:112159057-112159057	ENSMUSG00000030772	Dkk3	-1
chr7:36698118-36698118	ENSMUSG00000021217	Tshz3	1
chr8:111933791-111933791	ENSMUSG00000031951	Tmem231	-1
chr7:35334170-35334170	ENSMUSG00000030494	Rhpn2	1
chr3:157925077-157925077	ENSMUSG00000028179	Cth	-1
chr2:156775420-156775420	ENSMUSG00000067818	Myl9	1
chr11:28434110-28434110	ENSMUSG00000032878	Ccdc85a	-1
chr14:49783383-49783383	ENSMUSG00000036242	3632451O06Rik	-1
chr7:137314445-137314445	ENSMUSG00000010476	Ebf3	-1
