tss_loc	ensg	name	strand
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr7:104369884-104369884	ENSMUSG00000052749	Trim30b	-1
chr6:68270527-68270527	ENSMUSG00000093861	Igkv1-110	1
chr6:68121091-68121091	ENSMUSG00000094335	Igkv1-117	1
chr6:68632430-68632430	ENSMUSG00000094420	Igkv10-96	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr17:55749984-55749984	ENSMUSG00000032915	Emr4	1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr1:195176716-195176716	ENSMUSG00000026616	Cr2	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr6:68049983-68049983	ENSMUSG00000094872	Igkv9-120	1
chr1:171653035-171653035	ENSMUSG00000038179	Slamf7	-1
chr14:59341351-59341351	ENSMUSG00000091649	Phf11b	-1
chr1:173580353-173580353	ENSMUSG00000073491	Pydc4	-1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr3:87376387-87376387	ENSMUSG00000059994	Fcrl1	1
chr9:51278513-51278513	ENSMUSG00000044694	2010007H06Rik	1
chrX:73774405-73774405	ENSMUSG00000002007	Srpk3	1
chr8:72009626-72009626	ENSMUSG00000003484	Cyp4f18	-1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
chr12:112760655-112760655	ENSMUSG00000052160	Pld4	1
chr6:122602444-122602444	ENSMUSG00000040613	Apobec1	-1
chr3:35932787-35932787	ENSMUSG00000103229	Dcun1d1	-1
