tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr6:77979699-77979699	ENSMUSG00000063063	Ctnna2	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr13:53473074-53473074	ENSMUSG00000021469	Msx2	-1
chr17:25244033-25244033	ENSMUSG00000047507	Baiap3	-1
chr2:165655298-165655298	ENSMUSG00000017897	Eya2	1
chrX:143933311-143933311	ENSMUSG00000031285	Dcx	-1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr12:80760541-80760541	ENSMUSG00000062961	Ccdc177	-1
chr6:23248264-23248264	ENSMUSG00000029697	Fezf1	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:85613608-85613608	ENSMUSG00000038805	Six3	1
chr17:85615348-85615348	ENSMUSG00000093460	Six3os1	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr9:102345903-102345903	ENSMUSG00000097524	Gm26846	1
chr13:83738535-83738535	ENSMUSG00000102969	RP23-88A13.4	-1
chr5:112217060-112217060	ENSMUSG00000097986	Gm26953	1
chr2:25183339-25183339	ENSMUSG00000103217	RP23-132N23.22	-1
chr9:106148687-106148687	ENSMUSG00000086296	D030055H07Rik	1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr12:49382693-49382693	ENSMUSG00000020950	Foxg1	1
chr14:55491093-55491093	ENSMUSG00000022211	Lrrc16b	1
chr3:88206813-88206813	ENSMUSG00000097156	Gm3764	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr10:49788766-49788766	ENSMUSG00000056073	Grik2	-1
chr15:84447097-84447097	ENSMUSG00000062760	1810041L15Rik	-1
chr18:72351069-72351069	ENSMUSG00000060534	Dcc	-1
chr5:116467860-116467860	ENSMUSG00000063919	Srrm4	-1
chr2:163203125-163203125	ENSMUSG00000074607	Tox2	1
chrX:141725263-141725263	ENSMUSG00000054667	Irs4	-1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr11:22001615-22001615	ENSMUSG00000005917	Otx1	-1
chr15:101054399-101054399	ENSMUSG00000095440	Fignl2	-1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr10:80295977-80295977	ENSMUSG00000020135	Apc2	1
chrX:101299168-101299168	ENSMUSG00000031302	Nlgn3	1
chr10:52690533-52690533	ENSMUSG00000038602	Slc35f1	1
chr10:41612837-41612837	ENSMUSG00000101176	Gm29095	-1
chr11:115408314-115408314	ENSMUSG00000085072	Ict1os	-1
chr8:105633750-105633750	ENSMUSG00000102593	RP24-242N1.2	1
chr10:14718214-14718214	ENSMUSG00000019867	Gje1	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr11:100356128-100356128	ENSMUSG00000006930	Hap1	-1
chr7:18925888-18925888	ENSMUSG00000030411	Nova2	1
chr9:108826320-108826320	ENSMUSG00000023473	Celsr3	1
chr4:91372034-91372034	ENSMUSG00000008489	Elavl2	-1
chr11:101464999-101464999	ENSMUSG00000001313	Rnd2	1
chr7:103843164-103843164	ENSMUSG00000052217	Hbb-bh1	-1
chr2:168281132-168281132	ENSMUSG00000074575	Kcng1	-1
chr10:42583632-42583632	ENSMUSG00000019803	Nr2e1	-1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr19:55841672-55841672	ENSMUSG00000099746	Ppnr	1
chr2:52863516-52863516	ENSMUSG00000097857	Gm26603	-1
chr18:37755954-37755954	ENSMUSG00000097330	Gm26672	-1
chr1:74295603-74295603	ENSMUSG00000099931	Gm29358	1
chr10:76961788-76961788	ENSMUSG00000001120	Pcbp3	-1
chr4:25800146-25800146	ENSMUSG00000055373	Fut9	-1
chr5:138279958-138279958	ENSMUSG00000029510	Gpc2	-1
chr17:17830719-17830719	ENSMUSG00000080316	Spaca6	1
chrX:106485274-106485274	ENSMUSG00000033737	Fndc3c1	-1
chr12:72409054-72409054	ENSMUSG00000021087	Rtn1	-1
chr10:23349887-23349887	ENSMUSG00000010461	Eya4	-1
chr4:103619359-103619359	ENSMUSG00000028519	Dab1	1
chr11:116918863-116918863	ENSMUSG00000043857	Mgat5b	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr2:181135103-181135103	ENSMUSG00000016346	Kcnq2	-1
chr2:104230568-104230568	ENSMUSG00000068373	D430041D05Rik	-1
chr3:94478831-94478831	ENSMUSG00000028137	Celf3	1
chr15:83784829-83784829	ENSMUSG00000041708	Mpped1	1
chr4:110351909-110351909	ENSMUSG00000028546	Elavl4	-1
chr19:10389090-10389090	ENSMUSG00000024743	Syt7	1
chr3:82358044-82358044	ENSMUSG00000033900	Map9	1
chrX:135839056-135839056	ENSMUSG00000072966	Gprasp2	1
chr12:109729764-109729764	ENSMUSG00000097391	Mirg	1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr1:162217623-162217623	ENSMUSG00000078190	Dnm3os	1
chr5:5694060-5694060	ENSMUSG00000015653	Steap2	-1
chr8:87804439-87804439	ENSMUSG00000045333	Zfp423	-1
chr12:109695586-109695586	ENSMUSG00000098202	B830012L14Rik	1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr8:12385771-12385771	ENSMUSG00000047935	Gm5607	1
chr13:78198017-78198017	ENSMUSG00000087143	A830082K12Rik	1
chr4:154636866-154636866	ENSMUSG00000039410	Prdm16	-1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr1:158362273-158362273	ENSMUSG00000026587	Astn1	1
chr8:70120873-70120873	ENSMUSG00000002341	Ncan	-1
chr1:42695768-42695768	ENSMUSG00000045515	Pou3f3	1
chr7:109010825-109010825	ENSMUSG00000031028	Tub	1
chr1:25317708-25317708	ENSMUSG00000104027	RP23-21P2.5	-1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr19:5098418-5098418	ENSMUSG00000024873	Cnih2	-1
chr15:66286224-66286224	ENSMUSG00000056258	Kcnq3	-1
chr7:4119408-4119408	ENSMUSG00000030428	Ttyh1	1
chr13:23746790-23746790	ENSMUSG00000075031	Hist1h2bb	1
chr13:23562369-23562369	ENSMUSG00000069273	Hist1h3e	-1
chr13:23575763-23575763	ENSMUSG00000099583	Hist1h3d	1
chr3:30013156-30013156	ENSMUSG00000027684	Mecom	-1
chr7:67222458-67222458	ENSMUSG00000097527	1700112J16Rik	-1
chr4:124986430-124986430	ENSMUSG00000028871	Rspo1	1
chr7:46732543-46732543	ENSMUSG00000040017	Saa4	-1
chr3:96246685-96246685	ENSMUSG00000093769	Hist2h3c1	1
chr14:55874735-55874735	ENSMUSG00000097542	Gm26751	-1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr1:74601445-74601445	ENSMUSG00000033276	Stk36	1
chr11:43587040-43587040	ENSMUSG00000045877	4933415A04Rik	1
chr13:56252163-56252163	ENSMUSG00000048904	Neurog1	-1
chr4:22408291-22408291	ENSMUSG00000103000	RP23-381K3.4	1
chr1:165235125-165235125	ENSMUSG00000102302	RP23-187M7.5	-1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr14:28504750-28504750	ENSMUSG00000021994	Wnt5a	1
chr1:82291416-82291416	ENSMUSG00000055980	Irs1	-1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
chr1:174501825-174501825	ENSMUSG00000028354	Fmn2	1
chr1:152954993-152954993	ENSMUSG00000042751	Nmnat2	1
chr18:64340364-64340364	ENSMUSG00000045991	Onecut2	1
