tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr1:166130238-166130238	ENSMUSG00000000544	Gpa33	1
chrX:143933311-143933311	ENSMUSG00000031285	Dcx	-1
chr9:123260789-123260789	ENSMUSG00000054871	Tmem158	-1
chr3:96670131-96670131	ENSMUSG00000038354	Ankrd35	1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr12:80760541-80760541	ENSMUSG00000062961	Ccdc177	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr13:22009741-22009741	ENSMUSG00000006179	Prss16	-1
chr17:46428926-46428926	ENSMUSG00000023968	Crip3	1
chr2:147361925-147361925	ENSMUSG00000037034	Pax1	1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr9:105960643-105960643	ENSMUSG00000091345	Col6a5	-1
chr9:111057270-111057270	ENSMUSG00000043953	Ccrl2	-1
chr5:92348882-92348882	ENSMUSG00000034855	Cxcl10	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr1:74409376-74409376	ENSMUSG00000026175	Vil1	1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chr10:58813359-58813359	ENSMUSG00000037990	Sh3rf3	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr10:127000709-127000709	ENSMUSG00000025432	Avil	1
chr15:101850786-101850786	ENSMUSG00000046834	Krt1	-1
chr11:55336564-55336564	ENSMUSG00000055333	Fat2	-1
chr1:162984527-162984527	ENSMUSG00000026691	Fmo3	-1
chr15:28203752-28203752	ENSMUSG00000022262	Dnah5	1
chr10:127705170-127705170	ENSMUSG00000025401	Myo1a	1
chr2:85519024-85519024	ENSMUSG00000075217	4833423E24Rik	-1
chr19:5349574-5349574	ENSMUSG00000024846	Cst6	-1
chr12:49382693-49382693	ENSMUSG00000020950	Foxg1	1
chr14:55491093-55491093	ENSMUSG00000022211	Lrrc16b	1
chr3:88206813-88206813	ENSMUSG00000097156	Gm3764	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr9:104102560-104102560	ENSMUSG00000079355	Ackr4	-1
chr5:90640487-90640487	ENSMUSG00000029370	Rassf6	-1
chr12:104263122-104263122	ENSMUSG00000079014	Serpina3i	1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr4:22488366-22488366	ENSMUSG00000095139	Pou3f2	-1
chr1:144177372-144177372	ENSMUSG00000051079	Rgs13	-1
chr12:56691767-56691767	ENSMUSG00000001497	Pax9	1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr1:39193731-39193731	ENSMUSG00000026077	Npas2	1
chr2:59484653-59484653	ENSMUSG00000026989	Dapl1	1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr11:115861612-115861612	ENSMUSG00000034427	Myo15b	1
chr15:101054399-101054399	ENSMUSG00000095440	Fignl2	-1
chr1:83116766-83116766	ENSMUSG00000026166	Ccl20	1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr3:144760977-144760977	ENSMUSG00000056025	Clca1	-1
chr4:115640428-115640428	ENSMUSG00000028713	Cyp4b1	-1
chr1:106861173-106861173	ENSMUSG00000067006	Serpinb5	1
chr11:100135928-100135928	ENSMUSG00000054146	Krt15	-1
chr7:28863853-28863853	ENSMUSG00000053522	Lgals7	1
chr19:47692094-47692094	ENSMUSG00000025064	Col17a1	-1
chr11:99389364-99389364	ENSMUSG00000019761	Krt10	-1
chr1:93168725-93168725	ENSMUSG00000084989	E030010N08Rik	1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
chr12:112760655-112760655	ENSMUSG00000052160	Pld4	1
chr6:122602444-122602444	ENSMUSG00000040613	Apobec1	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr11:100356128-100356128	ENSMUSG00000006930	Hap1	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr13:31806691-31806691	ENSMUSG00000050295	Foxc1	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr7:28833854-28833854	ENSMUSG00000053964	Lgals4	1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr7:110982461-110982461	ENSMUSG00000005611	Mrvi1	-1
chr9:105998322-105998322	ENSMUSG00000032572	Col6a4	-1
chr8:4325210-4325210	ENSMUSG00000023235	Ccl25	1
chr4:107307169-107307169	ENSMUSG00000034785	Dio1	-1
chr10:23349887-23349887	ENSMUSG00000010461	Eya4	-1
chr8:68276567-68276567	ENSMUSG00000053886	Sh2d4a	1
chr1:130731976-130731976	ENSMUSG00000042510	AA986860	1
chr11:116918863-116918863	ENSMUSG00000043857	Mgat5b	1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr8:19225478-19225478	ENSMUSG00000050756	Defb6	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr19:57008228-57008228	ENSMUSG00000025083	Afap1l2	-1
chr6:125320659-125320659	ENSMUSG00000030340	Scnn1a	1
chr19:10389090-10389090	ENSMUSG00000024743	Syt7	1
chr3:82358044-82358044	ENSMUSG00000033900	Map9	1
chrX:135839056-135839056	ENSMUSG00000072966	Gprasp2	1
chr6:48895254-48895254	ENSMUSG00000029811	Aoc1	1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr5:120777661-120777661	ENSMUSG00000032661	Oas3	-1
chr4:128962420-128962420	ENSMUSG00000028789	Azin2	-1
chr1:119422248-119422248	ENSMUSG00000037035	Inhbb	-1
chr7:110627661-110627661	ENSMUSG00000030790	Adm	1
chr1:135919207-135919207	ENSMUSG00000026413	Pkp1	-1
chr9:43310763-43310763	ENSMUSG00000032013	Trim29	1
chr11:100206030-100206030	ENSMUSG00000045545	Krt14	-1
chr15:101712891-101712891	ENSMUSG00000061527	Krt5	-1
chr11:100261029-100261029	ENSMUSG00000035557	Krt17	-1
chr18:20002097-20002097	ENSMUSG00000059898	Dsc3	-1
chr16:25801916-25801916	ENSMUSG00000022510	Trp63	1
chr2:146221921-146221921	ENSMUSG00000068154	Insm1	1
chr14:50955992-50955992	ENSMUSG00000068417	Pnp2	1
chr9:66158223-66158223	ENSMUSG00000032380	Dapk2	1
chr12:78906964-78906964	ENSMUSG00000021118	Plek2	-1
chr5:137294629-137294629	ENSMUSG00000051502	Ufsp1	1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr14:34085981-34085981	ENSMUSG00000021950	Anxa8	1
chr14:70554056-70554056	ENSMUSG00000022096	Hr	1
chr4:155010984-155010984	ENSMUSG00000029055	Plch2	-1
chr15:101940324-101940324	ENSMUSG00000061397	Krt79	-1
chr13:72628820-72628820	ENSMUSG00000001504	Irx2	1
chr9:108953586-108953586	ENSMUSG00000025650	Col7a1	1
chr15:34306681-34306681	ENSMUSG00000022324	Matn2	1
chr17:14279506-14279506	ENSMUSG00000023886	Smoc2	1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr17:34092340-34092340	ENSMUSG00000024334	H2-Oa	1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr17:34325665-34325665	ENSMUSG00000067341	H2-Eb2	1
chr11:48826140-48826140	ENSMUSG00000040350	Trim7	1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr17:37483551-37483551	ENSMUSG00000016283	H2-M2	-1
chr19:5098418-5098418	ENSMUSG00000024873	Cnih2	-1
