tss_loc	ensg	name	strand
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr16:36131241-36131241	ENSMUSG00000034362	Csta1	-1
chr7:121083322-121083322	ENSMUSG00000034990	Otoa	1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chr15:101850786-101850786	ENSMUSG00000046834	Krt1	-1
chr11:55336564-55336564	ENSMUSG00000055333	Fat2	-1
chr2:85519024-85519024	ENSMUSG00000075217	4833423E24Rik	-1
chr19:5349574-5349574	ENSMUSG00000024846	Cst6	-1
chr15:85735776-85735776	ENSMUSG00000022383	Ppara	1
chr4:141623821-141623821	ENSMUSG00000040740	Slc25a34	-1
chr9:104102560-104102560	ENSMUSG00000079355	Ackr4	-1
chr5:90640487-90640487	ENSMUSG00000029370	Rassf6	-1
chr12:104263122-104263122	ENSMUSG00000079014	Serpina3i	1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr15:101370125-101370125	ENSMUSG00000037185	Krt80	-1
chr3:93015687-93015687	ENSMUSG00000027913	Crct1	-1
chr17:35552128-35552128	ENSMUSG00000039518	Cdsn	1
chr17:35065388-35065388	ENSMUSG00000092586	Ly6g6c	1
chr3:94693556-94693556	ENSMUSG00000068877	Selenbp2	1
chr4:127354081-127354081	ENSMUSG00000046623	Gjb4	-1
chr14:57133611-57133611	ENSMUSG00000040055	Gjb6	-1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr3:88334504-88334504	ENSMUSG00000001420	Tmem79	-1
chr6:113471427-113471427	ENSMUSG00000030281	Il17rc	1
chr1:106861173-106861173	ENSMUSG00000067006	Serpinb5	1
chr11:100135928-100135928	ENSMUSG00000054146	Krt15	-1
chr7:28863853-28863853	ENSMUSG00000053522	Lgals7	1
chr19:47692094-47692094	ENSMUSG00000025064	Col17a1	-1
chr11:99389364-99389364	ENSMUSG00000019761	Krt10	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr4:122961152-122961152	ENSMUSG00000028655	Mfsd2a	-1
chr9:119157093-119157093	ENSMUSG00000010651	Acaa1b	-1
chr2:151572622-151572622	ENSMUSG00000027456	Sdcbp2	1
chr5:24392143-24392143	ENSMUSG00000038295	Atg9b	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr14:34355433-34355433	ENSMUSG00000043681	Fam25c	-1
chr7:140835018-140835018	ENSMUSG00000025481	Urah	1
chr4:138757626-138757626	ENSMUSG00000028749	Pla2g2f	-1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr5:24209724-24209724	ENSMUSG00000099891	Gm5575	-1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr3:90465866-90465866	ENSMUSG00000027931	Npr1	-1
chr8:68276567-68276567	ENSMUSG00000053886	Sh2d4a	1
chr1:130731976-130731976	ENSMUSG00000042510	AA986860	1
chr12:36314169-36314169	ENSMUSG00000036169	Sostdc1	1
chr10:24223517-24223517	ENSMUSG00000020000	Moxd1	1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr19:57008228-57008228	ENSMUSG00000025083	Afap1l2	-1
chr6:125320659-125320659	ENSMUSG00000030340	Scnn1a	1
chr3:92083142-92083142	ENSMUSG00000043165	Lor	-1
chr1:71414910-71414910	ENSMUSG00000050296	Abca12	-1
chr1:135919207-135919207	ENSMUSG00000026413	Pkp1	-1
chr9:43310763-43310763	ENSMUSG00000032013	Trim29	1
chr11:100206030-100206030	ENSMUSG00000045545	Krt14	-1
chr15:101712891-101712891	ENSMUSG00000061527	Krt5	-1
chr11:100261029-100261029	ENSMUSG00000035557	Krt17	-1
chr18:20002097-20002097	ENSMUSG00000059898	Dsc3	-1
chr16:25801916-25801916	ENSMUSG00000022510	Trp63	1
chr9:19928282-19928282	ENSMUSG00000091460	Gm7808	-1
chr7:144738543-144738543	ENSMUSG00000031075	Ano1	-1
chr14:50955992-50955992	ENSMUSG00000068417	Pnp2	1
chr9:66158223-66158223	ENSMUSG00000032380	Dapk2	1
chr12:78906964-78906964	ENSMUSG00000021118	Plek2	-1
chr5:137294629-137294629	ENSMUSG00000051502	Ufsp1	1
chr4:127329161-127329161	ENSMUSG00000042367	Gjb3	-1
chr2:172549593-172549593	ENSMUSG00000028640	Tfap2c	1
chr1:72212307-72212307	ENSMUSG00000039395	Mreg	-1
chr16:19706365-19706365	ENSMUSG00000041247	Lamp3	-1
chr13:21495223-21495223	ENSMUSG00000078139	AK157302	1
chr7:24862213-24862213	ENSMUSG00000091955	Gm9844	1
chr19:19001117-19001117	ENSMUSG00000036192	Rorb	-1
chr4:43669141-43669141	ENSMUSG00000043633	Fam221b	-1
chr3:122293547-122293547	ENSMUSG00000057359	Gm17494	-1
chr14:34085981-34085981	ENSMUSG00000021950	Anxa8	1
chr14:70554056-70554056	ENSMUSG00000022096	Hr	1
chr4:155010984-155010984	ENSMUSG00000029055	Plch2	-1
chr2:6130211-6130211	ENSMUSG00000045319	Proser2	-1
chr7:4164860-4164860	ENSMUSG00000063838	Cdc42ep5	-1
