tss_loc	ensg	name	strand
chr7:131334622-131334622	ENSMUSG00000030859	Fam24a	1
chr2:104122769-104122769	ENSMUSG00000032671	A930018P22Rik	1
chr9:21927471-21927471	ENSMUSG00000006241	Ccdc159	1
chrX:54531208-54531208	ENSMUSG00000096468	Gm16405	1
chrX:54622211-54622211	ENSMUSG00000094714	Gm16430	1
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr4:138724792-138724792	ENSMUSG00000028750	Pla2g2c	1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chrX:143933311-143933311	ENSMUSG00000031285	Dcx	-1
chr8:25597487-25597487	ENSMUSG00000037363	Letm2	-1
chr6:30509849-30509849	ENSMUSG00000029784	Ssmem1	1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chrY:818649-818649	ENSMUSG00000069053	Uba1y	1
chr12:110682619-110682619	ENSMUSG00000056508	1700001K19Rik	-1
chr6:28427789-28427789	ENSMUSG00000029707	Fscn3	1
chr2:26294557-26294557	ENSMUSG00000048038	4932418E24Rik	-1
chr16:77846693-77846693	ENSMUSG00000091193	Gm17333	1
chr7:4532453-4532453	ENSMUSG00000055809	Dnaaf3	-1
chr17:45523434-45523434	ENSMUSG00000023949	Tcte1	1
chr16:38902316-38902316	ENSMUSG00000022790	Igsf11	1
chr17:50293599-50293599	ENSMUSG00000010592	Dazl	-1
chr15:85131957-85131957	ENSMUSG00000022432	Smc1b	-1
chr6:125286042-125286042	ENSMUSG00000067702	Tuba3a	-1
chr17:14934653-14934653	ENSMUSG00000046991	Wdr27	-1
chr17:43630299-43630299	ENSMUSG00000040140	Tdrd6	-1
chr6:96166243-96166243	ENSMUSG00000072878	1700123L14Rik	-1
chr11:116454347-116454347	ENSMUSG00000070331	Qrich2	-1
chr15:74634849-74634849	ENSMUSG00000022603	Mroh4	-1
chr6:124779727-124779727	ENSMUSG00000030125	Lrrc23	-1
chr11:114727408-114727408	ENSMUSG00000034706	Dnaic2	1
chr7:89903618-89903618	ENSMUSG00000039391	Ccdc81	-1
chr2:18699023-18699023	ENSMUSG00000037708	BC061194	1
chr14:32833962-32833962	ENSMUSG00000078127	Fam170b	1
chr4:56741443-56741443	ENSMUSG00000070980	Actl7b	-1
chr5:120589016-120589016	ENSMUSG00000029601	Iqcd	1
chr17:29318877-29318877	ENSMUSG00000024011	Pi16	1
chr13:47122720-47122720	ENSMUSG00000038068	Rnf144b	1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr15:74817473-74817473	ENSMUSG00000068349	Gml	-1
chr18:6603633-6603633	ENSMUSG00000039540	4921524L21Rik	1
chr10:93831555-93831555	ENSMUSG00000020020	Usp44	1
chr3:138186713-138186713	ENSMUSG00000012042	4930579F01Rik	-1
chr4:92147234-92147234	ENSMUSG00000028533	Izumo3	-1
chr4:94928843-94928843	ENSMUSG00000028575	Eqtn	-1
chr16:17147229-17147229	ENSMUSG00000022768	Ccdc116	-1
chr7:45418353-45418353	ENSMUSG00000038194	Lhb	1
chr5:149439706-149439706	ENSMUSG00000029660	Tex26	1
chr9:21937033-21937033	ENSMUSG00000040563	Lppr2	1
chr1:69107756-69107756	ENSMUSG00000062209	Erbb4	-1
chr6:88843720-88843720	ENSMUSG00000033152	Podxl2	-1
chr9:100703213-100703213	ENSMUSG00000104272	RP23-116P18.4	1
chr1:170308803-170308803	ENSMUSG00000042800	1700015E13Rik	1
chr12:113543908-113543908	ENSMUSG00000043945	Adam6a	1
chr11:105994675-105994675	ENSMUSG00000101605	Ace3	1
chr15:38219203-38219203	ENSMUSG00000061923	Odf1	1
chr7:30733068-30733068	ENSMUSG00000061099	Gapdhs	-1
chr11:76217608-76217608	ENSMUSG00000038057	Dbil5	1
chr8:83348471-83348471	ENSMUSG00000035057	Mgat4d	1
chr18:17035508-17035508	ENSMUSG00000087170	1700001G01Rik	1
chr6:138658444-138658444	ENSMUSG00000046717	Igbp1b	-1
chr3:40522912-40522912	ENSMUSG00000037884	1700017G19Rik	-1
chr17:71552061-71552061	ENSMUSG00000052525	Spdya	1
chr5:114853664-114853664	ENSMUSG00000029564	4930519G04Rik	1
chr1:46066315-46066315	ENSMUSG00000041144	Dnah7b	1
chr1:177983423-177983423	ENSMUSG00000091476	Gm16432	1
chr13:21468509-21468509	ENSMUSG00000059395	Nkapl	-1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr6:52191753-52191753	ENSMUSG00000000942	Hoxa4	-1
chr13:62888282-62888282	ENSMUSG00000069805	Fbp1	-1
chr10:41303980-41303980	ENSMUSG00000091415	Ak9	1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr7:105640562-105640562	ENSMUSG00000030882	Dnhd1	1
chr11:52004265-52004265	ENSMUSG00000020389	Cdkl3	1
chr3:137624037-137624037	ENSMUSG00000046818	Ddit4l	1
chr10:86655939-86655939	ENSMUSG00000090308	Gm5174	1
chr9:88719629-88719629	ENSMUSG00000074149	Gm10634	1
chr6:40519508-40519508	ENSMUSG00000029909	Prss37	-1
chr4:116173372-116173372	ENSMUSG00000078593	1700042G07Rik	1
chr4:101055263-101055263	ENSMUSG00000102578	RP23-336G7.4	-1
chr15:88954418-88954418	ENSMUSG00000022388	Ttll8	-1
chr7:24818795-24818795	ENSMUSG00000011350	Gm5893	1
chr15:98398419-98398419	ENSMUSG00000099353	1700031M16Rik	1
chr9:14500482-14500482	ENSMUSG00000053914	Kdm4d	-1
chr2:24475599-24475599	ENSMUSG00000026976	Pax8	-1
chr19:44756045-44756045	ENSMUSG00000004231	Pax2	1
chr16:16829313-16829313	ENSMUSG00000022783	Spag6	-1
chr2:163203125-163203125	ENSMUSG00000074607	Tox2	1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
