tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr16:48842552-48842552	ENSMUSG00000061100	Retnla	1
chr11:101971143-101971143	ENSMUSG00000093467	Gm20659	1
chr3:152266320-152266320	ENSMUSG00000039103	Nexn	-1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr7:4964345-4964345	ENSMUSG00000030433	Sbk2	-1
chr11:120648158-120648158	ENSMUSG00000025141	Myadml2	-1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr11:30649587-30649587	ENSMUSG00000060923	Acyp2	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:7804974-7804974	ENSMUSG00000071984	Fndc1	-1
chr9:39604124-39604124	ENSMUSG00000038112	AW551984	-1
chr15:35296098-35296098	ENSMUSG00000022330	Osr2	1
chr11:90390895-90390895	ENSMUSG00000003949	Hlf	-1
chr3:102086415-102086415	ENSMUSG00000027861	Casq2	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr8:71395801-71395801	ENSMUSG00000034911	Ushbp1	-1
chr17:25081181-25081181	ENSMUSG00000024168	Tmem204	-1
chr3:116562973-116562973	ENSMUSG00000027961	Lrrc39	1
chr16:38362209-38362209	ENSMUSG00000022803	Popdc2	1
chr11:69948175-69948175	ENSMUSG00000018566	Slc2a4	-1
chr17:48432728-48432728	ENSMUSG00000040694	Apobec2	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr11:82910550-82910550	ENSMUSG00000018845	Unc45b	1
chr3:89831370-89831370	ENSMUSG00000046280	She	1
chr3:137624037-137624037	ENSMUSG00000046818	Ddit4l	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr10:40630011-40630011	ENSMUSG00000063428	Ddo	1
chr17:56117596-56117596	ENSMUSG00000011305	Plin5	-1
chr1:167598384-167598384	ENSMUSG00000015843	Rxrg	1
chr12:58269258-58269258	ENSMUSG00000045930	Clec14a	-1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr8:23149585-23149585	ENSMUSG00000086741	Gm15816	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr18:31931507-31931507	ENSMUSG00000024395	Lims2	1
chr1:17004219-17004219	ENSMUSG00000042686	Jph1	-1
chr3:95160457-95160457	ENSMUSG00000038777	Sema6c	1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
