tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr6:142275568-142275568	ENSMUSG00000063975	Slco1a5	-1
chr9:21927535-21927535	ENSMUSG00000040883	Tmem205	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr6:52234939-52234939	ENSMUSG00000000938	Hoxa10	-1
chr11:96271457-96271457	ENSMUSG00000020875	Hoxb9	1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr9:105960643-105960643	ENSMUSG00000091345	Col6a5	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:29318877-29318877	ENSMUSG00000024011	Pi16	1
chr13:47122720-47122720	ENSMUSG00000038068	Rnf144b	1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chr15:38219203-38219203	ENSMUSG00000061923	Odf1	1
chr7:30733068-30733068	ENSMUSG00000061099	Gapdhs	-1
chr11:76217608-76217608	ENSMUSG00000038057	Dbil5	1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr2:85519024-85519024	ENSMUSG00000075217	4833423E24Rik	-1
chr19:5349574-5349574	ENSMUSG00000024846	Cst6	-1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr12:79130777-79130777	ENSMUSG00000021125	Arg2	1
chr2:24475599-24475599	ENSMUSG00000026976	Pax8	-1
chr19:44756045-44756045	ENSMUSG00000004231	Pax2	1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr18:31931507-31931507	ENSMUSG00000024395	Lims2	1
chr10:5593728-5593728	ENSMUSG00000046916	Myct1	1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr3:88334504-88334504	ENSMUSG00000001420	Tmem79	-1
chr6:113471427-113471427	ENSMUSG00000030281	Il17rc	1
chr18:44196177-44196177	ENSMUSG00000073573	Spink11	-1
chr9:109849456-109849456	ENSMUSG00000038357	Camp	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr2:34913976-34913976	ENSMUSG00000026873	Phf19	-1
chr11:4948064-4948064	ENSMUSG00000020396	Nefh	-1
chr10:81393051-81393051	ENSMUSG00000078439	Smim24	1
chr1:162898712-162898712	ENSMUSG00000040170	Fmo2	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr6:135247965-135247965	ENSMUSG00000030206	Gsg1	-1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr7:110982461-110982461	ENSMUSG00000005611	Mrvi1	-1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr10:76961788-76961788	ENSMUSG00000001120	Pcbp3	-1
chr4:25800146-25800146	ENSMUSG00000055373	Fut9	-1
chr12:10370044-10370044	ENSMUSG00000020622	Nt5c1b	1
chr9:106544689-106544689	ENSMUSG00000023577	Iqcf3	-1
chr1:172258414-172258414	ENSMUSG00000007107	Atp1a4	-1
chr15:101128522-101128522	ENSMUSG00000000530	Acvrl1	1
chr14:66140960-66140960	ENSMUSG00000022041	Chrna2	1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chr6:125320659-125320659	ENSMUSG00000030340	Scnn1a	1
chr7:125368861-125368861	ENSMUSG00000090457	4930571K23Rik	1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr6:60924976-60924976	ENSMUSG00000054641	Mmrn1	1
chr13:89540636-89540636	ENSMUSG00000021613	Hapln1	1
chr7:144738543-144738543	ENSMUSG00000031075	Ano1	-1
chr15:34306681-34306681	ENSMUSG00000022324	Matn2	1
chr17:14279506-14279506	ENSMUSG00000023886	Smoc2	1
chr16:22657173-22657173	ENSMUSG00000022861	Dgkg	-1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr1:135324807-135324807	ENSMUSG00000048096	Lmod1	1
chr6:59024549-59024549	ENSMUSG00000037709	Fam13a	-1
chr17:3397207-3397207	ENSMUSG00000023800	Tiam2	1
chrX:13661363-13661363	ENSMUSG00000047678	Gpr82	1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr2:163397949-163397949	ENSMUSG00000017817	Jph2	-1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr4:47208161-47208161	ENSMUSG00000028339	Col15a1	1
chr19:32061469-32061469	ENSMUSG00000024887	Asah2	-1
chr10:14545036-14545036	ENSMUSG00000039116	Gpr126	-1
chr6:17463800-17463800	ENSMUSG00000009376	Met	1
chr4:130047840-130047840	ENSMUSG00000040690	Col16a1	1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr3:138260991-138260991	ENSMUSG00000074207	Adh1	1
chr1:184883218-184883218	ENSMUSG00000039349	C130074G19Rik	-1
chr6:136875805-136875805	ENSMUSG00000030218	Mgp	-1
chr2:84775404-84775404	ENSMUSG00000023224	Serping1	-1
chr6:124512632-124512632	ENSMUSG00000055172	C1ra	1
chr3:19957054-19957054	ENSMUSG00000003617	Cp	1
chr6:124542321-124542321	ENSMUSG00000038521	C1s1	-1
chr7:112159057-112159057	ENSMUSG00000030772	Dkk3	-1
chr8:111933791-111933791	ENSMUSG00000031951	Tmem231	-1
chr7:35334170-35334170	ENSMUSG00000030494	Rhpn2	1
chr3:157925077-157925077	ENSMUSG00000028179	Cth	-1
chr2:156775420-156775420	ENSMUSG00000067818	Myl9	1
chr7:143106362-143106362	ENSMUSG00000009545	Kcnq1	1
chr6:124493113-124493113	ENSMUSG00000038527	C1rl	1
chr15:101411043-101411043	ENSMUSG00000023039	Krt7	1
chr18:20558074-20558074	ENSMUSG00000044393	Dsg2	1
chr13:38151328-38151328	ENSMUSG00000054889	Dsp	1
chr7:141338880-141338880	ENSMUSG00000025504	Eps8l2	1
chr2:66784914-66784914	ENSMUSG00000034810	Scn7a	-1
chr9:26806432-26806432	ENSMUSG00000036395	Glb1l2	-1
chr5:24601976-24601976	ENSMUSG00000028949	Smarcd3	-1
chr17:44188572-44188572	ENSMUSG00000023959	Clic5	1
chr12:31390871-31390871	ENSMUSG00000001225	Slc26a3	1
chr15:39006333-39006333	ENSMUSG00000022297	Fzd6	1
chr11:116238077-116238077	ENSMUSG00000034282	Evpl	-1
chr17:31637199-31637199	ENSMUSG00000024039	Cbs	-1
chr6:29396309-29396309	ENSMUSG00000029769	Ccdc136	1
chr15:37233159-37233159	ENSMUSG00000089804	Gm16136	-1
chr5:134986214-134986214	ENSMUSG00000070473	Cldn3	1
chr11:100146120-100146120	ENSMUSG00000020911	Krt19	-1
chr17:50698525-50698525	ENSMUSG00000044645	Gm7334	1
chr11:68973012-68973012	ENSMUSG00000032892	Rangrf	-1
chr12:85280435-85280435	ENSMUSG00000008822	Acyp1	-1
chr19:34474833-34474833	ENSMUSG00000097558	Gm26902	1
chr2:164171113-164171113	ENSMUSG00000040164	Kcns1	-1
chr2:75137798-75137798	ENSMUSG00000087333	Gm13652	-1
chr10:97565501-97565501	ENSMUSG00000036446	Lum	1
chr10:38965515-38965515	ENSMUSG00000019846	Lama4	1
chr2:151996535-151996535	ENSMUSG00000027463	Slc52a3	1
chr12:112929495-112929495	ENSMUSG00000002799	Jag2	-1
chr4:137277489-137277489	ENSMUSG00000036856	Wnt4	1
chr18:12333819-12333819	ENSMUSG00000024421	Lama3	1
chr17:34670535-34670535	ENSMUSG00000033327	Tnxb	1
chr5:7960472-7960472	ENSMUSG00000012428	Steap4	1
