tss_loc	ensg	name	strand
chr9:107906873-107906873	ENSMUSG00000032584	Mst1r	1
chr1:93373930-93373930	ENSMUSG00000034107	Ano7	1
chr14:51773590-51773590	ENSMUSG00000060615	Ang4	-1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr1:166130238-166130238	ENSMUSG00000000544	Gpa33	1
chr13:4049011-4049011	ENSMUSG00000033715	Akr1c14	1
chr17:12675838-12675838	ENSMUSG00000023829	Slc22a1	-1
chr5:136966616-136966616	ENSMUSG00000001739	Cldn15	1
chr1:74409376-74409376	ENSMUSG00000026175	Vil1	1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr7:46238492-46238492	ENSMUSG00000030838	Ush1c	-1
chr10:127705170-127705170	ENSMUSG00000025401	Myo1a	1
chr11:96928104-96928104	ENSMUSG00000047040	Prr15l	1
chr5:33104219-33104219	ENSMUSG00000011034	Slc5a1	1
chr12:79130777-79130777	ENSMUSG00000021125	Arg2	1
chr11:115861612-115861612	ENSMUSG00000034427	Myo15b	1
chr1:78310345-78310345	ENSMUSG00000032908	Sgpp2	1
chr4:119658781-119658781	ENSMUSG00000032978	Guca2b	-1
chr8:21703645-21703645	ENSMUSG00000058618	AY761184	-1
chr8:21327020-21327020	ENSMUSG00000074437	Defa-rs1	-1
chr3:88334504-88334504	ENSMUSG00000001420	Tmem79	-1
chr6:113471427-113471427	ENSMUSG00000030281	Il17rc	1
chr19:5560575-5560575	ENSMUSG00000024922	Ovol1	-1
chr3:35932787-35932787	ENSMUSG00000103229	Dcun1d1	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr2:34913976-34913976	ENSMUSG00000026873	Phf19	-1
chr11:4948064-4948064	ENSMUSG00000020396	Nefh	-1
chr10:81393051-81393051	ENSMUSG00000078439	Smim24	1
chr12:35992907-35992907	ENSMUSG00000020581	Agr2	1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
