tss_loc	ensg	name	strand
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr9:123260789-123260789	ENSMUSG00000054871	Tmem158	-1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr8:25597487-25597487	ENSMUSG00000037363	Letm2	-1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr13:4049011-4049011	ENSMUSG00000033715	Akr1c14	1
chr3:96670131-96670131	ENSMUSG00000038354	Ankrd35	1
chr17:12675838-12675838	ENSMUSG00000023829	Slc22a1	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr6:52234939-52234939	ENSMUSG00000000938	Hoxa10	-1
chr11:96271457-96271457	ENSMUSG00000020875	Hoxb9	1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr16:29378732-29378732	ENSMUSG00000048939	Atp13a5	-1
chr11:106365472-106365472	ENSMUSG00000009210	2310007L24Rik	1
chr17:45523434-45523434	ENSMUSG00000023949	Tcte1	1
chr16:38902316-38902316	ENSMUSG00000022790	Igsf11	1
chr11:30649587-30649587	ENSMUSG00000060923	Acyp2	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr9:105960643-105960643	ENSMUSG00000091345	Col6a5	-1
chr6:124779727-124779727	ENSMUSG00000030125	Lrrc23	-1
chr11:114727408-114727408	ENSMUSG00000034706	Dnaic2	1
chr1:74409376-74409376	ENSMUSG00000026175	Vil1	1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:7804974-7804974	ENSMUSG00000071984	Fndc1	-1
chr17:29318877-29318877	ENSMUSG00000024011	Pi16	1
chr13:47122720-47122720	ENSMUSG00000038068	Rnf144b	1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:46238492-46238492	ENSMUSG00000030838	Ush1c	-1
chr19:4943092-4943092	ENSMUSG00000024901	Peli3	-1
chr7:45418353-45418353	ENSMUSG00000038194	Lhb	1
