tss_loc	ensg	name	strand
chr9:107906873-107906873	ENSMUSG00000032584	Mst1r	1
chr1:93373930-93373930	ENSMUSG00000034107	Ano7	1
chr14:51773590-51773590	ENSMUSG00000060615	Ang4	-1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr1:166130238-166130238	ENSMUSG00000000544	Gpa33	1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr13:4049011-4049011	ENSMUSG00000033715	Akr1c14	1
chr17:12675838-12675838	ENSMUSG00000023829	Slc22a1	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr5:136966616-136966616	ENSMUSG00000001739	Cldn15	1
chr6:52234939-52234939	ENSMUSG00000000938	Hoxa10	-1
chr11:96271457-96271457	ENSMUSG00000020875	Hoxb9	1
chr1:74409376-74409376	ENSMUSG00000026175	Vil1	1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr7:46238492-46238492	ENSMUSG00000030838	Ush1c	-1
chr11:76902159-76902159	ENSMUSG00000020839	Tmigd1	1
chr8:5105232-5105232	ENSMUSG00000023073	Slc10a2	-1
chr9:77045749-77045749	ENSMUSG00000032357	Tinag	-1
chr5:113735782-113735782	ENSMUSG00000053334	Ficd	1
chr10:127705170-127705170	ENSMUSG00000025401	Myo1a	1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr15:85735776-85735776	ENSMUSG00000022383	Ppara	1
chr4:141623821-141623821	ENSMUSG00000040740	Slc25a34	-1
chr11:96928104-96928104	ENSMUSG00000047040	Prr15l	1
chr5:33104219-33104219	ENSMUSG00000011034	Slc5a1	1
