tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr6:77979699-77979699	ENSMUSG00000063063	Ctnna2	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr12:80760541-80760541	ENSMUSG00000062961	Ccdc177	-1
chr16:38902316-38902316	ENSMUSG00000022790	Igsf11	1
chr6:23248264-23248264	ENSMUSG00000029697	Fezf1	-1
chr17:85613608-85613608	ENSMUSG00000038805	Six3	1
chr17:85615348-85615348	ENSMUSG00000093460	Six3os1	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr6:18428231-18428231	ENSMUSG00000000416	Cttnbp2	-1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr10:49788766-49788766	ENSMUSG00000056073	Grik2	-1
chr15:84447097-84447097	ENSMUSG00000062760	1810041L15Rik	-1
chr11:95669952-95669952	ENSMUSG00000097176	Gm26830	1
chr2:24876329-24876329	ENSMUSG00000103162	RP23-358I10.3	-1
chr9:37015758-37015758	ENSMUSG00000093721	Gm3896	1
chr3:87157693-87157693	ENSMUSG00000102893	RP23-145A18.2	1
chr3:107291230-107291230	ENSMUSG00000027896	Slc16a4	1
chr2:163203125-163203125	ENSMUSG00000074607	Tox2	1
chrX:141725263-141725263	ENSMUSG00000054667	Irs4	-1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr11:22001615-22001615	ENSMUSG00000005917	Otx1	-1
chr15:101054399-101054399	ENSMUSG00000095440	Fignl2	-1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr10:80295977-80295977	ENSMUSG00000020135	Apc2	1
chrX:101299168-101299168	ENSMUSG00000031302	Nlgn3	1
chr10:52690533-52690533	ENSMUSG00000038602	Slc35f1	1
chr10:41612837-41612837	ENSMUSG00000101176	Gm29095	-1
chr11:115408314-115408314	ENSMUSG00000085072	Ict1os	-1
chr8:105633750-105633750	ENSMUSG00000102593	RP24-242N1.2	1
chr10:14718214-14718214	ENSMUSG00000019867	Gje1	-1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr11:100356128-100356128	ENSMUSG00000006930	Hap1	-1
chr5:28467101-28467101	ENSMUSG00000002633	Shh	-1
chr7:18925888-18925888	ENSMUSG00000030411	Nova2	1
chr9:108826320-108826320	ENSMUSG00000023473	Celsr3	1
chr4:91372034-91372034	ENSMUSG00000008489	Elavl2	-1
chr11:101464999-101464999	ENSMUSG00000001313	Rnd2	1
chr2:168281132-168281132	ENSMUSG00000074575	Kcng1	-1
chr10:42583632-42583632	ENSMUSG00000019803	Nr2e1	-1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr19:55841672-55841672	ENSMUSG00000099746	Ppnr	1
chr2:52863516-52863516	ENSMUSG00000097857	Gm26603	-1
chr18:37755954-37755954	ENSMUSG00000097330	Gm26672	-1
chr1:74295603-74295603	ENSMUSG00000099931	Gm29358	1
chr5:75978458-75978458	ENSMUSG00000062960	Kdr	-1
chr8:104101625-104101625	ENSMUSG00000031871	Cdh5	1
chr10:76961788-76961788	ENSMUSG00000001120	Pcbp3	-1
chr4:25800146-25800146	ENSMUSG00000055373	Fut9	-1
chr5:138279958-138279958	ENSMUSG00000029510	Gpc2	-1
chr17:17830719-17830719	ENSMUSG00000080316	Spaca6	1
chrX:106485274-106485274	ENSMUSG00000033737	Fndc3c1	-1
chr4:103619359-103619359	ENSMUSG00000028519	Dab1	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr7:44429018-44429018	ENSMUSG00000047085	Lrrc4b	1
chr2:181135103-181135103	ENSMUSG00000016346	Kcnq2	-1
chr2:104230568-104230568	ENSMUSG00000068373	D430041D05Rik	-1
chrX:52744593-52744593	ENSMUSG00000086173	Kis2	-1
chr9:72869652-72869652	ENSMUSG00000102971	RP23-461P14.4	1
chr19:10389090-10389090	ENSMUSG00000024743	Syt7	1
chr3:82358044-82358044	ENSMUSG00000033900	Map9	1
chrX:135839056-135839056	ENSMUSG00000072966	Gprasp2	1
chr1:38077305-38077305	ENSMUSG00000103804	RP23-195A24.4	-1
chr12:109729764-109729764	ENSMUSG00000097391	Mirg	1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr1:162217623-162217623	ENSMUSG00000078190	Dnm3os	1
chr5:5694060-5694060	ENSMUSG00000015653	Steap2	-1
chr13:89540636-89540636	ENSMUSG00000021613	Hapln1	1
chr8:87804439-87804439	ENSMUSG00000045333	Zfp423	-1
chr12:109695586-109695586	ENSMUSG00000098202	B830012L14Rik	1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr8:12385771-12385771	ENSMUSG00000047935	Gm5607	1
chr13:78198017-78198017	ENSMUSG00000087143	A830082K12Rik	1
chr4:154636866-154636866	ENSMUSG00000039410	Prdm16	-1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr1:158362273-158362273	ENSMUSG00000026587	Astn1	1
chr8:70120873-70120873	ENSMUSG00000002341	Ncan	-1
chr1:42695768-42695768	ENSMUSG00000045515	Pou3f3	1
chr7:109010825-109010825	ENSMUSG00000031028	Tub	1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr19:5098418-5098418	ENSMUSG00000024873	Cnih2	-1
chr15:66286224-66286224	ENSMUSG00000056258	Kcnq3	-1
chr7:4119408-4119408	ENSMUSG00000030428	Ttyh1	1
chr15:89140703-89140703	ENSMUSG00000022610	Mapk12	-1
chr7:144896532-144896532	ENSMUSG00000031073	Fgf15	1
chr11:69398234-69398234	ENSMUSG00000045377	Tmem88	-1
chr13:23746790-23746790	ENSMUSG00000075031	Hist1h2bb	1
chr13:23562369-23562369	ENSMUSG00000069273	Hist1h3e	-1
chr13:23575763-23575763	ENSMUSG00000099583	Hist1h3d	1
chr3:30013156-30013156	ENSMUSG00000027684	Mecom	-1
chrX:153006469-153006469	ENSMUSG00000067215	Usp51	1
chrX:81073102-81073102	ENSMUSG00000096919	Gm26775	-1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr4:42466752-42466752	ENSMUSG00000095779	Gm2163	1
chr7:67222458-67222458	ENSMUSG00000097527	1700112J16Rik	-1
chr4:124986430-124986430	ENSMUSG00000028871	Rspo1	1
chr7:46732543-46732543	ENSMUSG00000040017	Saa4	-1
chr3:96246685-96246685	ENSMUSG00000093769	Hist2h3c1	1
chr14:55874735-55874735	ENSMUSG00000097542	Gm26751	-1
chr11:43587040-43587040	ENSMUSG00000045877	4933415A04Rik	1
chr4:22408291-22408291	ENSMUSG00000103000	RP23-381K3.4	1
chr1:165235125-165235125	ENSMUSG00000102302	RP23-187M7.5	-1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr14:28504750-28504750	ENSMUSG00000021994	Wnt5a	1
chr1:82291416-82291416	ENSMUSG00000055980	Irs1	-1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
chr4:126058565-126058565	ENSMUSG00000042616	Oscp1	1
chr1:174501825-174501825	ENSMUSG00000028354	Fmn2	1
chr1:152954993-152954993	ENSMUSG00000042751	Nmnat2	1
chr18:64340364-64340364	ENSMUSG00000045991	Onecut2	1
chr1:154726356-154726356	ENSMUSG00000004110	Cacna1e	-1
chr7:109865586-109865586	ENSMUSG00000007279	Scube2	-1
chr9:69760940-69760940	ENSMUSG00000059246	Foxb1	-1
chr12:56613284-56613284	ENSMUSG00000058669	Nkx2-9	-1
chr10:87493660-87493660	ENSMUSG00000020052	Ascl1	-1
chr14:12345865-12345865	ENSMUSG00000021743	Fezf2	-1
chrX:6873484-6873484	ENSMUSG00000062393	Dgkk	1
