tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr16:58638739-58638739	ENSMUSG00000055789	E330017A01Rik	-1
chr15:96079427-96079427	ENSMUSG00000078925	D030018L15Rik	-1
chr3:152266320-152266320	ENSMUSG00000039103	Nexn	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr2:127341630-127341630	ENSMUSG00000050468	Astl	1
chr9:109234736-109234736	ENSMUSG00000061701	Fbxw20	-1
chr7:6995443-6995443	ENSMUSG00000070837	Aurkc	1
chr5:136966616-136966616	ENSMUSG00000001739	Cldn15	1
chr16:38902316-38902316	ENSMUSG00000022790	Igsf11	1
chr1:131744022-131744022	ENSMUSG00000042268	Slc26a9	1
chr5:72587550-72587550	ENSMUSG00000060204	Gm5868	-1
chr17:50293599-50293599	ENSMUSG00000010592	Dazl	-1
chr15:85131957-85131957	ENSMUSG00000022432	Smc1b	-1
chr6:125286042-125286042	ENSMUSG00000067702	Tuba3a	-1
chr5:114774983-114774983	ENSMUSG00000092183	4930515G01Rik	-1
chr7:109170308-109170308	ENSMUSG00000036111	Lmo1	-1
chr1:74409376-74409376	ENSMUSG00000026175	Vil1	1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chr9:109664652-109664652	ENSMUSG00000094992	Fbxw25	-1
chr4:58285962-58285962	ENSMUSG00000057280	Musk	1
chr7:45418353-45418353	ENSMUSG00000038194	Lhb	1
chr5:149439706-149439706	ENSMUSG00000029660	Tex26	1
chr10:58813359-58813359	ENSMUSG00000037990	Sh3rf3	1
chr12:105159690-105159690	ENSMUSG00000066359	Tcl1b1	1
chr19:30232928-30232928	ENSMUSG00000024863	Mbl2	1
chr4:3872105-3872105	ENSMUSG00000078365	Mos	-1
chr1:117603878-117603878	ENSMUSG00000101373	Zfp813-ps	1
chr5:113735782-113735782	ENSMUSG00000053334	Ficd	1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr13:56438355-56438355	ENSMUSG00000021509	Slc25a48	1
chr11:75937738-75937738	ENSMUSG00000020847	Rph3al	-1
chr11:94741782-94741782	ENSMUSG00000020870	Cdc34-ps	1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr3:137624037-137624037	ENSMUSG00000046818	Ddit4l	1
chr9:109449140-109449140	ENSMUSG00000074062	Fbxw16	-1
chr7:10687793-10687793	ENSMUSG00000034087	Nlrp4b	1
chr14:79247296-79247296	ENSMUSG00000071262	Zfp957	-1
chrX:35129015-35129015	ENSMUSG00000086757	Gm2309	1
chr17:24689955-24689955	ENSMUSG00000007021	Syngr3	-1
chr5:95456806-95456806	ENSMUSG00000070677	D5Ertd577e	1
chr14:26221856-26221856	ENSMUSG00000094817	Cphx3	1
chr12:79130777-79130777	ENSMUSG00000021125	Arg2	1
chr2:163203125-163203125	ENSMUSG00000074607	Tox2	1
chr5:120861421-120861421	ENSMUSG00000001168	Oas1h	1
chr8:25038962-25038962	ENSMUSG00000037406	Htra4	-1
