tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr10:88383711-88383711	ENSMUSG00000096945	Gm26546	-1
chr3:96246380-96246380	ENSMUSG00000093553	Gm20633	-1
chr11:75172560-75172560	ENSMUSG00000085609	1700016P03Rik	1
chr1:91304405-91304405	ENSMUSG00000097285	Gm26683	-1
chr6:89304630-89304630	ENSMUSG00000097816	Gm26811	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chr1:14755990-14755990	ENSMUSG00000025930	Msc	-1
chr15:84720083-84720083	ENSMUSG00000078954	Arhgap8	1
chr5:113735782-113735782	ENSMUSG00000053334	Ficd	1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr14:20703012-20703012	ENSMUSG00000097577	6230400D17Rik	-1
chr7:141613747-141613747	ENSMUSG00000097170	Gm16982	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr11:115861612-115861612	ENSMUSG00000034427	Myo15b	1
chr4:155734727-155734727	ENSMUSG00000096221	1500002C15Rik	-1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr11:46571536-46571536	ENSMUSG00000046974	BC053393	1
chr6:38124586-38124586	ENSMUSG00000038600	Atp6v0a4	-1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr19:5560575-5560575	ENSMUSG00000024922	Ovol1	-1
chr11:46645006-46645006	ENSMUSG00000086909	Gm4926	-1
chr10:128000678-128000678	ENSMUSG00000025396	Hsd17b6	-1
chr11:46629261-46629261	ENSMUSG00000064010	Dppa1	-1
chr17:7385305-7385305	ENSMUSG00000056133	Gm9992	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr12:83633833-83633833	ENSMUSG00000099708	Gm29361	-1
chr9:89092690-89092690	ENSMUSG00000079162	Trim43b	-1
chr5:95190874-95190874	ENSMUSG00000095996	Gm16513	1
chr2:87492418-87492418	ENSMUSG00000025839	Pramel7	-1
chr2:87508458-87508458	ENSMUSG00000025838	Pramel6	1
chr4:144059126-144059126	ENSMUSG00000073724	Pramel4	1
chr9:3015654-3015654	ENSMUSG00000074564	Gm10720	1
chr9:3036877-3036877	ENSMUSG00000096201	Gm10715	1
chr9:3013140-3013140	ENSMUSG00000096519	Gm10721	1
chr1:37865079-37865079	ENSMUSG00000060771	Tsga10	-1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr7:28833854-28833854	ENSMUSG00000053964	Lgals4	1
chr5:24209724-24209724	ENSMUSG00000099891	Gm5575	-1
chr19:55841672-55841672	ENSMUSG00000099746	Ppnr	1
chr2:52863516-52863516	ENSMUSG00000097857	Gm26603	-1
chr11:46735080-46735080	ENSMUSG00000040405	Havcr1	1
chr17:36058371-36058371	ENSMUSG00000079492	Gm11127	-1
chr12:88274500-88274500	ENSMUSG00000079029	Gm5662	-1
chr12:87514316-87514316	ENSMUSG00000079034	Gm8300	1
chr12:87816577-87816577	ENSMUSG00000079031	BB287469	1
chr12:87874072-87874072	ENSMUSG00000072905	Gm2016	1
