tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr9:45079183-45079183	ENSMUSG00000048534	Amica1	1
chr6:129623864-129623864	ENSMUSG00000030149	Klrk1	-1
chr17:25244033-25244033	ENSMUSG00000047507	Baiap3	-1
chr2:165655298-165655298	ENSMUSG00000017897	Eya2	1
chr14:30008813-30008813	ENSMUSG00000015966	Il17rb	-1
chr16:44765736-44765736	ENSMUSG00000022667	Cd200r1	1
chr11:114934386-114934386	ENSMUSG00000063193	Cd300lb	-1
chr1:136119822-136119822	ENSMUSG00000102717	RP23-211F21.1	-1
chr16:17561247-17561247	ENSMUSG00000022759	Lrrc74b	-1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr18:50053660-50053660	ENSMUSG00000086600	C030005K06Rik	-1
chr1:160316495-160316495	ENSMUSG00000103522	RP24-540L1.3	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr11:79530559-79530559	ENSMUSG00000070354	Gm21975	-1
chr17:35188439-35188439	ENSMUSG00000073412	Lst1	-1
chr10:88383711-88383711	ENSMUSG00000096945	Gm26546	-1
chr3:96246380-96246380	ENSMUSG00000093553	Gm20633	-1
chr11:75172560-75172560	ENSMUSG00000085609	1700016P03Rik	1
chr1:180376444-180376444	ENSMUSG00000103772	RP24-74O18.4	1
chr9:111057270-111057270	ENSMUSG00000043953	Ccrl2	-1
chr5:92348882-92348882	ENSMUSG00000034855	Cxcl10	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr3:96829351-96829351	ENSMUSG00000038304	Cd160	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr2:156887078-156887078	ENSMUSG00000027636	Sla2	-1
chr10:127000709-127000709	ENSMUSG00000025432	Avil	1
chr6:129740484-129740484	ENSMUSG00000043932	Klri2	-1
chr4:156023824-156023824	ENSMUSG00000087381	Gm16008	-1
chr1:46066315-46066315	ENSMUSG00000041144	Dnah7b	1
chr6:129591782-129591782	ENSMUSG00000030165	Klrd1	1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr2:13794064-13794064	ENSMUSG00000003418	St8sia6	-1
chr6:41118851-41118851	ENSMUSG00000094525	Trbv12-2	1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr1:171653035-171653035	ENSMUSG00000038179	Slamf7	-1
chr14:59341351-59341351	ENSMUSG00000091649	Phf11b	-1
chr1:173580353-173580353	ENSMUSG00000073491	Pydc4	-1
chr9:14903884-14903884	ENSMUSG00000031933	Folr4	-1
chr17:55952623-55952623	ENSMUSG00000003206	Ebi3	1
chr14:61309753-61309753	ENSMUSG00000043157	Arl11	1
chr13:100246323-100246323	ENSMUSG00000071203	Naip5	-1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr11:78920787-78920787	ENSMUSG00000020826	Nos2	1
chr17:51832819-51832819	ENSMUSG00000103753	RP24-490B17.3	1
chr16:48771956-48771956	ENSMUSG00000030775	Trat1	-1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
