tss_loc	ensg	name	strand
chr9:45079183-45079183	ENSMUSG00000048534	Amica1	1
chr6:129623864-129623864	ENSMUSG00000030149	Klrk1	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr3:96829351-96829351	ENSMUSG00000038304	Cd160	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr2:156887078-156887078	ENSMUSG00000027636	Sla2	-1
chr6:129591782-129591782	ENSMUSG00000030165	Klrd1	1
chr2:13794064-13794064	ENSMUSG00000003418	St8sia6	-1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr1:171653035-171653035	ENSMUSG00000038179	Slamf7	-1
chr14:59341351-59341351	ENSMUSG00000091649	Phf11b	-1
chr1:173580353-173580353	ENSMUSG00000073491	Pydc4	-1
chr9:14903884-14903884	ENSMUSG00000031933	Folr4	-1
chrX:7579676-7579676	ENSMUSG00000039521	Foxp3	1
chr1:39193731-39193731	ENSMUSG00000026077	Npas2	1
chr2:59484653-59484653	ENSMUSG00000026989	Dapl1	1
chr16:48771956-48771956	ENSMUSG00000030775	Trat1	-1
chr3:35932787-35932787	ENSMUSG00000103229	Dcun1d1	-1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr19:5468498-5468498	ENSMUSG00000024910	Ctsw	-1
chr15:77698889-77698889	ENSMUSG00000071716	Apol7e	1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr4:156013843-156013843	ENSMUSG00000029075	Tnfrsf4	1
chr1:94052553-94052553	ENSMUSG00000026285	Pdcd1	-1
chr19:4059446-4059446	ENSMUSG00000058216	BC021614	-1
chr17:80127471-80127471	ENSMUSG00000035473	Galm	1
chr17:34092340-34092340	ENSMUSG00000024334	H2-Oa	1
chr6:29272488-29272488	ENSMUSG00000043421	Hilpda	1
chr7:19404104-19404104	ENSMUSG00000040714	Klc3	-1
chr19:11443553-11443553	ENSMUSG00000056290	Ms4a4b	1
chr11:97115331-97115331	ENSMUSG00000001444	Tbx21	-1
chr15:97908310-97908310	ENSMUSG00000022479	Vdr	-1
chr11:97685953-97685953	ENSMUSG00000078695	Cisd3	1
chr1:180196020-180196020	ENSMUSG00000026489	Adck3	-1
chr2:57115038-57115038	ENSMUSG00000026826	Nr4a2	-1
chrX:101734269-101734269	ENSMUSG00000050232	Cxcr3	-1
chr11:32200222-32200222	ENSMUSG00000020279	Il9r	-1
chr17:8243807-8243807	ENSMUSG00000040899	Ccr6	1
chr6:142161493-142161493	ENSMUSG00000092500	Gm20400	1
chr12:80108034-80108034	ENSMUSG00000097417	Gm26669	1
chr4:63861347-63861347	ENSMUSG00000028362	Tnfsf8	-1
chr3:104781056-104781056	ENSMUSG00000002228	Ppm1j	1
chr1:161788495-161788495	ENSMUSG00000000817	Fasl	-1
chr1:164935527-164935527	ENSMUSG00000026573	Xcl1	-1
chr8:70808449-70808449	ENSMUSG00000000791	Il12rb1	1
chr6:48766519-48766519	ENSMUSG00000039264	Gimap3	-1
chr9:56865104-56865104	ENSMUSG00000032911	Cspg4	1
chr5:21543527-21543527	ENSMUSG00000039883	Lrrc17	1
chr17:50698525-50698525	ENSMUSG00000044645	Gm7334	1
chr11:68973012-68973012	ENSMUSG00000032892	Rangrf	-1
chr12:85280435-85280435	ENSMUSG00000008822	Acyp1	-1
chr3:37125959-37125959	ENSMUSG00000027720	Il2	-1
chr19:4169566-4169566	ENSMUSG00000097233	Gm17552	1
chr13:4150628-4150628	ENSMUSG00000021214	Akr1c18	-1
chr6:128975029-128975029	ENSMUSG00000085786	Gm15987	-1
chr14:78308043-78308043	ENSMUSG00000022015	Tnfsf11	-1
chr15:76294434-76294434	ENSMUSG00000071724	Smpd5	1
chr10:80702693-80702693	ENSMUSG00000055862	Izumo4	1
chr12:103443680-103443680	ENSMUSG00000079017	Ifi27l2a	-1
chr19:11484577-11484577	ENSMUSG00000099757	BE692007	-1
chr13:74406396-74406396	ENSMUSG00000062382	Gm10116	1
chr4:41098183-41098183	ENSMUSG00000028435	Aqp3	-1
chr1:135258568-135258568	ENSMUSG00000003051	Elf3	-1
chrX:42502453-42502453	ENSMUSG00000005696	Sh2d1a	1
chr5:72752773-72752773	ENSMUSG00000054892	Txk	-1
chr5:105239533-105239533	ENSMUSG00000079362	Gbp6	-1
chr7:110061325-110061325	ENSMUSG00000073867	AA474408	-1
chr16:35981081-35981081	ENSMUSG00000086324	Gm15564	-1
chr1:161814167-161814167	ENSMUSG00000103625	RP24-75E15.5	-1
chr13:33003250-33003250	ENSMUSG00000045827	Serpinb9	1
chr1:40465552-40465552	ENSMUSG00000026070	Il18r1	1
chr6:128887588-128887588	ENSMUSG00000030365	Clec2i	1
chr4:135895394-135895394	ENSMUSG00000062585	Cnr2	1
chr5:105110292-105110292	ENSMUSG00000029298	Gbp9	-1
chr13:60897447-60897447	ENSMUSG00000074874	Ctla2b	-1
chr10:75316943-75316943	ENSMUSG00000020178	Adora2a	1
chr4:6990799-6990799	ENSMUSG00000041272	Tox	-1
chr9:123806477-123806477	ENSMUSG00000048521	Cxcr6	1
chr11:121039418-121039418	ENSMUSG00000025163	Cd7	-1
chr8:94923694-94923694	ENSMUSG00000061577	Gpr114	1
chr11:73090583-73090583	ENSMUSG00000005947	Itgae	1
chr6:67339694-67339694	ENSMUSG00000018341	Il12rb2	-1
chr6:59426290-59426290	ENSMUSG00000045441	Gprin3	-1
chr14:53683647-53683647	ENSMUSG00000096096	Trav4-4-dv10	1
chr16:46120251-46120251	ENSMUSG00000022657	Cd96	-1
chr9:120092133-120092133	ENSMUSG00000042262	Ccr8	1
chrX:57212143-57212143	ENSMUSG00000031132	Cd40lg	1
chr2:58160495-58160495	ENSMUSG00000026832	Cytip	-1
chr1:173673675-173673675	ENSMUSG00000066677	Pydc3	1
chr6:39381175-39381175	ENSMUSG00000029923	Rab19	1
chr2:9878600-9878600	ENSMUSG00000015619	Gata3	-1
chr3:94372831-94372831	ENSMUSG00000028150	Rorc	1
chr11:4236420-4236420	ENSMUSG00000058755	Osm	1
chr2:29252993-29252993	ENSMUSG00000079499	6530402F18Rik	-1
chr1:87080171-87080171	ENSMUSG00000101625	Gm29371	1
chr17:30626905-30626905	ENSMUSG00000099474	1700097N02Rik	-1
chr12:100908198-100908198	ENSMUSG00000047415	Gpr68	-1
chr4:156026164-156026164	ENSMUSG00000041954	Tnfrsf18	1
chr10:127078907-127078907	ENSMUSG00000025422	Agap2	1
chr1:51987148-51987148	ENSMUSG00000062939	Stat4	1
chr7:90348699-90348699	ENSMUSG00000030616	Sytl2	1
chr9:54661870-54661870	ENSMUSG00000032281	Acsbg1	-1
chr1:193242629-193242629	ENSMUSG00000016194	Hsd11b1	-1
chr13:75089826-75089826	ENSMUSG00000021587	Pcsk1	1
chr4:152152207-152152207	ENSMUSG00000028943	Espn	-1
chr3:106478283-106478283	ENSMUSG00000104350	RP23-175B15.2	1
chr3:106485913-106485913	ENSMUSG00000091575	2010016I18Rik	-1
chr3:101029556-101029556	ENSMUSG00000086564	Cd101	-1
chr17:32420975-32420975	ENSMUSG00000079563	Pglyrp2	-1
chr7:43797577-43797577	ENSMUSG00000064023	Klk8	1
chr1:60977927-60977927	ENSMUSG00000026009	Icos	1
chr6:124888221-124888221	ENSMUSG00000023274	Cd4	-1
chr2:174346712-174346712	ENSMUSG00000090625	Gm20721	-1
chr9:66713686-66713686	ENSMUSG00000032373	Car12	1
chr6:125237010-125237010	ENSMUSG00000030336	Cd27	-1
chr17:31207873-31207873	ENSMUSG00000042345	Ubash3a	1
chr16:46010218-46010218	ENSMUSG00000087141	Plcxd2	-1
chr11:4257557-4257557	ENSMUSG00000034394	Lif	1
chr5:118027743-118027743	ENSMUSG00000029359	Tesc	1
chr3:68869586-68869586	ENSMUSG00000046999	1110032F04Rik	1
chr6:124911705-124911705	ENSMUSG00000030124	Lag3	-1
chr7:30419854-30419854	ENSMUSG00000064109	Hcst	-1
chr17:57194189-57194189	ENSMUSG00000005824	Tnfsf14	-1
chr4:152115934-152115934	ENSMUSG00000024793	Tnfrsf25	1
chr19:10740947-10740947	ENSMUSG00000067577	A430093F15Rik	1
chrX:107089278-107089278	ENSMUSG00000050921	P2ry10	1
chr9:88327197-88327197	ENSMUSG00000032420	Nt5e	1
chrX:73243068-73243068	ENSMUSG00000031362	Xlr4c	-1
chr1:133690108-133690108	ENSMUSG00000051998	Lax1	-1
chr13:28943048-28943048	ENSMUSG00000097461	Gm26735	1
chr2:12924041-12924041	ENSMUSG00000026730	Pter	1
chr7:132610638-132610638	ENSMUSG00000030946	Lhpp	1
chr15:34495255-34495255	ENSMUSG00000022323	Hrsp12	-1
chr9:51963533-51963533	ENSMUSG00000032051	Fdx1	-1
chr13:100107997-100107997	ENSMUSG00000021643	Serf1	1
chr6:54992950-54992950	ENSMUSG00000002797	Ggct	-1
chr11:83116849-83116849	ENSMUSG00000078763	Slfn1	1
chr1:20784270-20784270	ENSMUSG00000041872	Il17f	-1
chr13:104684931-104684931	ENSMUSG00000084860	2610204G07Rik	1
chrX:73082478-73082478	ENSMUSG00000079845	Xlr4a	-1
chr4:48045153-48045153	ENSMUSG00000028341	Nr4a3	1
chrX:73214333-73214333	ENSMUSG00000067768	Xlr4b	1
chr4:150914562-150914562	ENSMUSG00000028965	Tnfrsf9	1
chr6:54039554-54039554	ENSMUSG00000004633	Chn2	1
chr6:41605482-41605482	ENSMUSG00000029869	Ephb6	1
chr2:17731043-17731043	ENSMUSG00000053702	Nebl	-1
chr5:8660077-8660077	ENSMUSG00000040584	Abcb1a	1
chr10:85386827-85386827	ENSMUSG00000020042	Btbd11	1
chr3:67374097-67374097	ENSMUSG00000048416	Mlf1	1
chr8:84125989-84125989	ENSMUSG00000012889	Podnl1	1
chr4:134095041-134095041	ENSMUSG00000000682	Cd52	-1
chr11:46389515-46389515	ENSMUSG00000020395	Itk	-1
chr9:44981793-44981793	ENSMUSG00000032094	Cd3d	1
chr3:87846755-87846755	ENSMUSG00000028071	Sh2d2a	1
chr9:44980431-44980431	ENSMUSG00000002033	Cd3g	-1
chr7:68273839-68273839	ENSMUSG00000074071	Fam169b	1
chr1:164275585-164275585	ENSMUSG00000026578	Ccdc181	1
chr12:86726460-86726460	ENSMUSG00000021257	Angel1	-1
chr13:19344558-19344558	ENSMUSG00000076757	Tcrg-C4	1
chr6:41121396-41121396	ENSMUSG00000076469	Trbv13-2	1
chr9:114496544-114496544	ENSMUSG00000047898	Ccr4	-1
chr1:60887000-60887000	ENSMUSG00000026011	Ctla4	1
chr11:116671660-116671660	ENSMUSG00000020812	1810032O08Rik	1
chr11:70657202-70657202	ENSMUSG00000060600	Eno3	1
chr1:144249242-144249242	ENSMUSG00000026358	Rgs1	-1
chr11:49064204-49064204	ENSMUSG00000078921	Tgtp2	-1
chr12:104236245-104236245	ENSMUSG00000041481	Serpina3g	1
chr6:41546730-41546730	ENSMUSG00000076498	Trbc2	1
chr6:41538218-41538218	ENSMUSG00000076490	Trbc1	1
chr11:55078107-55078107	ENSMUSG00000049588	Ccdc69	-1
chr2:180725263-180725263	ENSMUSG00000023393	Slc17a9	1
chr17:70875935-70875935	ENSMUSG00000097154	Gm26510	-1
chr5:8798147-8798147	ENSMUSG00000028970	Abcb1b	1
chr11:83649355-83649355	ENSMUSG00000000982	Ccl3	-1
chr7:126369543-126369543	ENSMUSG00000030742	Lat	-1
chr2:150570415-150570415	ENSMUSG00000068129	Cst7	1
chr13:43785107-43785107	ENSMUSG00000015396	Cd83	1
chr19:10738974-10738974	ENSMUSG00000024669	Cd5	-1
chr15:78495066-78495066	ENSMUSG00000068227	Il2rb	-1
chr19:10830058-10830058	ENSMUSG00000024670	Cd6	-1
chr1:165788681-165788681	ENSMUSG00000005763	Cd247	1
chrX:7657260-7657260	ENSMUSG00000031145	Prickle3	1
chr14:121915774-121915774	ENSMUSG00000050350	Gpr18	-1
chr1:153740349-153740349	ENSMUSG00000026475	Rgs16	1
chr9:45009590-45009590	ENSMUSG00000032093	Cd3e	-1
chr11:96464593-96464593	ENSMUSG00000057058	Skap1	1
chr1:60716800-60716800	ENSMUSG00000026012	Cd28	1
chr1:36761798-36761798	ENSMUSG00000026117	Zap70	1
chr10:28668360-28668360	ENSMUSG00000049109	Themis	1
chr4:134102570-134102570	ENSMUSG00000012126	Ubxn11	1
chr9:40984467-40984467	ENSMUSG00000032021	Crtam	-1
chr8:104631321-104631321	ENSMUSG00000031880	Rrad	-1
chr13:32965209-32965209	ENSMUSG00000042842	Serpinb6b	1
chr14:101609033-101609033	ENSMUSG00000033083	Tbc1d4	-1
chr6:48647234-48647234	ENSMUSG00000064262	Gimap8	1
chrX:107255878-107255878	ENSMUSG00000073008	Gpr174	1
chr15:80623505-80623505	ENSMUSG00000042351	Grap2	1
chr8:71689214-71689214	ENSMUSG00000079019	Insl3	1
chr3:115888094-115888094	ENSMUSG00000054426	A930005H10Rik	-1
chr16:17125106-17125106	ENSMUSG00000049916	2610318N02Rik	-1
chr19:11485938-11485938	ENSMUSG00000058470	Gm8369	1
chr12:98268635-98268635	ENSMUSG00000021886	Gpr65	1
chr3:84666192-84666192	ENSMUSG00000056498	Tmem154	1
chr6:41227505-41227505	ENSMUSG00000076479	Trbv26	1
chr11:48979381-48979381	ENSMUSG00000069893	9930111J21Rik1	-1
chr14:121965193-121965193	ENSMUSG00000051212	Gpr183	-1
chr11:95837216-95837216	ENSMUSG00000038811	Gngt2	1
chr10:7832470-7832470	ENSMUSG00000039981	Zc3h12d	1
chr6:48684549-48684549	ENSMUSG00000054435	Gimap4	1
chr3:101287939-101287939	ENSMUSG00000027863	Cd2	-1
chr2:117343001-117343001	ENSMUSG00000027347	Rasgrp1	-1
chrX:75084905-75084905	ENSMUSG00000032750	Gab3	-1
chr4:11704457-11704457	ENSMUSG00000028214	Gem	1
chr2:174643534-174643534	ENSMUSG00000050600	Zfp831	1
chr3:127896323-127896323	ENSMUSG00000050549	5730508B09Rik	-1
chr4:154928077-154928077	ENSMUSG00000042333	Tnfrsf14	-1
chr1:171917515-171917515	ENSMUSG00000015314	Slamf6	1
chr13:30749226-30749226	ENSMUSG00000021356	Irf4	1
chr11:98545800-98545800	ENSMUSG00000018168	Ikzf3	-1
chr11:99155077-99155077	ENSMUSG00000037944	Ccr7	-1
chr14:54220521-54220521	ENSMUSG00000076928	Trac	1
chr7:43437073-43437073	ENSMUSG00000004612	Nkg7	1
chr11:115091431-115091431	ENSMUSG00000020732	Rab37	1
chr14:70077445-70077445	ENSMUSG00000033730	Egr3	1
chr2:34961585-34961585	ENSMUSG00000026875	Traf1	-1
chr9:88731914-88731914	ENSMUSG00000099974	Bcl2a1d	-1
chr9:89199209-89199209	ENSMUSG00000089929	Bcl2a1b	1
chr19:11050566-11050566	ENSMUSG00000075010	AW112010	-1
chr4:129558391-129558391	ENSMUSG00000000409	Lck	-1
chr11:52282571-52282571	ENSMUSG00000000782	Tcf7	-1
chr2:11642807-11642807	ENSMUSG00000026770	Il2ra	1
chr8:84042575-84042575	ENSMUSG00000005465	Il27ra	-1
chr14:70766036-70766036	ENSMUSG00000022102	Dok2	1
chr9:94669909-94669909	ENSMUSG00000031129	Slc9a9	1
chr18:32939041-32939041	ENSMUSG00000038128	Camk4	1
chr7:143627845-143627845	ENSMUSG00000045362	Tnfrsf26	-1
chr13:49248294-49248294	ENSMUSG00000021384	Susd3	-1
chr14:56262260-56262260	ENSMUSG00000015437	Gzmb	-1
chr4:112072639-112072639	ENSMUSG00000055960	Skint4	1
chr5:65863569-65863569	ENSMUSG00000029204	Rhoh	1
chr6:48708225-48708225	ENSMUSG00000047867	Gimap6	-1
chr6:129275369-129275369	ENSMUSG00000030156	Cd69	-1
chr10:21160905-21160905	ENSMUSG00000019982	Myb	-1
chr1:164061982-164061982	ENSMUSG00000026581	Sell	1
chr12:85686669-85686669	ENSMUSG00000034266	Batf	1
chr17:39844940-39844940	ENSMUSG00000103057	RP23-81C12.2	-1
chr5:105139586-105139586	ENSMUSG00000079363	Gbp4	-1
chr17:34305877-34305877	ENSMUSG00000060586	H2-Eb1	1
chr8:120736358-120736358	ENSMUSG00000041515	Irf8	1
chr17:34287827-34287827	ENSMUSG00000036594	H2-Aa	-1
chr19:11404770-11404770	ENSMUSG00000024675	Ms4a4c	1
chr18:4352953-4352953	ENSMUSG00000024235	Map3k8	-1
chr7:30421732-30421732	ENSMUSG00000036931	Nfkbid	1
chr3:135307700-135307700	ENSMUSG00000037994	Slc9b2	1
chr19:29410919-29410919	ENSMUSG00000016498	Pdcd1lg2	1
chr16:55895279-55895279	ENSMUSG00000075033	Nxpe3	-1
chr17:52149289-52149289	ENSMUSG00000100150	Gm19585	1
chr17:35194439-35194439	ENSMUSG00000024399	Ltb	1
chr16:45224315-45224315	ENSMUSG00000052013	Btla	1
chr5:64932761-64932761	ENSMUSG00000044827	Tlr1	-1
chr19:29367455-29367455	ENSMUSG00000016496	Cd274	1
chr1:171767127-171767127	ENSMUSG00000015316	Slamf1	1
chr17:35205351-35205351	ENSMUSG00000024402	Lta	-1
chr7:30592942-30592942	ENSMUSG00000006310	Zbtb32	-1
chr1:40515362-40515362	ENSMUSG00000026068	Il18rap	1
chr5:110514923-110514923	ENSMUSG00000048215	A630023P12Rik	1
chr5:105139540-105139540	ENSMUSG00000034438	Gbp8	-1
chr10:130322852-130322852	ENSMUSG00000034833	Tespa1	1
chr3:59101821-59101821	ENSMUSG00000050075	Gpr171	-1
chr4:43483734-43483734	ENSMUSG00000028460	Sit1	-1
