tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr17:56875477-56875477	ENSMUSG00000024209	1700061G19Rik	1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr17:50293599-50293599	ENSMUSG00000010592	Dazl	-1
chr15:85131957-85131957	ENSMUSG00000022432	Smc1b	-1
chr6:125286042-125286042	ENSMUSG00000067702	Tuba3a	-1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr13:13005383-13005383	ENSMUSG00000079092	Prl2c2	-1
chr13:12800078-12800078	ENSMUSG00000056457	Prl2c3	-1
chr13:13182715-13182715	ENSMUSG00000055360	Prl2c5	1
chr11:100356128-100356128	ENSMUSG00000006930	Hap1	-1
chr9:108826320-108826320	ENSMUSG00000023473	Celsr3	1
chr4:91372034-91372034	ENSMUSG00000008489	Elavl2	-1
chr11:101464999-101464999	ENSMUSG00000001313	Rnd2	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr12:88274500-88274500	ENSMUSG00000079029	Gm5662	-1
chr12:87514316-87514316	ENSMUSG00000079034	Gm8300	1
chr12:87816577-87816577	ENSMUSG00000079031	BB287469	1
chr12:87874072-87874072	ENSMUSG00000072905	Gm2016	1
chr12:87618869-87618869	ENSMUSG00000092019	Gm4027	1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr7:142969264-142969264	ENSMUSG00000009248	Ascl2	-1
chr2:177578199-177578199	ENSMUSG00000078865	Gm14406	-1
chr4:127329161-127329161	ENSMUSG00000042367	Gjb3	-1
chr2:172549593-172549593	ENSMUSG00000028640	Tfap2c	1
chr1:72212307-72212307	ENSMUSG00000039395	Mreg	-1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr13:74062285-74062285	ENSMUSG00000021572	Cep72	-1
chr18:49755601-49755601	ENSMUSG00000024505	Dtwd2	-1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr1:174501825-174501825	ENSMUSG00000028354	Fmn2	1
chr1:152954993-152954993	ENSMUSG00000042751	Nmnat2	1
chr18:3471630-3471630	ENSMUSG00000096528	G430049J08Rik	1
chr16:48310477-48310477	ENSMUSG00000072419	Dppa2	1
chr18:84935158-84935158	ENSMUSG00000034391	Fbxo15	1
chr11:96111964-96111964	ENSMUSG00000006056	Calcoco2	-1
chr7:142659693-142659693	ENSMUSG00000086266	Igf2os	1
chr1:13127163-13127163	ENSMUSG00000042414	Prdm14	-1
chr8:111933791-111933791	ENSMUSG00000031951	Tmem231	-1
chr7:35334170-35334170	ENSMUSG00000030494	Rhpn2	1
chr3:157925077-157925077	ENSMUSG00000028179	Cth	-1
chr15:101411043-101411043	ENSMUSG00000023039	Krt7	1
chr18:20558074-20558074	ENSMUSG00000044393	Dsg2	1
chr13:38151328-38151328	ENSMUSG00000054889	Dsp	1
chr7:141338880-141338880	ENSMUSG00000025504	Eps8l2	1
chr13:66441118-66441118	ENSMUSG00000074832	2410141K09Rik	-1
chrX:139333683-139333683	ENSMUSG00000051257	Trap1a	1
chr2:10370510-10370510	ENSMUSG00000061186	Sfmbt2	1
chrX:170009659-170009659	ENSMUSG00000095562	Gm21887	1
chr1:178318549-178318549	ENSMUSG00000086350	B230369F24Rik	-1
chr17:31637199-31637199	ENSMUSG00000024039	Cbs	-1
chr7:19577287-19577287	ENSMUSG00000011267	Zfp296	1
chr17:36989537-36989537	ENSMUSG00000024459	H2-M5	-1
chr5:134986214-134986214	ENSMUSG00000070473	Cldn3	1
chr11:100146120-100146120	ENSMUSG00000020911	Krt19	-1
chr17:50698525-50698525	ENSMUSG00000044645	Gm7334	1
chr11:68973012-68973012	ENSMUSG00000032892	Rangrf	-1
chr12:85280435-85280435	ENSMUSG00000008822	Acyp1	-1
chr2:151996535-151996535	ENSMUSG00000027463	Slc52a3	1
chr11:9118103-9118103	ENSMUSG00000020407	Upp1	1
chrX:37804842-37804842	ENSMUSG00000095180	Rhox5	1
chr7:141279133-141279133	ENSMUSG00000038580	Sct	-1
chr7:101864145-101864145	ENSMUSG00000001827	Folr1	-1
chr1:166127922-166127922	ENSMUSG00000026564	Dusp27	-1
chr9:18397538-18397538	ENSMUSG00000043943	Naalad2	-1
chr7:139943789-139943789	ENSMUSG00000047751	Utf1	1
chr4:132351772-132351772	ENSMUSG00000091021	Gm17300	1
chr8:106510913-106510913	ENSMUSG00000061048	Cdh3	1
chr11:115974709-115974709	ENSMUSG00000020758	Itgb4	1
chr1:153186047-153186047	ENSMUSG00000026479	Lamc2	-1
chr6:136328543-136328543	ENSMUSG00000094973	Gm8994	1
chr17:33905135-33905135	ENSMUSG00000092349	BC033916	1
chr15:83367282-83367282	ENSMUSG00000075511	1700001L05Rik	-1
chr6:122610087-122610087	ENSMUSG00000030117	Gdf3	-1
chr11:99089306-99089306	ENSMUSG00000017607	Tns4	-1
chr4:144408464-144408464	ENSMUSG00000028591	Pramef12	-1
chr16:97763491-97763491	ENSMUSG00000005251	Ripk4	-1
chr13:74406396-74406396	ENSMUSG00000062382	Gm10116	1
chr4:41098183-41098183	ENSMUSG00000028435	Aqp3	-1
chr1:135258568-135258568	ENSMUSG00000003051	Elf3	-1
chr2:104742878-104742878	ENSMUSG00000027173	Depdc7	-1
chr7:81057600-81057600	ENSMUSG00000038763	Alpk3	1
chr6:121636173-121636173	ENSMUSG00000030111	A2m	1
chr6:72355447-72355447	ENSMUSG00000055912	Tmem150a	1
chr18:66458604-66458604	ENSMUSG00000024521	Pmaip1	1
chr2:104069849-104069849	ENSMUSG00000068686	Cd59b	1
chr9:118478212-118478212	ENSMUSG00000032446	Eomes	1
chr13:95525240-95525240	ENSMUSG00000021678	F2rl1	-1
chr1:91145089-91145089	ENSMUSG00000070732	Rbm44	1
chr5:66676098-66676098	ENSMUSG00000029223	Uchl1	1
chr2:155611212-155611212	ENSMUSG00000074652	Myh7b	1
chr4:147021850-147021850	ENSMUSG00000067919	Rex2	1
chr7:144861386-144861386	ENSMUSG00000050917	Fgf4	1
chr4:146156824-146156824	ENSMUSG00000066007	Zfp600	1
chr7:110061325-110061325	ENSMUSG00000073867	AA474408	-1
chr16:35981081-35981081	ENSMUSG00000086324	Gm15564	-1
chr1:161814167-161814167	ENSMUSG00000103625	RP24-75E15.5	-1
chr5:137072272-137072272	ENSMUSG00000037411	Serpine1	-1
chr12:112777636-112777636	ENSMUSG00000072812	Ahnak2	-1
chrX:73097017-73097017	ENSMUSG00000057836	Xlr3a	-1
chr2:152143561-152143561	ENSMUSG00000068079	Tcf15	1
chr13:66349396-66349396	ENSMUSG00000097659	Gm26715	1
chr7:143502541-143502541	ENSMUSG00000010760	Phlda2	-1
chr5:36868513-36868513	ENSMUSG00000029120	Ppp2r2c	1
chr7:127930113-127930113	ENSMUSG00000030800	Prss8	-1
chr17:47436615-47436615	ENSMUSG00000034382	AI661453	1
chr17:28769307-28769307	ENSMUSG00000004864	Mapk13	1
chr19:4042236-4042236	ENSMUSG00000038155	Gstp2	-1
chr9:17030045-17030045	ENSMUSG00000090602	Gm5611	1
chr17:67697265-67697265	ENSMUSG00000032796	Lama1	1
chr12:73113425-73113425	ENSMUSG00000034460	Six4	-1
chrX:73639419-73639419	ENSMUSG00000031383	Dusp9	1
chr17:26202951-26202951	ENSMUSG00000024186	Rgs11	1
chr11:57832147-57832147	ENSMUSG00000037335	Hand1	-1
chr4:137796384-137796384	ENSMUSG00000028766	Alpl	-1
chr7:104218793-104218793	ENSMUSG00000072244	Trim6	1
chr11:69935796-69935796	ENSMUSG00000018554	Ybx2	1
chr8:43183119-43183119	ENSMUSG00000091490	Triml2	1
chr16:65815633-65815633	ENSMUSG00000091243	Vgll3	1
chr3:79884533-79884533	ENSMUSG00000027955	Fam198b	1
chrX:20870166-20870166	ENSMUSG00000001131	Timp1	1
chr8:84021471-84021471	ENSMUSG00000047986	Palm3	1
chr14:52110704-52110704	ENSMUSG00000057132	Rpgrip1	1
chr19:25505618-25505618	ENSMUSG00000024837	Dmrt1	1
chr10:120476469-120476469	ENSMUSG00000056758	Hmga2	-1
chr12:27342574-27342574	ENSMUSG00000063632	Sox11	-1
chr6:31563981-31563981	ENSMUSG00000025608	Podxl	-1
chr2:127425199-127425199	ENSMUSG00000046338	Gpat2	1
chr3:95559677-95559677	ENSMUSG00000028109	Hormad1	1
chr4:147553277-147553277	ENSMUSG00000065999	Gm13154	1
chr2:121357714-121357714	ENSMUSG00000000308	Ckmt1	1
