ensg	name	loc	tss_loc	strand
ENSMUSG00000064372	mt-Tp	chrMT:15356-15422		-1
ENSMUSG00000064371	mt-Tt	chrMT:15289-15355		1
ENSMUSG00000064370	mt-Cytb	chrMT:14145-15288		1
ENSMUSG00000064369	mt-Te	chrMT:14071-14139		-1
ENSMUSG00000064368	mt-Nd6	chrMT:13552-14070		-1
ENSMUSG00000064367	mt-Nd5	chrMT:11742-13565		1
ENSMUSG00000064366	mt-Tl2	chrMT:11671-11741		1
ENSMUSG00000064365	mt-Ts2	chrMT:11613-11671		1
ENSMUSG00000064364	mt-Th	chrMT:11546-11612		1
ENSMUSG00000064363	mt-Nd4	chrMT:10167-11544		1
ENSMUSG00000065947	mt-Nd4l	chrMT:9877-10173		1
ENSMUSG00000064361	mt-Tr	chrMT:9808-9875		1
ENSMUSG00000064360	mt-Nd3	chrMT:9459-9806		1
ENSMUSG00000064359	mt-Tg	chrMT:9391-9458		1
ENSMUSG00000064358	mt-Co3	chrMT:8607-9390		1
ENSMUSG00000064357	mt-Atp6	chrMT:7927-8607		1
ENSMUSG00000064356	mt-Atp8	chrMT:7766-7969		1
ENSMUSG00000064355	mt-Tk	chrMT:7700-7764		1
ENSMUSG00000064354	mt-Co2	chrMT:7013-7696		1
ENSMUSG00000064353	mt-Td	chrMT:6942-7011		1
ENSMUSG00000064352	mt-Ts1	chrMT:6870-6938		-1
ENSMUSG00000064351	mt-Co1	chrMT:5328-6872		1
ENSMUSG00000064350	mt-Ty	chrMT:5260-5326		-1
ENSMUSG00000064349	mt-Tc	chrMT:5192-5257		-1
ENSMUSG00000064348	mt-Tn	chrMT:5089-5159		-1
ENSMUSG00000064347	mt-Ta	chrMT:5018-5086		-1
ENSMUSG00000064346	mt-Tw	chrMT:4950-5016		1
ENSMUSG00000064345	mt-Nd2	chrMT:3914-4951		1
ENSMUSG00000064344	mt-Tm	chrMT:3845-3913		1
ENSMUSG00000064343	mt-Tq	chrMT:3772-3842		-1
ENSMUSG00000064342	mt-Ti	chrMT:3706-3774		1
ENSMUSG00000064341	mt-Nd1	chrMT:2751-3707		1
ENSMUSG00000064340	mt-Tl1	chrMT:2676-2750		1
ENSMUSG00000064339	mt-Rnr2	chrMT:1094-2675		1
ENSMUSG00000064338	mt-Tv	chrMT:1025-1093		1
ENSMUSG00000064337	mt-Rnr1	chrMT:70-1024		1
ENSMUSG00000064336	mt-Tf	chrMT:1-68		1
ENSMUSG00000084423	Gm25109	chr13:94517162-94517275		1
ENSMUSG00000098952	Mir6405	chr19:44808406-44808529		1
ENSMUSG00000093874	Gm24539	chr13:62136930-62137062		1
ENSMUSG00000098504	Mir6351	chr1:73855477-73855575		-1
ENSMUSG00000065903	Gm26111	chrX:64800511-64800616		1
ENSMUSG00000098885	Mir7659	chr10:78340150-78340207		-1
ENSMUSG00000089129	Gm26407	chr18:12961499-12961805		1
ENSMUSG00000077448	Gm23126	chr1:42866685-42866818		-1
ENSMUSG00000065452	Mir207	chr4:40722917-40722995		1
ENSMUSG00000094642	Snord116l10	chr7:59899687-59899780		-1
ENSMUSG00000077628	Gm23768	chrX:132553714-132553844		-1
ENSMUSG00000077890	Mir875	chr15:35660970-35661047		-1
ENSMUSG00000056468	5730596B20Rik	chr6:52177498-52180851		1
ENSMUSG00000088066	Gm23253	chr2:71495271-71495374		1
ENSMUSG00000095165	Gm25547	chr16:14807163-14807269		-1
ENSMUSG00000094466	Gm24308	chr6:137919858-137919971		-1
ENSMUSG00000088259	Gm24290	chr11:105141214-105141309		1
ENSMUSG00000065436	Mir342	chr12:108658620-108658718		1
ENSMUSG00000039616	Mocos	chr18:24653691-24701556		1
ENSMUSG00000088136	Gm22587	chr11:85297452-85297749		-1
ENSMUSG00000065569	Mir137	chr3:118433857-118433929		1
ENSMUSG00000065544	Mir32	chr4:56895229-56895298		-1
ENSMUSG00000098460	Mir6970	chr17:34845101-34845167		-1
ENSMUSG00000099010	Gm27357	chr5:112228608-112228742		-1
ENSMUSG00000087719	Gm26464	chr10:42820463-42820767		-1
ENSMUSG00000096402	Gm23816	chr14:62634962-62635093		-1
ENSMUSG00000065159	Gm25482	chr19:44945022-44945128		1
ENSMUSG00000098792	Gm27401	chr11:116839794-116839966		-1
ENSMUSG00000077664	Gm26145	chr1:31259593-31259719		-1
ENSMUSG00000088559	Mir1981	chr1:184822407-184822488		-1
ENSMUSG00000088943	Gm23259	chr1:15879530-15879832		1
ENSMUSG00000076146	Mir449c	chr13:113035983-113036091		1
ENSMUSG00000088677	Gm22804	chr4:94487883-94487983		1
ENSMUSG00000087728	Gm26274	chr9:20807034-20807354		1
ENSMUSG00000095791	Gm26295	chr16:30814162-30814268		1
ENSMUSG00000104797	Mir1897	chr3:34638464-34638542		1
ENSMUSG00000064556	Gm24625	chr14:62521023-62521152		1
ENSMUSG00000096713	Gm23148	chr4:62264314-62264420		1
ENSMUSG00000088679	Gm23665	chr15:46944387-46944448		-1
ENSMUSG00000092792	Gm22694	chr18:89733005-89733074		1
ENSMUSG00000098842	Gm27907	chr1:85012367-85012446		1
ENSMUSG00000089589	Gm23343	chr15:44948104-44948246		1
ENSMUSG00000077519	Gm25880	chr4:153876384-153876515		1
ENSMUSG00000070166	Gm25821	chr12:21287927-21288059		1
ENSMUSG00000065474	Mir141	chr6:124717914-124717985		-1
ENSMUSG00000024091	Vapa	chr17:65580056-65613555		-1
ENSMUSG00000094099	Gm25823	chr7:59522156-59522233		-1
ENSMUSG00000089576	Gm23007	chr2:21197690-21197866		-1
ENSMUSG00000024056	Ndc80	chr17:71496100-71526857		-1
ENSMUSG00000089398	Gm23028	chrX:66448166-66448430		1
ENSMUSG00000088245	Gm25910	chr6:67897065-67897204		-1
ENSMUSG00000078041	Mir292	chr7:3219189-3219270		1
ENSMUSG00000098973	Mir6236	chr9:110281287-110281409		1
ENSMUSG00000054321	Taf4b	chr18:14783245-14900359		1
ENSMUSG00000089316	Gm22261	chr2:147250462-147250785		-1
ENSMUSG00000065507	Mir204	chr19:22750605-22750672		1
ENSMUSG00000095536	Gm25285	chr2:10491336-10491425		1
ENSMUSG00000087947	Gm24249	chr7:88087188-88087251		-1
ENSMUSG00000088659	Gm24845	chr18:69551963-69552071		1
ENSMUSG00000094049	Gm26283	chr7:59490561-59490639		-1
ENSMUSG00000077571	Snora36b	chr1:185242907-185243038		1
ENSMUSG00000099285	Gm27989	chr3:45160695-45160801		1
ENSMUSG00000099235	Gm27882	chr5:112216740-112216813		-1
ENSMUSG00000087958	Gm22563	chr4:51540747-51541015		1
ENSMUSG00000094452	Gm22623	chr10:30493942-30494048		1
ENSMUSG00000065400	Mir200a	chr4:156054896-156054985		-1
ENSMUSG00000089277	Gm24546	chr9:18679128-18679229		1
ENSMUSG00000098317	Mir6926	chr11:74868127-74868194		-1
ENSMUSG00000065494	Mir28a	chr16:24827855-24827940		1
ENSMUSG00000098345	Gm27847	chr9:112489616-112489722		1
ENSMUSG00000070104	Mir471	chrX:66792595-66792661		-1
ENSMUSG00000095618	Gm26246	chr7:59789331-59789424		-1
ENSMUSG00000093251	Gm22932	chr16:10273750-10273821		1
ENSMUSG00000098717	Gm28032	chr6:52246009-52246104		1
ENSMUSG00000098262	Gm27520	chrX:103480946-103481026		1
ENSMUSG00000093964	Gm26179	chr6:74340950-74341081		1
