tss_loc	ensg	name	strand
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr1:4779212-4779212	ENSMUSG00000102275	RP23-34E15.5	-1
chr2:140152043-140152043	ENSMUSG00000078197	Gm17374	1
chr10:61171954-61171954	ENSMUSG00000020096	Tbata	1
chr6:52234939-52234939	ENSMUSG00000000938	Hoxa10	-1
chr11:96271457-96271457	ENSMUSG00000020875	Hoxb9	1
chr16:36131241-36131241	ENSMUSG00000034362	Csta1	-1
chr2:130012349-130012349	ENSMUSG00000027401	Tgm3	1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr2:156887078-156887078	ENSMUSG00000027636	Sla2	-1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chr15:74714839-74714839	ENSMUSG00000022598	Psca	1
chr15:101850786-101850786	ENSMUSG00000046834	Krt1	-1
chr11:55336564-55336564	ENSMUSG00000055333	Fat2	-1
chr13:56438355-56438355	ENSMUSG00000021509	Slc25a48	1
chr11:75937738-75937738	ENSMUSG00000020847	Rph3al	-1
chr2:85519024-85519024	ENSMUSG00000075217	4833423E24Rik	-1
chr19:5349574-5349574	ENSMUSG00000024846	Cst6	-1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr9:104102560-104102560	ENSMUSG00000079355	Ackr4	-1
chr5:90640487-90640487	ENSMUSG00000029370	Rassf6	-1
chr12:104263122-104263122	ENSMUSG00000079014	Serpina3i	1
chr1:86893573-86893573	ENSMUSG00000102649	RP23-26I10.5	1
chr5:25661275-25661275	ENSMUSG00000059244	Gm10062	-1
chr1:158551966-158551966	ENSMUSG00000102618	RP23-411L6.3	-1
chr1:51195221-51195221	ENSMUSG00000099625	Gm29325	1
chr1:164575455-164575455	ENSMUSG00000102389	RP24-272N10.6	1
chr2:24475599-24475599	ENSMUSG00000026976	Pax8	-1
chr19:44756045-44756045	ENSMUSG00000004231	Pax2	1
chr15:101370125-101370125	ENSMUSG00000037185	Krt80	-1
chr3:93015687-93015687	ENSMUSG00000027913	Crct1	-1
chr17:35552128-35552128	ENSMUSG00000039518	Cdsn	1
chr17:35065388-35065388	ENSMUSG00000092586	Ly6g6c	1
chr4:127354081-127354081	ENSMUSG00000046623	Gjb4	-1
chr19:4477447-4477447	ENSMUSG00000049303	Syt12	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr2:55411815-55411815	ENSMUSG00000087040	Gm14033	1
chr10:41612837-41612837	ENSMUSG00000101176	Gm29095	-1
chr11:115408314-115408314	ENSMUSG00000085072	Ict1os	-1
chr8:105633750-105633750	ENSMUSG00000102593	RP24-242N1.2	1
chr10:14718214-14718214	ENSMUSG00000019867	Gje1	-1
chr3:88334504-88334504	ENSMUSG00000001420	Tmem79	-1
chr6:113471427-113471427	ENSMUSG00000030281	Il17rc	1
chr1:106861173-106861173	ENSMUSG00000067006	Serpinb5	1
chr11:100135928-100135928	ENSMUSG00000054146	Krt15	-1
chr7:28863853-28863853	ENSMUSG00000053522	Lgals7	1
chr19:47692094-47692094	ENSMUSG00000025064	Col17a1	-1
chr11:99389364-99389364	ENSMUSG00000019761	Krt10	-1
chr3:35932787-35932787	ENSMUSG00000103229	Dcun1d1	-1
chr9:109849456-109849456	ENSMUSG00000038357	Camp	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr7:43824499-43824499	ENSMUSG00000050063	Klk6	1
chr13:13005383-13005383	ENSMUSG00000079092	Prl2c2	-1
chr13:12800078-12800078	ENSMUSG00000056457	Prl2c3	-1
chr13:13182715-13182715	ENSMUSG00000055360	Prl2c5	1
chr2:151572622-151572622	ENSMUSG00000027456	Sdcbp2	1
chr5:24392143-24392143	ENSMUSG00000038295	Atg9b	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr14:34355433-34355433	ENSMUSG00000043681	Fam25c	-1
chr7:140835018-140835018	ENSMUSG00000025481	Urah	1
chr4:138757626-138757626	ENSMUSG00000028749	Pla2g2f	-1
chr3:89365253-89365253	ENSMUSG00000042672	Dcst1	-1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr5:90786103-90786103	ENSMUSG00000029379	Cxcl3	1
chr10:76961788-76961788	ENSMUSG00000001120	Pcbp3	-1
chr4:25800146-25800146	ENSMUSG00000055373	Fut9	-1
chr5:136054492-136054492	ENSMUSG00000006143	Upk3bl	1
chr10:79777272-79777272	ENSMUSG00000020325	Fstl3	1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr8:123407107-123407107	ENSMUSG00000074037	Mc1r	1
chr13:27849344-27849344	ENSMUSG00000062551	Prl2c1	1
chr3:92083142-92083142	ENSMUSG00000043165	Lor	-1
chr1:71414910-71414910	ENSMUSG00000050296	Abca12	-1
chr19:6276605-6276605	ENSMUSG00000085196	Gm14963	-1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr7:17203477-17203477	ENSMUSG00000023159	Psg29	1
chr4:129309081-129309081	ENSMUSG00000096944	Gm26722	1
chr1:135919207-135919207	ENSMUSG00000026413	Pkp1	-1
chr9:43310763-43310763	ENSMUSG00000032013	Trim29	1
chr11:100206030-100206030	ENSMUSG00000045545	Krt14	-1
chr15:101712891-101712891	ENSMUSG00000061527	Krt5	-1
chr11:100261029-100261029	ENSMUSG00000035557	Krt17	-1
chr18:20002097-20002097	ENSMUSG00000059898	Dsc3	-1
chr16:25801916-25801916	ENSMUSG00000022510	Trp63	1
chr15:99590849-99590849	ENSMUSG00000044217	Aqp5	1
chr5:86518600-86518600	ENSMUSG00000079451	Tmprss11g	-1
chr7:24862213-24862213	ENSMUSG00000091955	Gm9844	1
chr19:19001117-19001117	ENSMUSG00000036192	Rorb	-1
chr4:43669141-43669141	ENSMUSG00000043633	Fam221b	-1
chr3:122293547-122293547	ENSMUSG00000057359	Gm17494	-1
chr14:34085981-34085981	ENSMUSG00000021950	Anxa8	1
chr14:70554056-70554056	ENSMUSG00000022096	Hr	1
chr4:155010984-155010984	ENSMUSG00000029055	Plch2	-1
chr2:6130211-6130211	ENSMUSG00000045319	Proser2	-1
chr7:4164860-4164860	ENSMUSG00000063838	Cdc42ep5	-1
chr15:101940324-101940324	ENSMUSG00000061397	Krt79	-1
chr13:72628820-72628820	ENSMUSG00000001504	Irx2	1
chr9:108953586-108953586	ENSMUSG00000025650	Col7a1	1
chr17:80127471-80127471	ENSMUSG00000035473	Galm	1
chr15:101680289-101680289	ENSMUSG00000023041	Krt6b	-1
chr7:19404104-19404104	ENSMUSG00000040714	Klc3	-1
chr7:141117806-141117806	ENSMUSG00000054662	Ano9	-1
chr11:69858730-69858730	ENSMUSG00000001583	Tnk1	-1
chr8:69044956-69044956	ENSMUSG00000089995	Gm15716	1
chr2:69670120-69670120	ENSMUSG00000075307	Klhl41	1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr15:97908310-97908310	ENSMUSG00000022479	Vdr	-1
chr5:91027464-91027464	ENSMUSG00000035020	Epgn	1
chr15:81499548-81499548	ENSMUSG00000091198	Gm5218	-1
chr4:20778567-20778567	ENSMUSG00000055761	Nkain3	-1
chr11:119307768-119307768	ENSMUSG00000013483	Card14	1
chr11:46166508-46166508	ENSMUSG00000020411	Nipal4	-1
chr9:62026856-62026856	ENSMUSG00000032278	Paqr5	-1
chr2:119271272-119271272	ENSMUSG00000034226	Rhov	-1
chr15:101411043-101411043	ENSMUSG00000023039	Krt7	1
chr18:20558074-20558074	ENSMUSG00000044393	Dsg2	1
chr13:38151328-38151328	ENSMUSG00000054889	Dsp	1
chr7:141338880-141338880	ENSMUSG00000025504	Eps8l2	1
chr1:130885996-130885996	ENSMUSG00000026420	Il24	-1
chr1:21234722-21234722	ENSMUSG00000102633	RP23-278E1.4	1
chr1:173741747-173741747	ENSMUSG00000073490	AI607873	-1
chr1:173913046-173913046	ENSMUSG00000026536	Mnda	-1
chr15:39006333-39006333	ENSMUSG00000022297	Fzd6	1
chr11:116238077-116238077	ENSMUSG00000034282	Evpl	-1
chr6:29396309-29396309	ENSMUSG00000029769	Ccdc136	1
chr9:56865104-56865104	ENSMUSG00000032911	Cspg4	1
chr5:21543527-21543527	ENSMUSG00000039883	Lrrc17	1
chr13:67306467-67306467	ENSMUSG00000055341	Zfp457	-1
chr3:92438789-92438789	ENSMUSG00000048455	Sprr1b	-1
chr2:122313693-122313693	ENSMUSG00000027224	Duoxa1	-1
chr2:122315672-122315672	ENSMUSG00000033268	Duox1	1
chr1:73525627-73525627	ENSMUSG00000100444	C530043A13Rik	-1
chr13:32781716-32781716	ENSMUSG00000044951	Mylk4	-1
chr15:37233159-37233159	ENSMUSG00000089804	Gm16136	-1
chr5:134986214-134986214	ENSMUSG00000070473	Cldn3	1
chr11:100146120-100146120	ENSMUSG00000020911	Krt19	-1
chr2:139493913-139493913	ENSMUSG00000039092	Sptlc3	1
chr9:54950998-54950998	ENSMUSG00000044820	AY074887	-1
chr12:112929495-112929495	ENSMUSG00000002799	Jag2	-1
chr4:137277489-137277489	ENSMUSG00000036856	Wnt4	1
chr18:12333819-12333819	ENSMUSG00000024421	Lama3	1
chr17:24528248-24528248	ENSMUSG00000093565	Rab26os	1
chr7:4460674-4460674	ENSMUSG00000006154	Eps8l1	1
chr2:173119525-173119525	ENSMUSG00000070495	Ctcfl	-1
chr5:96793385-96793385	ENSMUSG00000029484	Anxa3	1
chr8:85171322-85171322	ENSMUSG00000062687	Cks1brt	1
chrX:37878944-37878944	ENSMUSG00000064137	Rhox8	-1
chr14:3449379-3449379	ENSMUSG00000072739	Gm10408	1
chr15:34678706-34678706	ENSMUSG00000038879	Nipal2	-1
chr3:85673988-85673988	ENSMUSG00000051000	Fam160a1	-1
chr7:139943789-139943789	ENSMUSG00000047751	Utf1	1
chr7:30763756-30763756	ENSMUSG00000060962	Dmkn	1
chr4:133240818-133240818	ENSMUSG00000028862	Map3k6	1
chr2:49787688-49787688	ENSMUSG00000026765	Lypd6b	1
chr8:106510913-106510913	ENSMUSG00000061048	Cdh3	1
chr11:115974709-115974709	ENSMUSG00000020758	Itgb4	1
chr1:153186047-153186047	ENSMUSG00000026479	Lamc2	-1
chr11:69364019-69364019	ENSMUSG00000091095	Gm17305	1
chr1:151344082-151344082	ENSMUSG00000100954	Gm10138	-1
chr11:99089306-99089306	ENSMUSG00000017607	Tns4	-1
chr15:99931711-99931711	ENSMUSG00000096111	Gm21917	1
chr11:117076790-117076790	ENSMUSG00000086859	2810008D09Rik	1
chr11:73080683-73080683	ENSMUSG00000103109	RP23-263M10.12	1
chr16:97763491-97763491	ENSMUSG00000005251	Ripk4	-1
chr3:59180085-59180085	ENSMUSG00000051431	Gpr87	-1
chr9:78347158-78347158	ENSMUSG00000057933	Gsta2	-1
chr7:45759612-45759612	ENSMUSG00000003271	Sult2b1	-1
chr6:72355447-72355447	ENSMUSG00000055912	Tmem150a	1
chr4:24800890-24800890	ENSMUSG00000040387	Klhl32	-1
chr10:79864434-79864434	ENSMUSG00000090860	Gm17134	-1
chr18:66458604-66458604	ENSMUSG00000024521	Pmaip1	1
chr2:104069849-104069849	ENSMUSG00000068686	Cd59b	1
chr9:118478212-118478212	ENSMUSG00000032446	Eomes	1
chr4:138250403-138250403	ENSMUSG00000045349	Sh2d5	1
chr12:48559971-48559971	ENSMUSG00000091277	Gm1818	-1
chr17:24719965-24719965	ENSMUSG00000090101	Snhg9	-1
chr2:26445696-26445696	ENSMUSG00000086714	0610009E02Rik	1
chr2:66124994-66124994	ENSMUSG00000026994	Galnt3	-1
chr7:43811444-43811444	ENSMUSG00000030713	Klk7	1
chr13:95525240-95525240	ENSMUSG00000021678	F2rl1	-1
chr2:132945906-132945906	ENSMUSG00000027356	Fermt1	-1
chr7:19359749-19359749	ENSMUSG00000040734	Ppp1r13l	1
chr7:110061325-110061325	ENSMUSG00000073867	AA474408	-1
chr16:35981081-35981081	ENSMUSG00000086324	Gm15564	-1
chr1:161814167-161814167	ENSMUSG00000103625	RP24-75E15.5	-1
chr5:137072272-137072272	ENSMUSG00000037411	Serpine1	-1
chr12:112777636-112777636	ENSMUSG00000072812	Ahnak2	-1
chr16:13903161-13903161	ENSMUSG00000022679	Mpv17l	1
chr9:121108525-121108525	ENSMUSG00000040936	Ulk4	-1
chr13:33003250-33003250	ENSMUSG00000045827	Serpinb9	1
chr7:127930113-127930113	ENSMUSG00000030800	Prss8	-1
chr17:47436615-47436615	ENSMUSG00000034382	AI661453	1
chr17:28769307-28769307	ENSMUSG00000004864	Mapk13	1
chr13:113046388-113046388	ENSMUSG00000021760	Gpx8	-1
chr7:134225097-134225097	ENSMUSG00000054555	Adam12	-1
chr11:4620067-4620067	ENSMUSG00000079010	Gm11032	1
chr9:17030045-17030045	ENSMUSG00000090602	Gm5611	1
chr17:67697265-67697265	ENSMUSG00000032796	Lama1	1
chr12:73113425-73113425	ENSMUSG00000034460	Six4	-1
chrX:73639419-73639419	ENSMUSG00000031383	Dusp9	1
chr2:24215418-24215418	ENSMUSG00000026984	Il1f6	1
chr4:140845778-140845778	ENSMUSG00000025329	Padi1	-1
chr5:144358112-144358112	ENSMUSG00000038859	Baiap2l1	-1
chr15:100636865-100636865	ENSMUSG00000053559	Smagp	-1
chr9:108428484-108428484	ENSMUSG00000047220	Ccdc36	-1
chr7:143685872-143685872	ENSMUSG00000037613	Tnfrsf23	-1
chr8:40862396-40862396	ENSMUSG00000031596	Slc7a2	1
chr11:94392976-94392976	ENSMUSG00000020865	Abcc3	-1
chr6:145865558-145865558	ENSMUSG00000030256	Bhlhe41	-1
chr2:128698956-128698956	ENSMUSG00000014361	Mertk	1
chr18:20310811-20310811	ENSMUSG00000069441	Dsg1a	1
chr7:126766414-126766414	ENSMUSG00000030703	Gdpd3	1
chr1:106171524-106171524	ENSMUSG00000101583	Gm20753	-1
chr2:83759865-83759865	ENSMUSG00000085335	Gm13684	-1
chr4:4077522-4077522	ENSMUSG00000071019	Sdr16c6	-1
chr1:193207699-193207699	ENSMUSG00000026639	Lamb3	1
chr11:87662722-87662722	ENSMUSG00000034177	Rnf43	1
chr7:141078218-141078218	ENSMUSG00000054065	Pkp3	1
chr5:77095253-77095253	ENSMUSG00000059325	Hopx	-1
chr9:104337728-104337728	ENSMUSG00000032561	Acpp	-1
chr2:60673711-60673711	ENSMUSG00000026971	Itgb6	-1
chr16:65815633-65815633	ENSMUSG00000091243	Vgll3	1
chr3:79884533-79884533	ENSMUSG00000027955	Fam198b	1
chrX:20870166-20870166	ENSMUSG00000001131	Timp1	1
chr16:33056190-33056190	ENSMUSG00000035578	Iqcg	-1
chr1:74542888-74542888	ENSMUSG00000026173	Plcd4	1
chr10:120476469-120476469	ENSMUSG00000056758	Hmga2	-1
chr12:27342574-27342574	ENSMUSG00000063632	Sox11	-1
chr9:119357381-119357381	ENSMUSG00000035769	Xylb	1
chr11:103078294-103078294	ENSMUSG00000020937	Plcd3	-1
chr2:164356507-164356507	ENSMUSG00000017002	Slpi	-1
chr7:28547254-28547254	ENSMUSG00000047586	Nccrp1	-1
chr3:92670315-92670315	ENSMUSG00000068890	Lce1a2	-1
chr3:92687210-92687210	ENSMUSG00000103243	Lce1d	-1
chr2:92024502-92024502	ENSMUSG00000027230	Creb3l1	-1
chr9:78615546-78615546	ENSMUSG00000046186	Cd109	1
chr3:121723537-121723537	ENSMUSG00000028128	F3	1
chr17:45734506-45734506	ENSMUSG00000097727	F630040K05Rik	1
chr2:110721340-110721340	ENSMUSG00000050808	Muc15	1
chr11:7213897-7213897	ENSMUSG00000020427	Igfbp3	-1
chr15:97731405-97731405	ENSMUSG00000022468	Endou	-1
chr14:31577383-31577383	ENSMUSG00000057606	Colq	-1
chr1:60779352-60779352	ENSMUSG00000104069	RP23-157N11.10	1
chr9:51077094-51077094	ENSMUSG00000060594	Layn	-1
chr2:121357714-121357714	ENSMUSG00000000308	Ckmt1	1
chr11:120732114-120732114	ENSMUSG00000025150	Cbr2	-1
chr4:134065912-134065912	ENSMUSG00000012123	Aim1l	1
chr16:26371841-26371841	ENSMUSG00000022512	Cldn1	-1
chr6:30568369-30568369	ENSMUSG00000039070	Cpa4	1
chr1:12692277-12692277	ENSMUSG00000016918	Sulf1	1
chr11:69964779-69964779	ENSMUSG00000018569	Cldn7	1
chr12:14152038-14152038	ENSMUSG00000020607	Fam84a	-1
chr10:116473878-116473878	ENSMUSG00000054934	Kcnmb4	-1
chr1:193153111-193153111	ENSMUSG00000026638	Irf6	1
chr11:105944412-105944412	ENSMUSG00000019590	Cyb561	-1
chr7:44665501-44665501	ENSMUSG00000030739	Myh14	-1
chr1:135818598-135818598	ENSMUSG00000041782	Lad1	1
chr2:103303278-103303278	ENSMUSG00000012350	Ehf	-1
chr6:51432670-51432670	ENSMUSG00000029832	Nfe2l3	1
chr14:31251218-31251218	ENSMUSG00000021902	Phf7	-1
chr15:101869705-101869705	ENSMUSG00000067594	Krt77	-1
chr13:3837757-3837757	ENSMUSG00000033765	Calm4	1
chr16:36367748-36367748	ENSMUSG00000071561	BC100530	-1
chr3:92215799-92215799	ENSMUSG00000078664	Sprr2a1	1
chr3:92285417-92285417	ENSMUSG00000074445	Sprr2a3	1
chr14:57104702-57104702	ENSMUSG00000046352	Gjb2	-1
chr7:30734739-30734739	ENSMUSG00000046056	Sbsn	1
chr17:53539451-53539451	ENSMUSG00000044957	Pp2d1	-1
chr1:93160948-93160948	ENSMUSG00000034159	2310007B03Rik	-1
chr19:10839727-10839727	ENSMUSG00000024737	Slc15a3	1
chr5:117315539-117315539	ENSMUSG00000097163	BC051077	-1
chr8:117671547-117671547	ENSMUSG00000034308	Sdr42e1	-1
chr6:135878312-135878312	ENSMUSG00000102767	RP23-133P12.1	-1
chr4:117834506-117834506	ENSMUSG00000028542	Slc6a9	1
chr15:101694307-101694307	ENSMUSG00000058354	Krt6a	-1
chr7:30787896-30787896	ENSMUSG00000074199	Krtdap	1
chrX:112698651-112698651	ENSMUSG00000034607	Pof1b	-1
chr7:30552178-30552178	ENSMUSG00000036854	Hspb6	1
chr3:92827247-92827247	ENSMUSG00000059832	Kprp	-1
chr3:93019060-93019060	ENSMUSG00000027912	Lce1m	-1
chr3:92648307-92648307	ENSMUSG00000057609	Lce1a1	-1
chr3:93197278-93197278	ENSMUSG00000049133	Flg2	1
chr9:45319100-45319100	ENSMUSG00000037129	Tmprss13	1
chr2:102452499-102452499	ENSMUSG00000075012	Fjx1	-1
chr13:40733823-40733823	ENSMUSG00000021359	Tfap2a	-1
chr17:32420975-32420975	ENSMUSG00000079563	Pglyrp2	-1
chr7:43797577-43797577	ENSMUSG00000064023	Klk8	1
chr9:66713686-66713686	ENSMUSG00000032373	Car12	1
chr13:22035568-22035568	ENSMUSG00000069302	Hist1h2ah	-1
chr15:80671847-80671847	ENSMUSG00000022408	Fam83f	1
chr2:164562413-164562413	ENSMUSG00000017723	Wfdc2	1
chr4:136347286-136347286	ENSMUSG00000086568	9130020K20Rik	1
chr6:34354119-34354119	ENSMUSG00000029762	Akr1b8	1
chr6:135065651-135065651	ENSMUSG00000046733	Gprc5a	1
chr4:155409190-155409190	ENSMUSG00000078490	C030017K20Rik	1
chr4:41048139-41048139	ENSMUSG00000028427	Aqp7	-1
chr4:89282192-89282192	ENSMUSG00000044303	Cdkn2a	-1
chr3:90603771-90603771	ENSMUSG00000001020	S100a4	1
chr5:43981762-43981762	ENSMUSG00000048373	Fgfbp1	-1
chrX:72987360-72987360	ENSMUSG00000031351	Zfp185	1
chr19:5298331-5298331	ENSMUSG00000047658	Gal3st3	1
chr1:56972502-56972502	ENSMUSG00000038331	Satb2	-1
chr18:74440936-74440936	ENSMUSG00000025885	Myo5b	1
chr17:25786580-25786580	ENSMUSG00000071202	Ccdc78	1
chr1:173982744-173982744	ENSMUSG00000026535	Ifi202b	-1
chr2:25180758-25180758	ENSMUSG00000078202	Nrarp	1
chr13:28943048-28943048	ENSMUSG00000097461	Gm26735	1
chr2:12924041-12924041	ENSMUSG00000026730	Pter	1
chr7:132610638-132610638	ENSMUSG00000030946	Lhpp	1
chr15:34495255-34495255	ENSMUSG00000022323	Hrsp12	-1
chr9:51963533-51963533	ENSMUSG00000032051	Fdx1	-1
chr13:100107997-100107997	ENSMUSG00000021643	Serf1	1
chr6:54992950-54992950	ENSMUSG00000002797	Ggct	-1
chr1:171504111-171504111	ENSMUSG00000091993	B930036N10Rik	-1
chr1:51289126-51289126	ENSMUSG00000045954	Sdpr	1
chr3:90537254-90537254	ENSMUSG00000074457	S100a16	1
chr16:36455392-36455392	ENSMUSG00000054905	Stfa3	-1
chr6:84593908-84593908	ENSMUSG00000063415	Cyp26b1	-1
chr9:44067021-44067021	ENSMUSG00000032010	Usp2	1
chr18:20510304-20510304	ENSMUSG00000056632	Dsg3	1
chr7:104857009-104857009	ENSMUSG00000054568	Usp17la	1
chr9:57537629-57537629	ENSMUSG00000097445	Gm26631	-1
chr2:24276954-24276954	ENSMUSG00000026983	Il1f5	1
chr10:78718293-78718293	ENSMUSG00000005355	Casp14	-1
chr1:85246397-85246397	ENSMUSG00000052477	C130026I21Rik	-1
chr2:110305741-110305741	ENSMUSG00000041660	Bbox1	-1
chr6:41605482-41605482	ENSMUSG00000029869	Ephb6	1
chr2:17731043-17731043	ENSMUSG00000053702	Nebl	-1
chr5:8660077-8660077	ENSMUSG00000040584	Abcb1a	1
chr10:85386827-85386827	ENSMUSG00000020042	Btbd11	1
chr3:67374097-67374097	ENSMUSG00000048416	Mlf1	1
chr2:105668900-105668900	ENSMUSG00000027168	Pax6	1
chr18:61045150-61045150	ENSMUSG00000024620	Pdgfrb	1
chr1:163313672-163313672	ENSMUSG00000026586	Prrx1	-1
chr7:15967567-15967567	ENSMUSG00000074364	Ehd2	-1
chr5:137611408-137611408	ENSMUSG00000029718	Pcolce	-1
chr11:75422701-75422701	ENSMUSG00000000753	Serpinf1	-1
chr1:170110561-170110561	ENSMUSG00000026674	Ddr2	-1
chr18:42053667-42053667	ENSMUSG00000057719	Sh3rf2	1
chr2:120532904-120532904	ENSMUSG00000097799	Gm26899	1
chr1:55440904-55440904	ENSMUSG00000102145	RP23-453N3.4	1
chr5:90768518-90768518	ENSMUSG00000029372	Ppbp	1
chr17:34143307-34143307	ENSMUSG00000037548	H2-DMb2	1
chr9:31913462-31913462	ENSMUSG00000032033	Barx2	-1
chr10:18546076-18546076	ENSMUSG00000019853	Hebp2	-1
chr5:129879083-129879083	ENSMUSG00000025537	Phkg1	-1
chr11:99493137-99493137	ENSMUSG00000006777	Krt23	-1
chr7:126625676-126625676	ENSMUSG00000030717	Nupr1	-1
chr9:50752758-50752758	ENSMUSG00000032060	Cryab	1
chr12:24572287-24572287	ENSMUSG00000020656	Grhl1	1
chr8:109868432-109868432	ENSMUSG00000078143	Gm17344	-1
chr11:29595787-29595787	ENSMUSG00000086707	Gm12088	1
chr7:66427517-66427517	ENSMUSG00000015134	Aldh1a3	-1
chr14:69294299-69294299	ENSMUSG00000047977	Synb	-1
chr8:125995102-125995102	ENSMUSG00000033998	Kcnk1	1
chr1:171370099-171370099	ENSMUSG00000006411	Pvrl4	1
chr19:3972328-3972328	ENSMUSG00000075296	Aldh3b2	1
chr2:127541467-127541467	ENSMUSG00000027376	Prom2	-1
chr1:164275585-164275585	ENSMUSG00000026578	Ccdc181	1
chr12:86726460-86726460	ENSMUSG00000021257	Angel1	-1
chr9:37613720-37613720	ENSMUSG00000001948	Spa17	-1
