tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr17:56875477-56875477	ENSMUSG00000024209	1700061G19Rik	1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr7:4532453-4532453	ENSMUSG00000055809	Dnaaf3	-1
chr17:50293599-50293599	ENSMUSG00000010592	Dazl	-1
chr15:85131957-85131957	ENSMUSG00000022432	Smc1b	-1
chr6:125286042-125286042	ENSMUSG00000067702	Tuba3a	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr6:34920163-34920163	ENSMUSG00000029848	Stra8	1
chr3:30699830-30699830	ENSMUSG00000074653	Lrrc31	-1
chr11:100356128-100356128	ENSMUSG00000006930	Hap1	-1
chr9:108826320-108826320	ENSMUSG00000023473	Celsr3	1
chr4:91372034-91372034	ENSMUSG00000008489	Elavl2	-1
chr11:101464999-101464999	ENSMUSG00000001313	Rnd2	1
chr1:37865079-37865079	ENSMUSG00000060771	Tsga10	-1
chr5:24209724-24209724	ENSMUSG00000099891	Gm5575	-1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr10:76961788-76961788	ENSMUSG00000001120	Pcbp3	-1
chr4:25800146-25800146	ENSMUSG00000055373	Fut9	-1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chrX:136993155-136993155	ENSMUSG00000031428	Zcchc18	1
chr4:101496648-101496648	ENSMUSG00000028528	Dnajc6	1
chr6:124462744-124462744	ENSMUSG00000008153	Clstn3	-1
chr11:6065545-6065545	ENSMUSG00000057897	Camk2b	-1
chr10:112163621-112163621	ENSMUSG00000035694	Caps2	1
chr1:128774421-128774421	ENSMUSG00000097283	Gm26686	-1
chr19:10389090-10389090	ENSMUSG00000024743	Syt7	1
chr3:82358044-82358044	ENSMUSG00000033900	Map9	1
chrX:135839056-135839056	ENSMUSG00000072966	Gprasp2	1
chr9:19928282-19928282	ENSMUSG00000091460	Gm7808	-1
chr2:32236382-32236382	ENSMUSG00000086216	Gm13610	-1
chr4:127329161-127329161	ENSMUSG00000042367	Gjb3	-1
chr2:172549593-172549593	ENSMUSG00000028640	Tfap2c	1
chr1:72212307-72212307	ENSMUSG00000039395	Mreg	-1
chr16:19706365-19706365	ENSMUSG00000041247	Lamp3	-1
chr13:21495223-21495223	ENSMUSG00000078139	AK157302	1
chr7:24862213-24862213	ENSMUSG00000091955	Gm9844	1
chr19:19001117-19001117	ENSMUSG00000036192	Rorb	-1
chr4:43669141-43669141	ENSMUSG00000043633	Fam221b	-1
chr3:122293547-122293547	ENSMUSG00000057359	Gm17494	-1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr6:29272488-29272488	ENSMUSG00000043421	Hilpda	1
chr7:109010825-109010825	ENSMUSG00000031028	Tub	1
chr13:74062285-74062285	ENSMUSG00000021572	Cep72	-1
chr18:49755601-49755601	ENSMUSG00000024505	Dtwd2	-1
chr7:141117806-141117806	ENSMUSG00000054662	Ano9	-1
chr11:69858730-69858730	ENSMUSG00000001583	Tnk1	-1
chr18:51865881-51865881	ENSMUSG00000069379	Gm4950	-1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr3:138260991-138260991	ENSMUSG00000074207	Adh1	1
chr1:184883218-184883218	ENSMUSG00000039349	C130074G19Rik	-1
chr11:97685953-97685953	ENSMUSG00000078695	Cisd3	1
chr1:180196020-180196020	ENSMUSG00000026489	Adck3	-1
chr2:57115038-57115038	ENSMUSG00000026826	Nr4a2	-1
chr1:174501825-174501825	ENSMUSG00000028354	Fmn2	1
chr1:152954993-152954993	ENSMUSG00000042751	Nmnat2	1
chr18:3471630-3471630	ENSMUSG00000096528	G430049J08Rik	1
chr16:48310477-48310477	ENSMUSG00000072419	Dppa2	1
chr18:84935158-84935158	ENSMUSG00000034391	Fbxo15	1
chr11:96111964-96111964	ENSMUSG00000006056	Calcoco2	-1
chr1:13127163-13127163	ENSMUSG00000042414	Prdm14	-1
chr8:111933791-111933791	ENSMUSG00000031951	Tmem231	-1
chr7:35334170-35334170	ENSMUSG00000030494	Rhpn2	1
chr3:157925077-157925077	ENSMUSG00000028179	Cth	-1
chr2:122186189-122186189	ENSMUSG00000027233	Patl2	-1
chr15:101411043-101411043	ENSMUSG00000023039	Krt7	1
chr18:20558074-20558074	ENSMUSG00000044393	Dsg2	1
chr13:38151328-38151328	ENSMUSG00000054889	Dsp	1
chr7:141338880-141338880	ENSMUSG00000025504	Eps8l2	1
chr13:66441118-66441118	ENSMUSG00000074832	2410141K09Rik	-1
chr13:43135384-43135384	ENSMUSG00000054728	Phactr1	1
chrX:139333683-139333683	ENSMUSG00000051257	Trap1a	1
chr2:10370510-10370510	ENSMUSG00000061186	Sfmbt2	1
chr17:31637199-31637199	ENSMUSG00000024039	Cbs	-1
chr6:29396309-29396309	ENSMUSG00000029769	Ccdc136	1
chr7:19577287-19577287	ENSMUSG00000011267	Zfp296	1
chr17:36989537-36989537	ENSMUSG00000024459	H2-M5	-1
chr17:50698525-50698525	ENSMUSG00000044645	Gm7334	1
chr11:68973012-68973012	ENSMUSG00000032892	Rangrf	-1
chr12:85280435-85280435	ENSMUSG00000008822	Acyp1	-1
chr11:9118103-9118103	ENSMUSG00000020407	Upp1	1
chrX:37804842-37804842	ENSMUSG00000095180	Rhox5	1
chr2:173119525-173119525	ENSMUSG00000070495	Ctcfl	-1
chr16:97490047-97490047	ENSMUSG00000096156	Gm9242	1
chr7:30664937-30664937	ENSMUSG00000094365	Gm21982	-1
chr7:101864145-101864145	ENSMUSG00000001827	Folr1	-1
chr1:166127922-166127922	ENSMUSG00000026564	Dusp27	-1
chr9:18397538-18397538	ENSMUSG00000043943	Naalad2	-1
chr7:139943789-139943789	ENSMUSG00000047751	Utf1	1
chr4:132351772-132351772	ENSMUSG00000091021	Gm17300	1
chr15:83367282-83367282	ENSMUSG00000075511	1700001L05Rik	-1
chr6:122610087-122610087	ENSMUSG00000030117	Gdf3	-1
chr4:144408464-144408464	ENSMUSG00000028591	Pramef12	-1
chr13:74406396-74406396	ENSMUSG00000062382	Gm10116	1
chr4:41098183-41098183	ENSMUSG00000028435	Aqp3	-1
chr1:135258568-135258568	ENSMUSG00000003051	Elf3	-1
chrX:141875235-141875235	ENSMUSG00000081607	Gm15294	-1
chrX:169986939-169986939	ENSMUSG00000086695	Gm15247	-1
chr2:104742878-104742878	ENSMUSG00000027173	Depdc7	-1
chr7:81057600-81057600	ENSMUSG00000038763	Alpk3	1
chr6:121636173-121636173	ENSMUSG00000030111	A2m	1
chr6:72355447-72355447	ENSMUSG00000055912	Tmem150a	1
chr18:66458604-66458604	ENSMUSG00000024521	Pmaip1	1
chr2:104069849-104069849	ENSMUSG00000068686	Cd59b	1
chr9:118478212-118478212	ENSMUSG00000032446	Eomes	1
chr1:91145089-91145089	ENSMUSG00000070732	Rbm44	1
chr5:66676098-66676098	ENSMUSG00000029223	Uchl1	1
chr2:155611212-155611212	ENSMUSG00000074652	Myh7b	1
chr4:147021850-147021850	ENSMUSG00000067919	Rex2	1
chr7:144861386-144861386	ENSMUSG00000050917	Fgf4	1
chr4:146156824-146156824	ENSMUSG00000066007	Zfp600	1
chr7:3111950-3111950	ENSMUSG00000055452	Gm7353	-1
chr7:110061325-110061325	ENSMUSG00000073867	AA474408	-1
chr16:35981081-35981081	ENSMUSG00000086324	Gm15564	-1
chr1:161814167-161814167	ENSMUSG00000103625	RP24-75E15.5	-1
chr5:137072272-137072272	ENSMUSG00000037411	Serpine1	-1
chr12:112777636-112777636	ENSMUSG00000072812	Ahnak2	-1
chrX:73097017-73097017	ENSMUSG00000057836	Xlr3a	-1
chr8:112015036-112015036	ENSMUSG00000092086	Gm6793	-1
chr17:70929058-70929058	ENSMUSG00000066983	Gm16519	1
chr1:162088468-162088468	ENSMUSG00000102994	RP24-153N24.3	-1
chr7:143502541-143502541	ENSMUSG00000010760	Phlda2	-1
chr5:36868513-36868513	ENSMUSG00000029120	Ppp2r2c	1
chr19:4042236-4042236	ENSMUSG00000038155	Gstp2	-1
chr9:17030045-17030045	ENSMUSG00000090602	Gm5611	1
chr17:67697265-67697265	ENSMUSG00000032796	Lama1	1
chr12:73113425-73113425	ENSMUSG00000034460	Six4	-1
