tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr11:100096225-100096225	ENSMUSG00000048013	Krt35	-1
chr15:101743109-101743109	ENSMUSG00000051879	Krt71	-1
chr15:101802343-101802343	ENSMUSG00000063661	Krt73	-1
chr11:99322951-99322951	ENSMUSG00000035831	Krt25	-1
chr11:99351104-99351104	ENSMUSG00000017588	Krt27	-1
chr11:99374903-99374903	ENSMUSG00000055937	Krt28	-1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr16:36131241-36131241	ENSMUSG00000034362	Csta1	-1
chr2:130012349-130012349	ENSMUSG00000027401	Tgm3	1
chr7:109170308-109170308	ENSMUSG00000036111	Lmo1	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:7804974-7804974	ENSMUSG00000071984	Fndc1	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr15:101850786-101850786	ENSMUSG00000046834	Krt1	-1
chr11:55336564-55336564	ENSMUSG00000055333	Fat2	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr2:85519024-85519024	ENSMUSG00000075217	4833423E24Rik	-1
chr19:5349574-5349574	ENSMUSG00000024846	Cst6	-1
chr3:137624037-137624037	ENSMUSG00000046818	Ddit4l	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr1:39193731-39193731	ENSMUSG00000026077	Npas2	1
chr2:59484653-59484653	ENSMUSG00000026989	Dapl1	1
chr4:127354081-127354081	ENSMUSG00000046623	Gjb4	-1
chr19:4477447-4477447	ENSMUSG00000049303	Syt12	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr14:118052246-118052246	ENSMUSG00000022129	Dct	-1
chr10:121033960-121033960	ENSMUSG00000020218	Wif1	1
chr14:57133611-57133611	ENSMUSG00000040055	Gjb6	-1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr10:41612837-41612837	ENSMUSG00000101176	Gm29095	-1
chr11:115408314-115408314	ENSMUSG00000085072	Ict1os	-1
chr8:105633750-105633750	ENSMUSG00000102593	RP24-242N1.2	1
chr10:14718214-14718214	ENSMUSG00000019867	Gje1	-1
chr3:88334504-88334504	ENSMUSG00000001420	Tmem79	-1
chr6:113471427-113471427	ENSMUSG00000030281	Il17rc	1
chr1:106861173-106861173	ENSMUSG00000067006	Serpinb5	1
chr11:100135928-100135928	ENSMUSG00000054146	Krt15	-1
chr7:28863853-28863853	ENSMUSG00000053522	Lgals7	1
chr19:47692094-47692094	ENSMUSG00000025064	Col17a1	-1
chr11:99389364-99389364	ENSMUSG00000019761	Krt10	-1
chr19:5560575-5560575	ENSMUSG00000024922	Ovol1	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr1:40324610-40324610	ENSMUSG00000070942	Il1rl2	1
chr1:170644532-170644532	ENSMUSG00000038463	Olfml2b	1
chr13:31806691-31806691	ENSMUSG00000050295	Foxc1	1
chr14:34355433-34355433	ENSMUSG00000043681	Fam25c	-1
chr7:140835018-140835018	ENSMUSG00000025481	Urah	1
chr4:138757626-138757626	ENSMUSG00000028749	Pla2g2f	-1
chr3:89365253-89365253	ENSMUSG00000042672	Dcst1	-1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr17:23745829-23745829	ENSMUSG00000040680	Kremen2	-1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr1:49244616-49244616	ENSMUSG00000051616	C230029F24Rik	1
chr12:36314169-36314169	ENSMUSG00000036169	Sostdc1	1
chr10:24223517-24223517	ENSMUSG00000020000	Moxd1	1
chr12:33957671-33957671	ENSMUSG00000035799	Twist1	1
chr16:14705852-14705852	ENSMUSG00000022676	Snai2	1
chr11:50602084-50602084	ENSMUSG00000036545	Adamts2	1
chr15:10952332-10952332	ENSMUSG00000058914	C1qtnf3	1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr8:123407107-123407107	ENSMUSG00000074037	Mc1r	1
chr3:92083142-92083142	ENSMUSG00000043165	Lor	-1
chr1:71414910-71414910	ENSMUSG00000050296	Abca12	-1
chr19:6276605-6276605	ENSMUSG00000085196	Gm14963	-1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr1:162217623-162217623	ENSMUSG00000078190	Dnm3os	1
chr5:5694060-5694060	ENSMUSG00000015653	Steap2	-1
chr14:65953744-65953744	ENSMUSG00000034463	Scara3	-1
chr6:122505845-122505845	ENSMUSG00000030116	Mfap5	1
chr14:123659971-123659971	ENSMUSG00000032925	Itgbl1	1
chr4:129309081-129309081	ENSMUSG00000096944	Gm26722	1
chr4:128962420-128962420	ENSMUSG00000028789	Azin2	-1
chr1:119422248-119422248	ENSMUSG00000037035	Inhbb	-1
chr7:110627661-110627661	ENSMUSG00000030790	Adm	1
chr1:135919207-135919207	ENSMUSG00000026413	Pkp1	-1
chr9:43310763-43310763	ENSMUSG00000032013	Trim29	1
chr11:100206030-100206030	ENSMUSG00000045545	Krt14	-1
chr15:101712891-101712891	ENSMUSG00000061527	Krt5	-1
chr11:100261029-100261029	ENSMUSG00000035557	Krt17	-1
chr18:20002097-20002097	ENSMUSG00000059898	Dsc3	-1
chr16:25801916-25801916	ENSMUSG00000022510	Trp63	1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr7:24862213-24862213	ENSMUSG00000091955	Gm9844	1
chr19:19001117-19001117	ENSMUSG00000036192	Rorb	-1
chr4:43669141-43669141	ENSMUSG00000043633	Fam221b	-1
chr3:122293547-122293547	ENSMUSG00000057359	Gm17494	-1
chr14:34085981-34085981	ENSMUSG00000021950	Anxa8	1
chr14:70554056-70554056	ENSMUSG00000022096	Hr	1
chr4:155010984-155010984	ENSMUSG00000029055	Plch2	-1
chr2:6130211-6130211	ENSMUSG00000045319	Proser2	-1
chr7:4164860-4164860	ENSMUSG00000063838	Cdc42ep5	-1
chr15:101940324-101940324	ENSMUSG00000061397	Krt79	-1
chr13:72628820-72628820	ENSMUSG00000001504	Irx2	1
chr9:108953586-108953586	ENSMUSG00000025650	Col7a1	1
chr15:34306681-34306681	ENSMUSG00000022324	Matn2	1
chr17:14279506-14279506	ENSMUSG00000023886	Smoc2	1
chr17:80127471-80127471	ENSMUSG00000035473	Galm	1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr6:29272488-29272488	ENSMUSG00000043421	Hilpda	1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr7:19404104-19404104	ENSMUSG00000040714	Klc3	-1
