tss_loc	ensg	name	strand
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr8:25597487-25597487	ENSMUSG00000037363	Letm2	-1
chr14:47116161-47116161	ENSMUSG00000072589	Gm10371	-1
chr4:117929763-117929763	ENSMUSG00000028539	Artn	-1
chr1:36132042-36132042	ENSMUSG00000102202	RP23-173H19.3	1
chr2:131054036-131054036	ENSMUSG00000027318	Adam33	-1
chr5:120589016-120589016	ENSMUSG00000029601	Iqcd	1
chr3:116562973-116562973	ENSMUSG00000027961	Lrrc39	1
chr16:38362209-38362209	ENSMUSG00000022803	Popdc2	1
chr11:69948175-69948175	ENSMUSG00000018566	Slc2a4	-1
chr9:44288615-44288615	ENSMUSG00000032131	Abcg4	-1
chr8:23149585-23149585	ENSMUSG00000086741	Gm15816	-1
chr6:121300227-121300227	ENSMUSG00000030108	Slc6a13	1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr17:26199087-26199087	ENSMUSG00000024184	Pdia2	-1
chr3:144760977-144760977	ENSMUSG00000056025	Clca1	-1
chr4:115640428-115640428	ENSMUSG00000028713	Cyp4b1	-1
chr11:53480274-53480274	ENSMUSG00000044352	Sowaha	-1
chr15:58510048-58510048	ENSMUSG00000037106	Fer1l6	1
chr1:37865079-37865079	ENSMUSG00000060771	Tsga10	-1
chr6:87778136-87778136	ENSMUSG00000030054	Gp9	1
chr11:117809668-117809668	ENSMUSG00000093485	Gm20708	1
chr8:83389867-83389867	ENSMUSG00000002190	Clgn	1
chr1:129273302-129273302	ENSMUSG00000042581	Thsd7b	1
chr8:68276567-68276567	ENSMUSG00000053886	Sh2d4a	1
chr1:130731976-130731976	ENSMUSG00000042510	AA986860	1
chr12:31073968-31073968	ENSMUSG00000036136	Fam110c	1
chr14:55618037-55618037	ENSMUSG00000002324	Rec8	1
chr18:56925548-56925548	ENSMUSG00000032656	March3	-1
chr14:46760541-46760541	ENSMUSG00000037628	Cdkn3	1
chr5:120777661-120777661	ENSMUSG00000032661	Oas3	-1
chr14:50955992-50955992	ENSMUSG00000068417	Pnp2	1
chr9:66158223-66158223	ENSMUSG00000032380	Dapk2	1
chr12:78906964-78906964	ENSMUSG00000021118	Plek2	-1
chr5:137294629-137294629	ENSMUSG00000051502	Ufsp1	1
chr8:80494045-80494045	ENSMUSG00000051839	Gypa	1
chr13:23746790-23746790	ENSMUSG00000075031	Hist1h2bb	1
chr13:23562369-23562369	ENSMUSG00000069273	Hist1h3e	-1
chr13:23575763-23575763	ENSMUSG00000099583	Hist1h3d	1
chr12:69790707-69790707	ENSMUSG00000020990	Cdkl1	-1
chr11:53980332-53980332	ENSMUSG00000063652	Slc22a21	-1
chr13:74062285-74062285	ENSMUSG00000021572	Cep72	-1
chr18:49755601-49755601	ENSMUSG00000024505	Dtwd2	-1
chr5:76658355-76658355	ENSMUSG00000103529	RP23-136I1.2	-1
chr6:134929092-134929092	ENSMUSG00000098318	1190002F15Rik	1
chr13:22041362-22041362	ENSMUSG00000060639	Hist1h4i	-1
chr1:44061936-44061936	ENSMUSG00000091844	Gm8251	-1
chr19:5727206-5727206	ENSMUSG00000089766	Gm16538	1
chr18:61953075-61953075	ENSMUSG00000045629	Sh3tc2	1
chr11:54028090-54028090	ENSMUSG00000020334	Slc22a4	-1
chr15:77753072-77753072	ENSMUSG00000056656	Apol8	-1
chr4:156255338-156255338	ENSMUSG00000096351	Samd11	-1
chr11:83286726-83286726	ENSMUSG00000082101	Slfn14	-1
chr12:104926142-104926142	ENSMUSG00000100975	Gm28875	-1
chr11:58948920-58948920	ENSMUSG00000056895	Hist3h2ba	1
chr14:69503320-69503320	ENSMUSG00000093954	Gm28049	-1
chr4:46404236-46404236	ENSMUSG00000028332	Hemgn	-1
chr11:4118831-4118831	ENSMUSG00000003585	Sec14l2	-1
chr13:23762386-23762386	ENSMUSG00000069265	Hist1h3a	-1
chr4:119190011-119190011	ENSMUSG00000028644	Ermap	-1
chr17:25944932-25944932	ENSMUSG00000090113	Nhlrc4	-1
chr17:50698525-50698525	ENSMUSG00000044645	Gm7334	1
chr11:68973012-68973012	ENSMUSG00000032892	Rangrf	-1
chr12:85280435-85280435	ENSMUSG00000008822	Acyp1	-1
chr16:91465104-91465104	ENSMUSG00000084866	A930006K02Rik	1
chr18:54422295-54422295	ENSMUSG00000096982	Redrum	1
chr11:8973266-8973266	ENSMUSG00000046634	Pkd1l1	-1
chr15:98589990-98589990	ENSMUSG00000100220	Gm29331	1
chr1:131638306-131638306	ENSMUSG00000004552	Ctse	1
chr14:70457476-70457476	ENSMUSG00000003469	Phyhip	1
chr9:66069731-66069731	ENSMUSG00000039452	Snx22	-1
chr13:23531050-23531050	ENSMUSG00000060981	Hist1h4h	1
chr13:23544465-23544465	ENSMUSG00000100210	Hist1h3f	1
chr13:21832196-21832196	ENSMUSG00000069305	Hist1h4n	-1
chr3:96245497-96245497	ENSMUSG00000064220	Hist2h2aa2	1
chr3:96270289-96270289	ENSMUSG00000093656	Gm20628	-1
chr13:21833758-21833758	ENSMUSG00000069303	Hist1h2br	1
chr17:40811126-40811126	ENSMUSG00000023926	Rhag	1
chr1:88205782-88205782	ENSMUSG00000081984	Dnajb3	-1
chr11:58917908-58917908	ENSMUSG00000020490	Btnl10	1
chr11:32286965-32286965	ENSMUSG00000073063	Hbq1b	1
chr11:117797660-117797660	ENSMUSG00000025573	6030468B19Rik	1
chr11:58640465-58640465	ENSMUSG00000037124	Trim58	1
chr2:121037072-121037072	ENSMUSG00000023216	Epb4.2	-1
chr17:36869574-36869574	ENSMUSG00000073400	Trim10	1
chr7:103813996-103813996	ENSMUSG00000073940	Hbb-bt	-1
chr7:109782025-109782025	ENSMUSG00000034825	Nrip3	-1
chr15:77643286-77643286	ENSMUSG00000091694	Apol11b	-1
chr4:156203304-156203304	ENSMUSG00000078349	AW011738	1
chr7:100474841-100474841	ENSMUSG00000099137	Gm10603	-1
chr17:48454901-48454901	ENSMUSG00000043592	Unc5cl	1
chr8:13200720-13200720	ENSMUSG00000099338	2810030D12Rik	1
chr5:137569851-137569851	ENSMUSG00000029716	Tfr2	1
chr6:41704339-41704339	ENSMUSG00000029866	Kel	-1
chr4:134864536-134864536	ENSMUSG00000028825	Rhd	1
chr9:48340898-48340898	ENSMUSG00000032028	Nxpe2	-1
chr2:84838850-84838850	ENSMUSG00000027075	Slc43a1	1
chr4:115057811-115057811	ENSMUSG00000028717	Tal1	1
chr8:84901928-84901928	ENSMUSG00000054191	Klf1	1
chr7:126781483-126781483	ENSMUSG00000030699	Tbx6	1
chr6:134982001-134982001	ENSMUSG00000090698	Apold1	1
