tss_loc	ensg	name	strand
chr12:115507977-115507977	ENSMUSG00000094088	Ighv1-64	-1
chr12:115120219-115120219	ENSMUSG00000094198	Ighv1-50	-1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr7:104369884-104369884	ENSMUSG00000052749	Trim30b	-1
chr6:68270527-68270527	ENSMUSG00000093861	Igkv1-110	1
chr6:68121091-68121091	ENSMUSG00000094335	Igkv1-117	1
chr6:68632430-68632430	ENSMUSG00000094420	Igkv10-96	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr11:79530559-79530559	ENSMUSG00000070354	Gm21975	-1
chr17:35188439-35188439	ENSMUSG00000073412	Lst1	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr12:115623595-115623595	ENSMUSG00000094502	Ighv1-69	-1
chr12:115648361-115648361	ENSMUSG00000076731	Ighv8-12	-1
chr6:68769103-68769103	ENSMUSG00000076532	Igkv4-91	-1
chr6:69649115-69649115	ENSMUSG00000095753	Igkv4-53	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr6:68541658-68541658	ENSMUSG00000076525	Igkv1-99	1
chr6:70663298-70663298	ENSMUSG00000095335	Igkv3-5	1
chr12:115294504-115294504	ENSMUSG00000104452	Ighv8-8	-1
chr17:55749984-55749984	ENSMUSG00000032915	Emr4	1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr1:195176716-195176716	ENSMUSG00000026616	Cr2	-1
chr6:68049983-68049983	ENSMUSG00000094872	Igkv9-120	1
chr1:171653035-171653035	ENSMUSG00000038179	Slamf7	-1
chr14:59341351-59341351	ENSMUSG00000091649	Phf11b	-1
chr1:173580353-173580353	ENSMUSG00000073491	Pydc4	-1
chr16:91391721-91391721	ENSMUSG00000093701	Gm21970	1
chr17:55952623-55952623	ENSMUSG00000003206	Ebi3	1
chr14:61309753-61309753	ENSMUSG00000043157	Arl11	1
chr13:100246323-100246323	ENSMUSG00000071203	Naip5	-1
chr6:68519012-68519012	ENSMUSG00000096515	Igkv14-100	1
chr3:87376387-87376387	ENSMUSG00000059994	Fcrl1	1
chr9:51278513-51278513	ENSMUSG00000044694	2010007H06Rik	1
chrX:73774405-73774405	ENSMUSG00000002007	Srpk3	1
chr9:121898464-121898464	ENSMUSG00000044534	Ackr2	1
chr7:30857864-30857864	ENSMUSG00000103359	RP24-63G4.6	-1
chr6:68302439-68302439	ENSMUSG00000094749	Igkv2-109	1
chr6:69776306-69776306	ENSMUSG00000094094	Igkv5-45	-1
chr12:113859670-113859670	ENSMUSG00000095571	Ighv5-17	-1
chr1:85599286-85599286	ENSMUSG00000090103	Gm16094	1
chr8:72009626-72009626	ENSMUSG00000003484	Cyp4f18	-1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
