tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr13:53473074-53473074	ENSMUSG00000021469	Msx2	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chr9:39604124-39604124	ENSMUSG00000038112	AW551984	-1
chr15:35296098-35296098	ENSMUSG00000022330	Osr2	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chrX:38252429-38252429	ENSMUSG00000036502	Tmem255a	-1
chr3:137624037-137624037	ENSMUSG00000046818	Ddit4l	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr10:49788766-49788766	ENSMUSG00000056073	Grik2	-1
chr15:84447097-84447097	ENSMUSG00000062760	1810041L15Rik	-1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr15:101054399-101054399	ENSMUSG00000095440	Fignl2	-1
chrX:114474333-114474333	ENSMUSG00000025597	Klhl4	1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr10:80295977-80295977	ENSMUSG00000020135	Apc2	1
chrX:101299168-101299168	ENSMUSG00000031302	Nlgn3	1
chr10:52690533-52690533	ENSMUSG00000038602	Slc35f1	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr5:127241808-127241808	ENSMUSG00000034324	Tmem132c	1
chr5:136883121-136883121	ENSMUSG00000004415	Col26a1	-1
chr14:55784042-55784042	ENSMUSG00000022220	Adcy4	-1
chr7:103843164-103843164	ENSMUSG00000052217	Hbb-bh1	-1
chr13:31806691-31806691	ENSMUSG00000050295	Foxc1	1
chr8:87472592-87472592	ENSMUSG00000031654	Cbln1	-1
chr5:75978458-75978458	ENSMUSG00000062960	Kdr	-1
chr8:104101625-104101625	ENSMUSG00000031871	Cdh5	1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr5:138279958-138279958	ENSMUSG00000029510	Gpc2	-1
chr17:17830719-17830719	ENSMUSG00000080316	Spaca6	1
chrX:106485274-106485274	ENSMUSG00000033737	Fndc3c1	-1
chr10:23349887-23349887	ENSMUSG00000010461	Eya4	-1
chr4:103619359-103619359	ENSMUSG00000028519	Dab1	1
chr12:36314169-36314169	ENSMUSG00000036169	Sostdc1	1
chr10:24223517-24223517	ENSMUSG00000020000	Moxd1	1
chr12:33957671-33957671	ENSMUSG00000035799	Twist1	1
chr16:14705852-14705852	ENSMUSG00000022676	Snai2	1
chr11:50602084-50602084	ENSMUSG00000036545	Adamts2	1
chr15:10952332-10952332	ENSMUSG00000058914	C1qtnf3	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr7:44429018-44429018	ENSMUSG00000047085	Lrrc4b	1
chr2:80447625-80447625	ENSMUSG00000027004	Frzb	-1
chr19:10389090-10389090	ENSMUSG00000024743	Syt7	1
chr3:82358044-82358044	ENSMUSG00000033900	Map9	1
chrX:135839056-135839056	ENSMUSG00000072966	Gprasp2	1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr1:162217623-162217623	ENSMUSG00000078190	Dnm3os	1
chr5:5694060-5694060	ENSMUSG00000015653	Steap2	-1
chr13:89540636-89540636	ENSMUSG00000021613	Hapln1	1
chr11:51289920-51289920	ENSMUSG00000063564	Col23a1	1
chr8:87804439-87804439	ENSMUSG00000045333	Zfp423	-1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr11:95587735-95587735	ENSMUSG00000000120	Ngfr	-1
chr6:21985916-21985916	ENSMUSG00000062980	Cped1	1
chr15:34306681-34306681	ENSMUSG00000022324	Matn2	1
chr17:14279506-14279506	ENSMUSG00000023886	Smoc2	1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr1:158362273-158362273	ENSMUSG00000026587	Astn1	1
chr8:70120873-70120873	ENSMUSG00000002341	Ncan	-1
chr1:42695768-42695768	ENSMUSG00000045515	Pou3f3	1
chr17:47833241-47833241	ENSMUSG00000032717	Mdfi	-1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr13:23746790-23746790	ENSMUSG00000075031	Hist1h2bb	1
chr13:23562369-23562369	ENSMUSG00000069273	Hist1h3e	-1
chr13:23575763-23575763	ENSMUSG00000099583	Hist1h3d	1
chr17:3397207-3397207	ENSMUSG00000023800	Tiam2	1
chr3:30013156-30013156	ENSMUSG00000027684	Mecom	-1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr3:82074689-82074689	ENSMUSG00000028005	Gucy1b3	-1
chr15:89499623-89499623	ENSMUSG00000022623	Shank3	1
chr3:82145073-82145073	ENSMUSG00000033910	Gucy1a3	-1
chr14:55874735-55874735	ENSMUSG00000097542	Gm26751	-1
chr14:70890130-70890130	ENSMUSG00000022103	Gfra2	1
chr4:47208161-47208161	ENSMUSG00000028339	Col15a1	1
chr4:22408291-22408291	ENSMUSG00000103000	RP23-381K3.4	1
chr1:165235125-165235125	ENSMUSG00000102302	RP23-187M7.5	-1
chr13:114458730-114458730	ENSMUSG00000021765	Fst	-1
chr17:49564337-49564337	ENSMUSG00000040260	Daam2	-1
chr4:130047840-130047840	ENSMUSG00000040690	Col16a1	1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr14:28504750-28504750	ENSMUSG00000021994	Wnt5a	1
chr1:82291416-82291416	ENSMUSG00000055980	Irs1	-1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
chr3:96219865-96219865	ENSMUSG00000063689	Hist2h2ab	1
chr1:154726356-154726356	ENSMUSG00000004110	Cacna1e	-1
chr7:112159057-112159057	ENSMUSG00000030772	Dkk3	-1
chr7:36698118-36698118	ENSMUSG00000021217	Tshz3	1
chr2:156775420-156775420	ENSMUSG00000067818	Myl9	1
chr7:137314445-137314445	ENSMUSG00000010476	Ebf3	-1
chr17:44188572-44188572	ENSMUSG00000023959	Clic5	1
chr9:13446753-13446753	ENSMUSG00000090592	Gm17571	-1
chr3:32454587-32454587	ENSMUSG00000103039	RP23-372I17.5	1
chr6:119236526-119236526	ENSMUSG00000041460	Cacna2d4	1
chr18:62922327-62922327	ENSMUSG00000071847	Apcdd1	1
chr3:49757316-49757316	ENSMUSG00000037892	Pcdh18	-1
chr9:56865104-56865104	ENSMUSG00000032911	Cspg4	1
chr5:21543527-21543527	ENSMUSG00000039883	Lrrc17	1
chr13:23762386-23762386	ENSMUSG00000069265	Hist1h3a	-1
chr7:43490075-43490075	ENSMUSG00000013367	Iglon5	-1
chr6:143947106-143947106	ENSMUSG00000041540	Sox5	-1
chr16:42340651-42340651	ENSMUSG00000047261	Gap43	-1
chr13:21750505-21750505	ENSMUSG00000064288	Hist1h4k	-1
chr13:21783370-21783370	ENSMUSG00000101972	Hist1h3i	-1
chr10:97565501-97565501	ENSMUSG00000036446	Lum	1
chr10:38965515-38965515	ENSMUSG00000019846	Lama4	1
chr3:87948666-87948666	ENSMUSG00000004885	Crabp2	1
chr4:83052339-83052339	ENSMUSG00000059049	Frem1	-1
chr10:67912662-67912662	ENSMUSG00000037855	Zfp365	-1
chr4:68954397-68954397	ENSMUSG00000028351	Brinp1	-1
chr3:132950291-132950291	ENSMUSG00000040998	Npnt	-1
chr13:38951313-38951313	ENSMUSG00000097151	Gm26514	-1
chr11:76179671-76179671	ENSMUSG00000069808	Fam57a	1
chr5:33995984-33995984	ENSMUSG00000048142	Nat8l	1
chr13:23531050-23531050	ENSMUSG00000060981	Hist1h4h	1
chr13:23544465-23544465	ENSMUSG00000100210	Hist1h3f	1
chr13:21832196-21832196	ENSMUSG00000069305	Hist1h4n	-1
