tss_loc	ensg	name	strand
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr17:25244033-25244033	ENSMUSG00000047507	Baiap3	-1
chr2:165655298-165655298	ENSMUSG00000017897	Eya2	1
chr14:30008813-30008813	ENSMUSG00000015966	Il17rb	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr3:96829351-96829351	ENSMUSG00000038304	Cd160	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr2:156887078-156887078	ENSMUSG00000027636	Sla2	-1
chr6:41118851-41118851	ENSMUSG00000094525	Trbv12-2	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr16:48771956-48771956	ENSMUSG00000030775	Trat1	-1
chr7:140218267-140218267	ENSMUSG00000025461	Cd163l1	1
chr7:140247301-140247301	ENSMUSG00000054672	5830411N06Rik	1
chr19:58455398-58455398	ENSMUSG00000025089	Gfra1	-1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr19:5468498-5468498	ENSMUSG00000024910	Ctsw	-1
chr8:95017692-95017692	ENSMUSG00000060470	Gpr97	1
chr4:128618619-128618619	ENSMUSG00000062545	Tlr12	-1
chr15:77698889-77698889	ENSMUSG00000071716	Apol7e	1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr9:123678439-123678439	ENSMUSG00000029530	Ccr9	1
chr15:103255439-103255439	ENSMUSG00000058794	Nfe2	-1
chr6:134929092-134929092	ENSMUSG00000098318	1190002F15Rik	1
chr13:22041362-22041362	ENSMUSG00000060639	Hist1h4i	-1
chr19:11443553-11443553	ENSMUSG00000056290	Ms4a4b	1
chrX:101734269-101734269	ENSMUSG00000050232	Cxcr3	-1
chr4:46404236-46404236	ENSMUSG00000028332	Hemgn	-1
chr9:13446753-13446753	ENSMUSG00000090592	Gm17571	-1
chr3:32454587-32454587	ENSMUSG00000103039	RP23-372I17.5	1
chr6:119236526-119236526	ENSMUSG00000041460	Cacna2d4	1
chrX:170009659-170009659	ENSMUSG00000095562	Gm21887	1
chr1:178318549-178318549	ENSMUSG00000086350	B230369F24Rik	-1
chr17:46763712-46763712	ENSMUSG00000036858	Ptcra	-1
chr19:53454094-53454094	ENSMUSG00000097636	5830416P10Rik	-1
chr19:4175479-4175479	ENSMUSG00000075289	Carns1	-1
chr5:107724343-107724343	ENSMUSG00000029275	Gfi1	-1
chr7:4460674-4460674	ENSMUSG00000006154	Eps8l1	1
chr12:103443680-103443680	ENSMUSG00000079017	Ifi27l2a	-1
chr19:11484577-11484577	ENSMUSG00000099757	BE692007	-1
chr9:57148127-57148127	ENSMUSG00000032298	Neil1	-1
chr11:117076790-117076790	ENSMUSG00000086859	2810008D09Rik	1
chr11:73080683-73080683	ENSMUSG00000103109	RP23-263M10.12	1
chr11:11462408-11462408	ENSMUSG00000020193	Zpbp	-1
chrX:42502453-42502453	ENSMUSG00000005696	Sh2d1a	1
chr17:12507704-12507704	ENSMUSG00000023828	Slc22a3	-1
chr7:103813996-103813996	ENSMUSG00000073940	Hbb-bt	-1
chr7:97738247-97738247	ENSMUSG00000042797	Aqp11	-1
chr11:115462474-115462474	ENSMUSG00000045775	Slc16a5	1
chr11:89066088-89066088	ENSMUSG00000063109	Dgkeos	1
chr4:138250403-138250403	ENSMUSG00000045349	Sh2d5	1
chr5:105239533-105239533	ENSMUSG00000079362	Gbp6	-1
chr7:110061325-110061325	ENSMUSG00000073867	AA474408	-1
chr16:35981081-35981081	ENSMUSG00000086324	Gm15564	-1
chr1:161814167-161814167	ENSMUSG00000103625	RP24-75E15.5	-1
chr13:33003250-33003250	ENSMUSG00000045827	Serpinb9	1
chr13:101751888-101751888	ENSMUSG00000104214	RP23-411M4.2	-1
chr9:106158118-106158118	ENSMUSG00000020258	Glyctk	-1
chr2:84838850-84838850	ENSMUSG00000027075	Slc43a1	1
chr4:115057811-115057811	ENSMUSG00000028717	Tal1	1
chr5:105110292-105110292	ENSMUSG00000029298	Gbp9	-1
chr2:101624718-101624718	ENSMUSG00000032864	Rag2	1
chr13:60897447-60897447	ENSMUSG00000074874	Ctla2b	-1
chr10:75316943-75316943	ENSMUSG00000020178	Adora2a	1
chr14:52110704-52110704	ENSMUSG00000057132	Rpgrip1	1
chr10:60657333-60657333	ENSMUSG00000012819	Cdh23	-1
chr4:6990799-6990799	ENSMUSG00000041272	Tox	-1
chr8:71406010-71406010	ENSMUSG00000046295	Ankle1	1
chr9:123806477-123806477	ENSMUSG00000048521	Cxcr6	1
chr11:121039418-121039418	ENSMUSG00000025163	Cd7	-1
chr8:94923694-94923694	ENSMUSG00000061577	Gpr114	1
chr11:73090583-73090583	ENSMUSG00000005947	Itgae	1
chr15:97731405-97731405	ENSMUSG00000022468	Endou	-1
chr14:31577383-31577383	ENSMUSG00000057606	Colq	-1
chr15:82341179-82341179	ENSMUSG00000049687	Fam109b	1
chr11:115899966-115899966	ENSMUSG00000048442	Smim5	1
chr2:101649501-101649501	ENSMUSG00000061311	Rag1	-1
chr9:112185726-112185726	ENSMUSG00000032503	Arpp21	-1
chr6:67339694-67339694	ENSMUSG00000018341	Il12rb2	-1
chr16:46120251-46120251	ENSMUSG00000022657	Cd96	-1
chr13:4279433-4279433	ENSMUSG00000021211	Akr1c12	-1
chr2:91945703-91945703	ENSMUSG00000095332	Gm9821	1
chr5:147400489-147400489	ENSMUSG00000042817	Flt3	-1
chr2:58160495-58160495	ENSMUSG00000026832	Cytip	-1
chr2:9878600-9878600	ENSMUSG00000015619	Gata3	-1
chr11:4236420-4236420	ENSMUSG00000058755	Osm	1
chr2:29252993-29252993	ENSMUSG00000079499	6530402F18Rik	-1
chr4:103073002-103073002	ENSMUSG00000035126	Wdr78	-1
chr10:127078907-127078907	ENSMUSG00000025422	Agap2	1
chr1:51987148-51987148	ENSMUSG00000062939	Stat4	1
chr10:81328732-81328732	ENSMUSG00000034881	Tbxa2r	1
chr12:108702306-108702306	ENSMUSG00000021263	Degs2	-1
chr1:36536521-36536521	ENSMUSG00000067653	Ankrd23	-1
chr17:32420975-32420975	ENSMUSG00000079563	Pglyrp2	-1
chr7:43797577-43797577	ENSMUSG00000064023	Klk8	1
chr2:174346712-174346712	ENSMUSG00000090625	Gm20721	-1
chr6:125237010-125237010	ENSMUSG00000030336	Cd27	-1
chr17:31207873-31207873	ENSMUSG00000042345	Ubash3a	1
chr14:56102574-56102574	ENSMUSG00000040314	Ctsg	-1
chr4:45799022-45799022	ENSMUSG00000035561	Aldh1b1	1
chr8:72761880-72761880	ENSMUSG00000050147	F2rl3	1
chr11:52269514-52269514	ENSMUSG00000097219	Gm26551	-1
chrX:107089278-107089278	ENSMUSG00000050921	P2ry10	1
chr16:10827927-10827927	ENSMUSG00000096921	Gm26822	1
chr14:69640274-69640274	ENSMUSG00000098975	Gm27177	-1
chr1:133690108-133690108	ENSMUSG00000051998	Lax1	-1
chr3:20242181-20242181	ENSMUSG00000001865	Cpa3	-1
chr1:144775435-144775435	ENSMUSG00000026357	Rgs18	-1
chr7:140967221-140967221	ENSMUSG00000025491	Ifitm1	1
chr5:148960210-148960210	ENSMUSG00000085455	1810059H22Rik	-1
chr13:19184981-19184981	ENSMUSG00000076745	Tcrg-V4	1
chr6:54039554-54039554	ENSMUSG00000004633	Chn2	1
chr9:103423578-103423578	ENSMUSG00000086236	5830418P13Rik	1
chr11:72502443-72502443	ENSMUSG00000020798	Spns3	-1
chr18:61045150-61045150	ENSMUSG00000024620	Pdgfrb	1
chr1:163313672-163313672	ENSMUSG00000026586	Prrx1	-1
chr7:15967567-15967567	ENSMUSG00000074364	Ehd2	-1
chr5:137611408-137611408	ENSMUSG00000029718	Pcolce	-1
chr11:75422701-75422701	ENSMUSG00000000753	Serpinf1	-1
chr1:170110561-170110561	ENSMUSG00000026674	Ddr2	-1
chr8:84125989-84125989	ENSMUSG00000012889	Podnl1	1
chr4:134095041-134095041	ENSMUSG00000000682	Cd52	-1
chr2:172979849-172979849	ENSMUSG00000005883	Spo11	1
chr6:129342691-129342691	ENSMUSG00000053063	Clec12a	1
chr19:11469366-11469366	ENSMUSG00000079419	Ms4a6c	1
chr11:46389515-46389515	ENSMUSG00000020395	Itk	-1
chr9:44981793-44981793	ENSMUSG00000032094	Cd3d	1
chr3:87846755-87846755	ENSMUSG00000028071	Sh2d2a	1
chr9:44980431-44980431	ENSMUSG00000002033	Cd3g	-1
chr7:68273839-68273839	ENSMUSG00000074071	Fam169b	1
chr17:44736176-44736176	ENSMUSG00000039153	Runx2	-1
chr6:128891126-128891126	ENSMUSG00000090164	BC035044	-1
chr6:91212455-91212455	ENSMUSG00000064080	Fbln2	1
chr13:19344558-19344558	ENSMUSG00000076757	Tcrg-C4	1
chr6:41121396-41121396	ENSMUSG00000076469	Trbv13-2	1
