tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr2:127363208-127363208	ENSMUSG00000058620	Adra2b	1
chr3:123446913-123446913	ENSMUSG00000027978	Prss12	1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr9:89074393-89074393	ENSMUSG00000102156	RP23-136C5.6	1
chr13:61255348-61255348	ENSMUSG00000057446	Cts8	-1
chr5:137645714-137645714	ENSMUSG00000047182	Irs3	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chrX:106255376-106255376	ENSMUSG00000073012	Fnd3c2	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr1:20890606-20890606	ENSMUSG00000025931	Paqr8	1
chr17:8525372-8525372	ENSMUSG00000023868	Pde10a	1
chr3:88334504-88334504	ENSMUSG00000001420	Tmem79	-1
chr6:113471427-113471427	ENSMUSG00000030281	Il17rc	1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr13:13005383-13005383	ENSMUSG00000079092	Prl2c2	-1
chr13:12800078-12800078	ENSMUSG00000056457	Prl2c3	-1
chr13:13182715-13182715	ENSMUSG00000055360	Prl2c5	1
chr4:122961152-122961152	ENSMUSG00000028655	Mfsd2a	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr5:75978458-75978458	ENSMUSG00000062960	Kdr	-1
chr8:104101625-104101625	ENSMUSG00000031871	Cdh5	1
chr15:79516408-79516408	ENSMUSG00000010830	Kdelr3	1
chr15:101128522-101128522	ENSMUSG00000000530	Acvrl1	1
chr10:79777272-79777272	ENSMUSG00000020325	Fstl3	1
chr11:50602084-50602084	ENSMUSG00000036545	Adamts2	1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr19:57008228-57008228	ENSMUSG00000025083	Afap1l2	-1
chr7:142969264-142969264	ENSMUSG00000009248	Ascl2	-1
chr13:27849344-27849344	ENSMUSG00000062551	Prl2c1	1
chr7:17203477-17203477	ENSMUSG00000023159	Psg29	1
chr13:89540636-89540636	ENSMUSG00000021613	Hapln1	1
chr4:128962420-128962420	ENSMUSG00000028789	Azin2	-1
chr1:119422248-119422248	ENSMUSG00000037035	Inhbb	-1
chr7:110627661-110627661	ENSMUSG00000030790	Adm	1
chr4:127329161-127329161	ENSMUSG00000042367	Gjb3	-1
chr2:172549593-172549593	ENSMUSG00000028640	Tfap2c	1
chr1:72212307-72212307	ENSMUSG00000039395	Mreg	-1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr1:40429570-40429570	ENSMUSG00000026069	Il1rl1	1
chr12:111417430-111417430	ENSMUSG00000021280	Exoc3l4	1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr13:34652671-34652671	ENSMUSG00000021411	Pxdc1	-1
chr9:37528078-37528078	ENSMUSG00000001946	Esam	1
chr4:118489755-118489755	ENSMUSG00000033191	Tie1	-1
chr4:94739289-94739289	ENSMUSG00000006386	Tek	1
chr3:137341067-137341067	ENSMUSG00000054690	Emcn	1
chr13:114458730-114458730	ENSMUSG00000021765	Fst	-1
chr19:32061469-32061469	ENSMUSG00000024887	Asah2	-1
chr10:14545036-14545036	ENSMUSG00000039116	Gpr126	-1
chr6:17463800-17463800	ENSMUSG00000009376	Met	1
chr7:16675705-16675705	ENSMUSG00000078795	Ceacam15	-1
chr12:40134228-40134228	ENSMUSG00000002565	Scin	-1
chr12:85177296-85177296	ENSMUSG00000004791	Pgf	-1
chr8:124751809-124751809	ENSMUSG00000043068	Fam89a	-1
chr7:142659693-142659693	ENSMUSG00000086266	Igf2os	1
chr16:17260326-17260326	ENSMUSG00000097764	Gm26635	-1
chr12:110279068-110279068	ENSMUSG00000075707	Dio3	1
chrX:61709497-61709497	ENSMUSG00000057615	Ldoc1	1
chrX:53240111-53240111	ENSMUSG00000061082	Plac1	-1
chr1:40074079-40074079	ENSMUSG00000026073	Il1r2	1
chr2:69135800-69135800	ENSMUSG00000034738	Nostrin	1
chr15:101411043-101411043	ENSMUSG00000023039	Krt7	1
chr18:20558074-20558074	ENSMUSG00000044393	Dsg2	1
chr13:38151328-38151328	ENSMUSG00000054889	Dsp	1
chr7:141338880-141338880	ENSMUSG00000025504	Eps8l2	1
chr8:70632095-70632095	ENSMUSG00000038508	Gdf15	-1
chr6:4003943-4003943	ENSMUSG00000032766	Gng11	1
chrX:139333683-139333683	ENSMUSG00000051257	Trap1a	1
chr2:10370510-10370510	ENSMUSG00000061186	Sfmbt2	1
chr9:13446753-13446753	ENSMUSG00000090592	Gm17571	-1
chr3:32454587-32454587	ENSMUSG00000103039	RP23-372I17.5	1
chr6:119236526-119236526	ENSMUSG00000041460	Cacna2d4	1
chr11:53457205-53457205	ENSMUSG00000018387	Shroom1	1
chr15:37233159-37233159	ENSMUSG00000089804	Gm16136	-1
chr5:134986214-134986214	ENSMUSG00000070473	Cldn3	1
chr11:100146120-100146120	ENSMUSG00000020911	Krt19	-1
chr2:151996535-151996535	ENSMUSG00000027463	Slc52a3	1
chr12:112929495-112929495	ENSMUSG00000002799	Jag2	-1
chr4:137277489-137277489	ENSMUSG00000036856	Wnt4	1
chr18:12333819-12333819	ENSMUSG00000024421	Lama3	1
chrX:37804842-37804842	ENSMUSG00000095180	Rhox5	1
chr5:96793385-96793385	ENSMUSG00000029484	Anxa3	1
chr13:38951313-38951313	ENSMUSG00000097151	Gm26514	-1
chr11:76179671-76179671	ENSMUSG00000069808	Fam57a	1
chr7:141279133-141279133	ENSMUSG00000038580	Sct	-1
chr13:115101964-115101964	ENSMUSG00000042284	Itga1	-1
chr9:102988712-102988712	ENSMUSG00000032548	Slco2a1	1
chr16:14291408-14291408	ENSMUSG00000018830	Myh11	-1
chr15:34678706-34678706	ENSMUSG00000038879	Nipal2	-1
chr3:85673988-85673988	ENSMUSG00000051000	Fam160a1	-1
chr9:18397538-18397538	ENSMUSG00000043943	Naalad2	-1
chr9:58204319-58204319	ENSMUSG00000051243	Islr2	-1
chr12:5375682-5375682	ENSMUSG00000020627	Klhl29	-1
chr7:101011991-101011991	ENSMUSG00000032860	P2ry2	-1
chr8:106510913-106510913	ENSMUSG00000061048	Cdh3	1
chr11:115974709-115974709	ENSMUSG00000020758	Itgb4	1
chr1:153186047-153186047	ENSMUSG00000026479	Lamc2	-1
chr11:99089306-99089306	ENSMUSG00000017607	Tns4	-1
chr4:144408464-144408464	ENSMUSG00000028591	Pramef12	-1
chr16:97763491-97763491	ENSMUSG00000005251	Ripk4	-1
chr13:74406396-74406396	ENSMUSG00000062382	Gm10116	1
chr4:41098183-41098183	ENSMUSG00000028435	Aqp3	-1
chr1:135258568-135258568	ENSMUSG00000003051	Elf3	-1
chr6:72355447-72355447	ENSMUSG00000055912	Tmem150a	1
chr4:138250403-138250403	ENSMUSG00000045349	Sh2d5	1
chr3:98814443-98814443	ENSMUSG00000027869	Hsd3b6	-1
chr8:92960079-92960079	ENSMUSG00000055368	Slc6a2	1
chr8:25808474-25808474	ENSMUSG00000031574	Star	1
chr19:46672974-46672974	ENSMUSG00000003555	Cyp17a1	-1
chr8:92827328-92827328	ENSMUSG00000031740	Mmp2	1
chr13:95525240-95525240	ENSMUSG00000021678	F2rl1	-1
chr7:110061325-110061325	ENSMUSG00000073867	AA474408	-1
chr16:35981081-35981081	ENSMUSG00000086324	Gm15564	-1
chr1:161814167-161814167	ENSMUSG00000103625	RP24-75E15.5	-1
chr5:137072272-137072272	ENSMUSG00000037411	Serpine1	-1
chr12:112777636-112777636	ENSMUSG00000072812	Ahnak2	-1
chr13:33003250-33003250	ENSMUSG00000045827	Serpinb9	1
chr7:127930113-127930113	ENSMUSG00000030800	Prss8	-1
chr17:47436615-47436615	ENSMUSG00000034382	AI661453	1
chr17:28769307-28769307	ENSMUSG00000004864	Mapk13	1
chr19:4042236-4042236	ENSMUSG00000038155	Gstp2	-1
