tss_loc	ensg	name	strand
chr11:110168196-110168196	ENSMUSG00000041797	Abca9	-1
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr11:59541568-59541568	ENSMUSG00000032691	Nlrp3	1
chr9:45079183-45079183	ENSMUSG00000048534	Amica1	1
chr6:129623864-129623864	ENSMUSG00000030149	Klrk1	-1
chr17:48247777-48247777	ENSMUSG00000041754	Trem3	1
chr19:11604849-11604849	ENSMUSG00000024679	Ms4a6d	-1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr16:44765736-44765736	ENSMUSG00000022667	Cd200r1	1
chr11:114934386-114934386	ENSMUSG00000063193	Cd300lb	-1
chr7:104369884-104369884	ENSMUSG00000052749	Trim30b	-1
chr7:80636017-80636017	ENSMUSG00000084821	Gm15880	1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr11:79530559-79530559	ENSMUSG00000070354	Gm21975	-1
chr17:35188439-35188439	ENSMUSG00000073412	Lst1	-1
chr10:88383711-88383711	ENSMUSG00000096945	Gm26546	-1
chr3:96246380-96246380	ENSMUSG00000093553	Gm20633	-1
chr11:75172560-75172560	ENSMUSG00000085609	1700016P03Rik	1
chr1:180376444-180376444	ENSMUSG00000103772	RP24-74O18.4	1
chr9:111057270-111057270	ENSMUSG00000043953	Ccrl2	-1
chr5:92348882-92348882	ENSMUSG00000034855	Cxcl10	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr17:29318877-29318877	ENSMUSG00000024011	Pi16	1
chr13:47122720-47122720	ENSMUSG00000038068	Rnf144b	1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr17:48264295-48264295	ENSMUSG00000051682	Treml4	1
chr11:82035571-82035571	ENSMUSG00000035385	Ccl2	1
chr6:97807058-97807058	ENSMUSG00000035158	Mitf	1
chr6:137252299-137252299	ENSMUSG00000030223	Ptpro	1
chr17:81649607-81649607	ENSMUSG00000054640	Slc8a1	-1
chr17:55749984-55749984	ENSMUSG00000032915	Emr4	1
chr2:129371139-129371139	ENSMUSG00000027398	Il1b	-1
chr10:34127972-34127972	ENSMUSG00000046031	Fam26f	-1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr8:110940314-110940314	ENSMUSG00000097380	Gm26816	-1
chr9:46998931-46998931	ENSMUSG00000094893	Gm4791	1
chr1:89683908-89683908	ENSMUSG00000102009	4933400F21Rik	-1
chr4:137388382-137388382	ENSMUSG00000101493	2810405F17Rik	-1
chr1:171653035-171653035	ENSMUSG00000038179	Slamf7	-1
chr14:59341351-59341351	ENSMUSG00000091649	Phf11b	-1
chr1:173580353-173580353	ENSMUSG00000073491	Pydc4	-1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr17:55952623-55952623	ENSMUSG00000003206	Ebi3	1
chr14:61309753-61309753	ENSMUSG00000043157	Arl11	1
chr13:100246323-100246323	ENSMUSG00000071203	Naip5	-1
chr14:20703012-20703012	ENSMUSG00000097577	6230400D17Rik	-1
chr7:141613747-141613747	ENSMUSG00000097170	Gm16982	-1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr11:120236122-120236122	ENSMUSG00000085501	Gm11772	-1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr8:72009626-72009626	ENSMUSG00000003484	Cyp4f18	-1
chr6:123289870-123289870	ENSMUSG00000030142	Clec4e	-1
chr14:103046977-103046977	ENSMUSG00000022126	Irg1	1
chr10:41612837-41612837	ENSMUSG00000101176	Gm29095	-1
chr11:115408314-115408314	ENSMUSG00000085072	Ict1os	-1
chr8:105633750-105633750	ENSMUSG00000102593	RP24-242N1.2	1
chr10:14718214-14718214	ENSMUSG00000019867	Gje1	-1
chr16:3718124-3718124	ENSMUSG00000022534	Mefv	-1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
chr12:112760655-112760655	ENSMUSG00000052160	Pld4	1
chr6:122602444-122602444	ENSMUSG00000040613	Apobec1	-1
chr3:35932787-35932787	ENSMUSG00000103229	Dcun1d1	-1
chr9:109849456-109849456	ENSMUSG00000038357	Camp	-1
chr2:34913976-34913976	ENSMUSG00000026873	Phf19	-1
chr11:4948064-4948064	ENSMUSG00000020396	Nefh	-1
chr10:81393051-81393051	ENSMUSG00000078439	Smim24	1
chr12:83633833-83633833	ENSMUSG00000099708	Gm29361	-1
chr9:3015654-3015654	ENSMUSG00000074564	Gm10720	1
chr9:3036877-3036877	ENSMUSG00000096201	Gm10715	1
chr9:3013140-3013140	ENSMUSG00000096519	Gm10721	1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr17:48167257-48167257	ENSMUSG00000043939	A530064D06Rik	-1
chr7:3821812-3821812	ENSMUSG00000074419	Gm15448	-1
chr1:37865079-37865079	ENSMUSG00000060771	Tsga10	-1
chr8:3748984-3748984	ENSMUSG00000031494	Cd209a	-1
chr6:129408862-129408862	ENSMUSG00000046080	Clec9a	1
chr13:19732951-19732951	ENSMUSG00000047462	A530099J19Rik	-1
chr14:50357914-50357914	ENSMUSG00000051969	Tlr11	1
chr4:3689548-3689548	ENSMUSG00000097860	Gm26857	-1
chr14:61670131-61670131	ENSMUSG00000103869	RP24-271M20.4	-1
chr14:61681494-61681494	ENSMUSG00000102151	RP24-271M20.3	-1
chr6:87778136-87778136	ENSMUSG00000030054	Gp9	1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr7:43351341-43351341	ENSMUSG00000039013	Siglecf	1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr13:56178885-56178885	ENSMUSG00000049625	Tifab	-1
chr3:127789872-127789872	ENSMUSG00000046688	Tifa	1
chr4:126024550-126024550	ENSMUSG00000028859	Csf3r	1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr17:36058371-36058371	ENSMUSG00000079492	Gm11127	-1
chr8:95017692-95017692	ENSMUSG00000060470	Gpr97	1
chr15:101128522-101128522	ENSMUSG00000000530	Acvrl1	1
chr2:24336853-24336853	ENSMUSG00000026981	Il1rn	1
chr5:137871758-137871758	ENSMUSG00000066682	Pilrb2	-1
chr5:137858049-137858049	ENSMUSG00000066684	Pilrb1	-1
chr13:100317674-100317674	ENSMUSG00000078942	Naip6	-1
chr3:15574985-15574985	ENSMUSG00000095028	Sirpb1b	-1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr12:100941742-100941742	ENSMUSG00000097160	A630072L19Rik	1
chr1:160212943-160212943	ENSMUSG00000103006	RP23-71J17.5	1
chr2:68962217-68962217	ENSMUSG00000103734	RP23-412L18.6	1
chr1:135584773-135584773	ENSMUSG00000054412	Gm4793	1
chr10:112163621-112163621	ENSMUSG00000035694	Caps2	1
chr1:128774421-128774421	ENSMUSG00000097283	Gm26686	-1
