tss_loc	ensg	name	strand
chr3:96670131-96670131	ENSMUSG00000038354	Ankrd35	1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr16:36131241-36131241	ENSMUSG00000034362	Csta1	-1
chr2:130012349-130012349	ENSMUSG00000027401	Tgm3	1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr15:74714839-74714839	ENSMUSG00000022598	Psca	1
chr15:101850786-101850786	ENSMUSG00000046834	Krt1	-1
chr11:55336564-55336564	ENSMUSG00000055333	Fat2	-1
chr2:85519024-85519024	ENSMUSG00000075217	4833423E24Rik	-1
chr19:5349574-5349574	ENSMUSG00000024846	Cst6	-1
chr9:104102560-104102560	ENSMUSG00000079355	Ackr4	-1
chr5:90640487-90640487	ENSMUSG00000029370	Rassf6	-1
chr12:104263122-104263122	ENSMUSG00000079014	Serpina3i	1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr15:101370125-101370125	ENSMUSG00000037185	Krt80	-1
chr3:93015687-93015687	ENSMUSG00000027913	Crct1	-1
chr17:35552128-35552128	ENSMUSG00000039518	Cdsn	1
chr17:35065388-35065388	ENSMUSG00000092586	Ly6g6c	1
chr1:39193731-39193731	ENSMUSG00000026077	Npas2	1
chr2:59484653-59484653	ENSMUSG00000026989	Dapl1	1
chr4:127354081-127354081	ENSMUSG00000046623	Gjb4	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr14:118052246-118052246	ENSMUSG00000022129	Dct	-1
chr10:121033960-121033960	ENSMUSG00000020218	Wif1	1
chr14:57133611-57133611	ENSMUSG00000040055	Gjb6	-1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr3:144760977-144760977	ENSMUSG00000056025	Clca1	-1
chr4:115640428-115640428	ENSMUSG00000028713	Cyp4b1	-1
chr3:88334504-88334504	ENSMUSG00000001420	Tmem79	-1
chr6:113471427-113471427	ENSMUSG00000030281	Il17rc	1
chr1:106861173-106861173	ENSMUSG00000067006	Serpinb5	1
chr11:100135928-100135928	ENSMUSG00000054146	Krt15	-1
chr7:28863853-28863853	ENSMUSG00000053522	Lgals7	1
chr19:47692094-47692094	ENSMUSG00000025064	Col17a1	-1
chr11:99389364-99389364	ENSMUSG00000019761	Krt10	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr7:43824499-43824499	ENSMUSG00000050063	Klk6	1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr19:58455398-58455398	ENSMUSG00000025089	Gfra1	-1
chr14:34355433-34355433	ENSMUSG00000043681	Fam25c	-1
chr7:140835018-140835018	ENSMUSG00000025481	Urah	1
chr4:138757626-138757626	ENSMUSG00000028749	Pla2g2f	-1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr8:68276567-68276567	ENSMUSG00000053886	Sh2d4a	1
chr1:130731976-130731976	ENSMUSG00000042510	AA986860	1
chr12:36314169-36314169	ENSMUSG00000036169	Sostdc1	1
chr10:24223517-24223517	ENSMUSG00000020000	Moxd1	1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr8:19225478-19225478	ENSMUSG00000050756	Defb6	1
chr19:57008228-57008228	ENSMUSG00000025083	Afap1l2	-1
chr6:125320659-125320659	ENSMUSG00000030340	Scnn1a	1
chr3:92083142-92083142	ENSMUSG00000043165	Lor	-1
chr1:71414910-71414910	ENSMUSG00000050296	Abca12	-1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr1:135919207-135919207	ENSMUSG00000026413	Pkp1	-1
chr9:43310763-43310763	ENSMUSG00000032013	Trim29	1
chr11:100206030-100206030	ENSMUSG00000045545	Krt14	-1
chr15:101712891-101712891	ENSMUSG00000061527	Krt5	-1
chr11:100261029-100261029	ENSMUSG00000035557	Krt17	-1
chr18:20002097-20002097	ENSMUSG00000059898	Dsc3	-1
chr16:25801916-25801916	ENSMUSG00000022510	Trp63	1
chr14:50955992-50955992	ENSMUSG00000068417	Pnp2	1
chr9:66158223-66158223	ENSMUSG00000032380	Dapk2	1
chr12:78906964-78906964	ENSMUSG00000021118	Plek2	-1
chr5:137294629-137294629	ENSMUSG00000051502	Ufsp1	1
chr4:127329161-127329161	ENSMUSG00000042367	Gjb3	-1
chr2:172549593-172549593	ENSMUSG00000028640	Tfap2c	1
chr1:72212307-72212307	ENSMUSG00000039395	Mreg	-1
chr14:34085981-34085981	ENSMUSG00000021950	Anxa8	1
chr14:70554056-70554056	ENSMUSG00000022096	Hr	1
chr4:155010984-155010984	ENSMUSG00000029055	Plch2	-1
chr2:6130211-6130211	ENSMUSG00000045319	Proser2	-1
chr7:4164860-4164860	ENSMUSG00000063838	Cdc42ep5	-1
chr15:101940324-101940324	ENSMUSG00000061397	Krt79	-1
chr13:72628820-72628820	ENSMUSG00000001504	Irx2	1
chr9:108953586-108953586	ENSMUSG00000025650	Col7a1	1
