tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr11:110168196-110168196	ENSMUSG00000041797	Abca9	-1
chr16:48842552-48842552	ENSMUSG00000061100	Retnla	1
chr11:101971143-101971143	ENSMUSG00000093467	Gm20659	1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr9:21927535-21927535	ENSMUSG00000040883	Tmem205	-1
chr13:4049011-4049011	ENSMUSG00000033715	Akr1c14	1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr11:30649587-30649587	ENSMUSG00000060923	Acyp2	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:7804974-7804974	ENSMUSG00000071984	Fndc1	-1
chr17:29318877-29318877	ENSMUSG00000024011	Pi16	1
chr13:47122720-47122720	ENSMUSG00000038068	Rnf144b	1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chr11:90390895-90390895	ENSMUSG00000003949	Hlf	-1
chr8:71395801-71395801	ENSMUSG00000034911	Ushbp1	-1
chr17:25081181-25081181	ENSMUSG00000024168	Tmem204	-1
chr3:116562973-116562973	ENSMUSG00000027961	Lrrc39	1
chr16:38362209-38362209	ENSMUSG00000022803	Popdc2	1
chr11:69948175-69948175	ENSMUSG00000018566	Slc2a4	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr11:82910550-82910550	ENSMUSG00000018845	Unc45b	1
chr3:89831370-89831370	ENSMUSG00000046280	She	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr12:58269258-58269258	ENSMUSG00000045930	Clec14a	-1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr18:31931507-31931507	ENSMUSG00000024395	Lims2	1
chr10:5593728-5593728	ENSMUSG00000046916	Myct1	1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr3:144760977-144760977	ENSMUSG00000056025	Clca1	-1
chr4:115640428-115640428	ENSMUSG00000028713	Cyp4b1	-1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr1:193273217-193273217	ENSMUSG00000009633	G0s2	-1
chr14:55784042-55784042	ENSMUSG00000022220	Adcy4	-1
chr9:55283595-55283595	ENSMUSG00000032311	Nrg4	-1
chr12:91400994-91400994	ENSMUSG00000020963	Tshr	1
chr4:123233556-123233556	ENSMUSG00000032744	Heyl	1
chr15:7398351-7398351	ENSMUSG00000042961	Egflam	-1
chr1:162898712-162898712	ENSMUSG00000040170	Fmo2	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr1:40324610-40324610	ENSMUSG00000070942	Il1rl2	1
chr1:170644532-170644532	ENSMUSG00000038463	Olfml2b	1
chr1:82233112-82233112	ENSMUSG00000022591	Gm9747	1
chr14:32856756-32856756	ENSMUSG00000050666	Vstm4	1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr5:75978458-75978458	ENSMUSG00000062960	Kdr	-1
chr8:104101625-104101625	ENSMUSG00000031871	Cdh5	1
chr15:79516408-79516408	ENSMUSG00000010830	Kdelr3	1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr3:90465866-90465866	ENSMUSG00000027931	Npr1	-1
chr15:101128522-101128522	ENSMUSG00000000530	Acvrl1	1
chr12:33957671-33957671	ENSMUSG00000035799	Twist1	1
chr16:14705852-14705852	ENSMUSG00000022676	Snai2	1
chr11:50602084-50602084	ENSMUSG00000036545	Adamts2	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr2:6213033-6213033	ENSMUSG00000039063	Echdc3	-1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr6:60924976-60924976	ENSMUSG00000054641	Mmrn1	1
chr5:120777661-120777661	ENSMUSG00000032661	Oas3	-1
chr14:65953744-65953744	ENSMUSG00000034463	Scara3	-1
chr6:122505845-122505845	ENSMUSG00000030116	Mfap5	1
chr14:123659971-123659971	ENSMUSG00000032925	Itgbl1	1
chr13:89540636-89540636	ENSMUSG00000021613	Hapln1	1
chr7:144738543-144738543	ENSMUSG00000031075	Ano1	-1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr11:95587735-95587735	ENSMUSG00000000120	Ngfr	-1
chr6:21985916-21985916	ENSMUSG00000062980	Cped1	1
chr15:34306681-34306681	ENSMUSG00000022324	Matn2	1
chr17:14279506-14279506	ENSMUSG00000023886	Smoc2	1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr16:22657173-22657173	ENSMUSG00000022861	Dgkg	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr5:92331827-92331827	ENSMUSG00000034842	Art3	1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr19:38125321-38125321	ENSMUSG00000024990	Rbp4	-1
chr1:58029931-58029931	ENSMUSG00000063558	Aox1	1
chr6:59024549-59024549	ENSMUSG00000037709	Fam13a	-1
chr10:88356996-88356996	ENSMUSG00000020057	Dram1	-1
chr15:54745702-54745702	ENSMUSG00000037362	Nov	1
chr3:30013156-30013156	ENSMUSG00000027684	Mecom	-1
chr6:142571356-142571356	ENSMUSG00000030247	Kcnj8	-1
chr14:32028989-32028989	ENSMUSG00000021903	Galnt15	1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr19:11443553-11443553	ENSMUSG00000056290	Ms4a4b	1
chr10:4611593-4611593	ENSMUSG00000019768	Esr1	1
chr3:82074689-82074689	ENSMUSG00000028005	Gucy1b3	-1
chr15:89499623-89499623	ENSMUSG00000022623	Shank3	1
chr3:82145073-82145073	ENSMUSG00000033910	Gucy1a3	-1
chr4:47208161-47208161	ENSMUSG00000028339	Col15a1	1
chr9:37528078-37528078	ENSMUSG00000001946	Esam	1
chr4:118489755-118489755	ENSMUSG00000033191	Tie1	-1
chr4:94739289-94739289	ENSMUSG00000006386	Tek	1
chr3:137341067-137341067	ENSMUSG00000054690	Emcn	1
chr13:114458730-114458730	ENSMUSG00000021765	Fst	-1
chr19:32061469-32061469	ENSMUSG00000024887	Asah2	-1
chr10:14545036-14545036	ENSMUSG00000039116	Gpr126	-1
chr6:17463800-17463800	ENSMUSG00000009376	Met	1
chr17:49564337-49564337	ENSMUSG00000040260	Daam2	-1
chr4:130047840-130047840	ENSMUSG00000040690	Col16a1	1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr14:28504750-28504750	ENSMUSG00000021994	Wnt5a	1
chr1:82291416-82291416	ENSMUSG00000055980	Irs1	-1
chr3:138260991-138260991	ENSMUSG00000074207	Adh1	1
chr1:184883218-184883218	ENSMUSG00000039349	C130074G19Rik	-1
