tss_loc	ensg	name	strand
chr17:48247777-48247777	ENSMUSG00000041754	Trem3	1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr11:79530559-79530559	ENSMUSG00000070354	Gm21975	-1
chr17:35188439-35188439	ENSMUSG00000073412	Lst1	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr17:29318877-29318877	ENSMUSG00000024011	Pi16	1
chr13:47122720-47122720	ENSMUSG00000038068	Rnf144b	1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr11:90390895-90390895	ENSMUSG00000003949	Hlf	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr17:55952623-55952623	ENSMUSG00000003206	Ebi3	1
chr14:61309753-61309753	ENSMUSG00000043157	Arl11	1
chr13:100246323-100246323	ENSMUSG00000071203	Naip5	-1
chr10:5593728-5593728	ENSMUSG00000046916	Myct1	1
chr16:3718124-3718124	ENSMUSG00000022534	Mefv	-1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
chr12:112760655-112760655	ENSMUSG00000052160	Pld4	1
chr6:122602444-122602444	ENSMUSG00000040613	Apobec1	-1
chr9:109849456-109849456	ENSMUSG00000038357	Camp	-1
chr2:34913976-34913976	ENSMUSG00000026873	Phf19	-1
chr11:4948064-4948064	ENSMUSG00000020396	Nefh	-1
chr10:81393051-81393051	ENSMUSG00000078439	Smim24	1
chr7:43351341-43351341	ENSMUSG00000039013	Siglecf	1
chr13:56178885-56178885	ENSMUSG00000049625	Tifab	-1
chr3:127789872-127789872	ENSMUSG00000046688	Tifa	1
chr4:126024550-126024550	ENSMUSG00000028859	Csf3r	1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr8:95017692-95017692	ENSMUSG00000060470	Gpr97	1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr6:60924976-60924976	ENSMUSG00000054641	Mmrn1	1
chr16:22657173-22657173	ENSMUSG00000022861	Dgkg	-1
chr6:29272488-29272488	ENSMUSG00000043421	Hilpda	1
chr15:103255439-103255439	ENSMUSG00000058794	Nfe2	-1
chr7:18884690-18884690	ENSMUSG00000030413	Pglyrp1	1
chr19:11443553-11443553	ENSMUSG00000056290	Ms4a4b	1
chr10:4611593-4611593	ENSMUSG00000019768	Esr1	1
chr4:132796387-132796387	ENSMUSG00000037731	Themis2	-1
chr13:102693558-102693558	ENSMUSG00000021624	Cd180	1
chr11:97685953-97685953	ENSMUSG00000078695	Cisd3	1
chr1:180196020-180196020	ENSMUSG00000026489	Adck3	-1
chr2:57115038-57115038	ENSMUSG00000026826	Nr4a2	-1
chr10:79874476-79874476	ENSMUSG00000057729	Prtn3	1
chr11:87793581-87793581	ENSMUSG00000009350	Mpo	1
chr6:124493113-124493113	ENSMUSG00000038527	C1rl	1
chr4:46404236-46404236	ENSMUSG00000028332	Hemgn	-1
chr1:173741747-173741747	ENSMUSG00000073490	AI607873	-1
chr1:173913046-173913046	ENSMUSG00000026536	Mnda	-1
chr5:149265058-149265058	ENSMUSG00000060063	Alox5ap	1
chr1:131638306-131638306	ENSMUSG00000004552	Ctse	1
chr5:96793385-96793385	ENSMUSG00000029484	Anxa3	1
chr7:30413788-30413788	ENSMUSG00000030579	Tyrobp	1
chr15:78325990-78325990	ENSMUSG00000071713	Csf2rb	1
chr19:11623684-11623684	ENSMUSG00000024680	Ms4a2	-1
chr14:54712174-54712174	ENSMUSG00000052435	Cebpe	-1
chr4:118457513-118457513	ENSMUSG00000006389	Mpl	-1
chr18:61786611-61786611	ENSMUSG00000033032	Afap1l1	-1
chr11:11462408-11462408	ENSMUSG00000020193	Zpbp	-1
chr17:12507704-12507704	ENSMUSG00000023828	Slc22a3	-1
chr7:103813996-103813996	ENSMUSG00000073940	Hbb-bt	-1
chr2:28084885-28084885	ENSMUSG00000026835	Fcnb	-1
chr4:138250403-138250403	ENSMUSG00000045349	Sh2d5	1
chr5:137569851-137569851	ENSMUSG00000029716	Tfr2	1
chr11:83593087-83593087	ENSMUSG00000018927	Ccl6	-1
chr4:132564067-132564067	ENSMUSG00000056529	Ptafr	1
chr3:30855950-30855950	ENSMUSG00000037661	Gpr160	1
chr2:84838850-84838850	ENSMUSG00000027075	Slc43a1	1
chr4:115057811-115057811	ENSMUSG00000028717	Tal1	1
chr11:69666153-69666153	ENSMUSG00000018774	Cd68	-1
chr5:90772435-90772435	ENSMUSG00000029373	Pf4	1
chr1:164115264-164115264	ENSMUSG00000026580	Selp	1
chr4:140774236-140774236	ENSMUSG00000025330	Padi4	-1
chr2:164356507-164356507	ENSMUSG00000017002	Slpi	-1
chr8:71406010-71406010	ENSMUSG00000046295	Ankle1	1
chr10:79886312-79886312	ENSMUSG00000020125	Elane	1
chr11:9191942-9191942	ENSMUSG00000004668	Abca13	1
chr6:16898441-16898441	ENSMUSG00000029553	Tfec	-1
chr2:84980461-84980461	ENSMUSG00000027073	Prg2	1
chrX:7967910-7967910	ENSMUSG00000031162	Gata1	-1
chr12:4874358-4874358	ENSMUSG00000037336	Mfsd2b	-1
chr18:78123426-78123426	ENSMUSG00000059336	Slc14a1	-1
chr5:147400489-147400489	ENSMUSG00000042817	Flt3	-1
chr2:58160495-58160495	ENSMUSG00000026832	Cytip	-1
chr11:4236420-4236420	ENSMUSG00000058755	Osm	1
chr2:29252993-29252993	ENSMUSG00000079499	6530402F18Rik	-1
chr7:24462500-24462500	ENSMUSG00000046223	Plaur	1
chr8:92855350-92855350	ENSMUSG00000033192	Lpcat2	1
chr2:174346712-174346712	ENSMUSG00000090625	Gm20721	-1
chr14:56102574-56102574	ENSMUSG00000040314	Ctsg	-1
chr3:94933056-94933056	ENSMUSG00000068874	Selenbp1	1
chr3:20242181-20242181	ENSMUSG00000001865	Cpa3	-1
chr1:144775435-144775435	ENSMUSG00000026357	Rgs18	-1
chr7:140967221-140967221	ENSMUSG00000025491	Ifitm1	1
chr12:112620045-112620045	ENSMUSG00000011148	Adssl1	1
chr7:25477625-25477625	ENSMUSG00000074272	Ceacam1	-1
chr13:37050244-37050244	ENSMUSG00000039109	F13a1	-1
chr7:121074530-121074530	ENSMUSG00000035004	Igsf6	-1
chr13:55021385-55021385	ENSMUSG00000025877	Hk3	-1
chr11:83578636-83578636	ENSMUSG00000019122	Ccl9	-1
chr6:54039554-54039554	ENSMUSG00000004633	Chn2	1
chr11:72502443-72502443	ENSMUSG00000020798	Spns3	-1
chr15:75111807-75111807	ENSMUSG00000022584	Ly6c2	-1
chr4:134095041-134095041	ENSMUSG00000000682	Cd52	-1
chr6:129342691-129342691	ENSMUSG00000053063	Clec12a	1
