tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr3:152266320-152266320	ENSMUSG00000039103	Nexn	-1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr9:123260789-123260789	ENSMUSG00000054871	Tmem158	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr6:52234939-52234939	ENSMUSG00000000938	Hoxa10	-1
chr11:96271457-96271457	ENSMUSG00000020875	Hoxb9	1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr3:137624037-137624037	ENSMUSG00000046818	Ddit4l	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr18:31931507-31931507	ENSMUSG00000024395	Lims2	1
chr1:20890606-20890606	ENSMUSG00000025931	Paqr8	1
chr17:8525372-8525372	ENSMUSG00000023868	Pde10a	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr1:40324610-40324610	ENSMUSG00000070942	Il1rl2	1
chr1:170644532-170644532	ENSMUSG00000038463	Olfml2b	1
chr7:110982461-110982461	ENSMUSG00000005611	Mrvi1	-1
chr15:79516408-79516408	ENSMUSG00000010830	Kdelr3	1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr5:138279958-138279958	ENSMUSG00000029510	Gpc2	-1
chr17:17830719-17830719	ENSMUSG00000080316	Spaca6	1
chrX:106485274-106485274	ENSMUSG00000033737	Fndc3c1	-1
chr3:90465866-90465866	ENSMUSG00000027931	Npr1	-1
chr12:33957671-33957671	ENSMUSG00000035799	Twist1	1
chr16:14705852-14705852	ENSMUSG00000022676	Snai2	1
chr10:79777272-79777272	ENSMUSG00000020325	Fstl3	1
chr11:50602084-50602084	ENSMUSG00000036545	Adamts2	1
chr15:10952332-10952332	ENSMUSG00000058914	C1qtnf3	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chr19:57008228-57008228	ENSMUSG00000025083	Afap1l2	-1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr1:162217623-162217623	ENSMUSG00000078190	Dnm3os	1
chr5:5694060-5694060	ENSMUSG00000015653	Steap2	-1
chr14:65953744-65953744	ENSMUSG00000034463	Scara3	-1
chr6:122505845-122505845	ENSMUSG00000030116	Mfap5	1
chr14:123659971-123659971	ENSMUSG00000032925	Itgbl1	1
chr4:128962420-128962420	ENSMUSG00000028789	Azin2	-1
chr1:119422248-119422248	ENSMUSG00000037035	Inhbb	-1
chr7:110627661-110627661	ENSMUSG00000030790	Adm	1
chr7:144738543-144738543	ENSMUSG00000031075	Ano1	-1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr15:34306681-34306681	ENSMUSG00000022324	Matn2	1
chr17:14279506-14279506	ENSMUSG00000023886	Smoc2	1
chr17:80127471-80127471	ENSMUSG00000035473	Galm	1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr1:135324807-135324807	ENSMUSG00000048096	Lmod1	1
chr17:3397207-3397207	ENSMUSG00000023800	Tiam2	1
chr10:88356996-88356996	ENSMUSG00000020057	Dram1	-1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr2:163397949-163397949	ENSMUSG00000017817	Jph2	-1
chr13:34652671-34652671	ENSMUSG00000021411	Pxdc1	-1
chr13:114458730-114458730	ENSMUSG00000021765	Fst	-1
chr19:32061469-32061469	ENSMUSG00000024887	Asah2	-1
chr10:14545036-14545036	ENSMUSG00000039116	Gpr126	-1
chr6:17463800-17463800	ENSMUSG00000009376	Met	1
chr4:130047840-130047840	ENSMUSG00000040690	Col16a1	1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr16:23520590-23520590	ENSMUSG00000022887	Masp1	-1
chr14:28504750-28504750	ENSMUSG00000021994	Wnt5a	1
chr1:82291416-82291416	ENSMUSG00000055980	Irs1	-1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
chr6:136875805-136875805	ENSMUSG00000030218	Mgp	-1
chr2:84775404-84775404	ENSMUSG00000023224	Serping1	-1
chr6:124512632-124512632	ENSMUSG00000055172	C1ra	1
chr3:19957054-19957054	ENSMUSG00000003617	Cp	1
chr6:124542321-124542321	ENSMUSG00000038521	C1s1	-1
chr11:97685953-97685953	ENSMUSG00000078695	Cisd3	1
chr1:180196020-180196020	ENSMUSG00000026489	Adck3	-1
chr2:57115038-57115038	ENSMUSG00000026826	Nr4a2	-1
chr7:112159057-112159057	ENSMUSG00000030772	Dkk3	-1
chr7:36698118-36698118	ENSMUSG00000021217	Tshz3	1
chr2:156775420-156775420	ENSMUSG00000067818	Myl9	1
chr15:78305603-78305603	ENSMUSG00000071714	Csf2rb2	-1
chr10:51480632-51480632	ENSMUSG00000089672	Gp49a	1
chr10:51480640-51480640	ENSMUSG00000062593	Lilrb4	1
chr7:139988434-139988434	ENSMUSG00000025473	Adam8	-1
chr1:173741747-173741747	ENSMUSG00000073490	AI607873	-1
chr1:173913046-173913046	ENSMUSG00000026536	Mnda	-1
chr9:13446753-13446753	ENSMUSG00000090592	Gm17571	-1
chr3:32454587-32454587	ENSMUSG00000103039	RP23-372I17.5	1
chr6:119236526-119236526	ENSMUSG00000041460	Cacna2d4	1
chr5:5749326-5749326	ENSMUSG00000015652	Steap1	-1
chr7:84528975-84528975	ENSMUSG00000097789	Gm2115	1
chr3:49757316-49757316	ENSMUSG00000037892	Pcdh18	-1
chr9:56865104-56865104	ENSMUSG00000032911	Cspg4	1
chr5:21543527-21543527	ENSMUSG00000039883	Lrrc17	1
chr2:126034658-126034658	ENSMUSG00000027208	Fgf7	1
chr17:50698525-50698525	ENSMUSG00000044645	Gm7334	1
chr11:68973012-68973012	ENSMUSG00000032892	Rangrf	-1
chr12:85280435-85280435	ENSMUSG00000008822	Acyp1	-1
chr10:97565501-97565501	ENSMUSG00000036446	Lum	1
chr10:38965515-38965515	ENSMUSG00000019846	Lama4	1
chr5:149411749-149411749	ENSMUSG00000029659	Medag	1
chr10:67912662-67912662	ENSMUSG00000037855	Zfp365	-1
chr4:68954397-68954397	ENSMUSG00000028351	Brinp1	-1
chr3:132950291-132950291	ENSMUSG00000040998	Npnt	-1
chr5:96793385-96793385	ENSMUSG00000029484	Anxa3	1
chr13:38951313-38951313	ENSMUSG00000097151	Gm26514	-1
chr2:165503787-165503787	ENSMUSG00000027661	Slc2a10	1
chr13:115101964-115101964	ENSMUSG00000042284	Itga1	-1
chr9:102988712-102988712	ENSMUSG00000032548	Slco2a1	1
chr16:14291408-14291408	ENSMUSG00000018830	Myh11	-1
chr9:18397538-18397538	ENSMUSG00000043943	Naalad2	-1
chr11:69364019-69364019	ENSMUSG00000091095	Gm17305	1
chr18:13972733-13972733	ENSMUSG00000024420	Zfp521	-1
chr8:92827328-92827328	ENSMUSG00000031740	Mmp2	1
chr14:34588681-34588681	ENSMUSG00000021798	Ldb3	-1
chr8:123894736-123894736	ENSMUSG00000031972	Acta1	-1
chr17:71019521-71019521	ENSMUSG00000024049	Myom1	1
chr13:12340760-12340760	ENSMUSG00000052374	Actn2	-1
chr8:39642678-39642678	ENSMUSG00000025044	Msr1	-1
chr6:122856161-122856161	ENSMUSG00000040552	C3ar1	-1
chr13:96924689-96924689	ENSMUSG00000091387	Gcnt4	1
chr3:62605140-62605140	ENSMUSG00000043441	Gpr149	-1
