tss_loc	ensg	name	strand
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr17:25244033-25244033	ENSMUSG00000047507	Baiap3	-1
chr2:165655298-165655298	ENSMUSG00000017897	Eya2	1
chr14:30008813-30008813	ENSMUSG00000015966	Il17rb	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr2:156887078-156887078	ENSMUSG00000027636	Sla2	-1
chr6:41130147-41130147	ENSMUSG00000076470	Trbv13-3	1
chr6:41118851-41118851	ENSMUSG00000094525	Trbv12-2	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr9:14903884-14903884	ENSMUSG00000031933	Folr4	-1
chr16:48771956-48771956	ENSMUSG00000030775	Trat1	-1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr6:40891229-40891229	ENSMUSG00000076461	Trbv1	1
chr6:41116007-41116007	ENSMUSG00000076467	Trbv13-1	1
chr2:34913976-34913976	ENSMUSG00000026873	Phf19	-1
chr11:4948064-4948064	ENSMUSG00000020396	Nefh	-1
chr10:81393051-81393051	ENSMUSG00000078439	Smim24	1
chr1:37865079-37865079	ENSMUSG00000060771	Tsga10	-1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr19:5468498-5468498	ENSMUSG00000024910	Ctsw	-1
chr4:128618619-128618619	ENSMUSG00000062545	Tlr12	-1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr9:123678439-123678439	ENSMUSG00000029530	Ccr9	1
chr19:11443553-11443553	ENSMUSG00000056290	Ms4a4b	1
chr1:154726356-154726356	ENSMUSG00000004110	Cacna1e	-1
chr9:13446753-13446753	ENSMUSG00000090592	Gm17571	-1
chr3:32454587-32454587	ENSMUSG00000103039	RP23-372I17.5	1
chr6:119236526-119236526	ENSMUSG00000041460	Cacna2d4	1
chrX:170009659-170009659	ENSMUSG00000095562	Gm21887	1
chr1:178318549-178318549	ENSMUSG00000086350	B230369F24Rik	-1
chr6:41163062-41163062	ENSMUSG00000076474	Trbv17	1
chr8:70808449-70808449	ENSMUSG00000000791	Il12rb1	1
chr6:48766519-48766519	ENSMUSG00000039264	Gimap3	-1
chr17:46763712-46763712	ENSMUSG00000036858	Ptcra	-1
chr17:35342242-35342242	ENSMUSG00000091705	H2-Q2	1
chr19:53454094-53454094	ENSMUSG00000097636	5830416P10Rik	-1
chr19:4175479-4175479	ENSMUSG00000075289	Carns1	-1
chr5:107724343-107724343	ENSMUSG00000029275	Gfi1	-1
chr7:4460674-4460674	ENSMUSG00000006154	Eps8l1	1
chr12:103443680-103443680	ENSMUSG00000079017	Ifi27l2a	-1
chr19:11484577-11484577	ENSMUSG00000099757	BE692007	-1
chr9:57148127-57148127	ENSMUSG00000032298	Neil1	-1
chr11:11462408-11462408	ENSMUSG00000020193	Zpbp	-1
chrX:42502453-42502453	ENSMUSG00000005696	Sh2d1a	1
chr7:97738247-97738247	ENSMUSG00000042797	Aqp11	-1
chr11:115462474-115462474	ENSMUSG00000045775	Slc16a5	1
chr11:89066088-89066088	ENSMUSG00000063109	Dgkeos	1
chr2:120456019-120456019	ENSMUSG00000079110	Capn3	1
chr5:105239533-105239533	ENSMUSG00000079362	Gbp6	-1
chr7:110061325-110061325	ENSMUSG00000073867	AA474408	-1
chr16:35981081-35981081	ENSMUSG00000086324	Gm15564	-1
chr1:161814167-161814167	ENSMUSG00000103625	RP24-75E15.5	-1
chr6:41113550-41113550	ENSMUSG00000095574	Trbv12-1	1
chr13:101751888-101751888	ENSMUSG00000104214	RP23-411M4.2	-1
chr9:106158118-106158118	ENSMUSG00000020258	Glyctk	-1
chr2:84838850-84838850	ENSMUSG00000027075	Slc43a1	1
chr4:115057811-115057811	ENSMUSG00000028717	Tal1	1
chr6:71322836-71322836	ENSMUSG00000053044	Cd8b1	1
chr5:105110292-105110292	ENSMUSG00000029298	Gbp9	-1
chr2:101624718-101624718	ENSMUSG00000032864	Rag2	1
chr14:52110704-52110704	ENSMUSG00000057132	Rpgrip1	1
chr2:122484941-122484941	ENSMUSG00000079071	Gm14085	1
chr4:6990799-6990799	ENSMUSG00000041272	Tox	-1
chr17:51799190-51799190	ENSMUSG00000103216	RP24-490B17.5	-1
chr1:180357649-180357649	ENSMUSG00000104388	RP24-74O18.2	1
chr8:71406010-71406010	ENSMUSG00000046295	Ankle1	1
chr15:97731405-97731405	ENSMUSG00000022468	Endou	-1
chr14:31577383-31577383	ENSMUSG00000057606	Colq	-1
chr2:101649501-101649501	ENSMUSG00000061311	Rag1	-1
chr9:112185726-112185726	ENSMUSG00000032503	Arpp21	-1
chr9:110880113-110880113	ENSMUSG00000049555	Tmie	-1
chr15:82899080-82899080	ENSMUSG00000100199	Gm20324	1
chr16:46120251-46120251	ENSMUSG00000022657	Cd96	-1
chr6:71373427-71373427	ENSMUSG00000053977	Cd8a	1
chr17:51761621-51761621	ENSMUSG00000102212	RP24-146B4.2	-1
chr2:91945703-91945703	ENSMUSG00000095332	Gm9821	1
chr2:58160495-58160495	ENSMUSG00000026832	Cytip	-1
chr2:9878600-9878600	ENSMUSG00000015619	Gata3	-1
chr3:94372831-94372831	ENSMUSG00000028150	Rorc	1
chr6:41062332-41062332	ENSMUSG00000076465	Trbv5	1
chr6:41178375-41178375	ENSMUSG00000076475	Trbv19	1
chr17:51793461-51793461	ENSMUSG00000102744	RP24-490B17.6	-1
chr4:103073002-103073002	ENSMUSG00000035126	Wdr78	-1
chr12:100908198-100908198	ENSMUSG00000047415	Gpr68	-1
chr4:156026164-156026164	ENSMUSG00000041954	Tnfrsf18	1
chr10:127078907-127078907	ENSMUSG00000025422	Agap2	1
chr1:51987148-51987148	ENSMUSG00000062939	Stat4	1
chr7:90348699-90348699	ENSMUSG00000030616	Sytl2	1
chr9:54661870-54661870	ENSMUSG00000032281	Acsbg1	-1
chr13:75089826-75089826	ENSMUSG00000021587	Pcsk1	1
chr4:152152207-152152207	ENSMUSG00000028943	Espn	-1
chr10:81328732-81328732	ENSMUSG00000034881	Tbxa2r	1
chr1:153407790-153407790	ENSMUSG00000073538	E330020D12Rik	-1
chr12:108702306-108702306	ENSMUSG00000021263	Degs2	-1
chr1:36536521-36536521	ENSMUSG00000067653	Ankrd23	-1
chr17:32420975-32420975	ENSMUSG00000079563	Pglyrp2	-1
chr7:43797577-43797577	ENSMUSG00000064023	Klk8	1
chr1:60977927-60977927	ENSMUSG00000026009	Icos	1
chr6:124888221-124888221	ENSMUSG00000023274	Cd4	-1
chr2:174346712-174346712	ENSMUSG00000090625	Gm20721	-1
chr6:125237010-125237010	ENSMUSG00000030336	Cd27	-1
chr17:31207873-31207873	ENSMUSG00000042345	Ubash3a	1
chr4:45799022-45799022	ENSMUSG00000035561	Aldh1b1	1
chr8:72761880-72761880	ENSMUSG00000050147	F2rl3	1
chr11:52269514-52269514	ENSMUSG00000097219	Gm26551	-1
chrX:107089278-107089278	ENSMUSG00000050921	P2ry10	1
chr16:10827927-10827927	ENSMUSG00000096921	Gm26822	1
chr14:69640274-69640274	ENSMUSG00000098975	Gm27177	-1
chr1:133690108-133690108	ENSMUSG00000051998	Lax1	-1
chr5:148960210-148960210	ENSMUSG00000085455	1810059H22Rik	-1
chr7:18992774-18992774	ENSMUSG00000074355	Gm10676	-1
chr11:52276055-52276055	ENSMUSG00000086395	A630014C17Rik	1
chrX:73082478-73082478	ENSMUSG00000079845	Xlr4a	-1
chr4:48045153-48045153	ENSMUSG00000028341	Nr4a3	1
chrX:73214333-73214333	ENSMUSG00000067768	Xlr4b	1
chr4:150914562-150914562	ENSMUSG00000028965	Tnfrsf9	1
chr6:54039554-54039554	ENSMUSG00000004633	Chn2	1
chr6:41605482-41605482	ENSMUSG00000029869	Ephb6	1
chr2:17731043-17731043	ENSMUSG00000053702	Nebl	-1
chr5:8660077-8660077	ENSMUSG00000040584	Abcb1a	1
chr10:85386827-85386827	ENSMUSG00000020042	Btbd11	1
chr9:103423578-103423578	ENSMUSG00000086236	5830418P13Rik	1
chr16:95900398-95900398	ENSMUSG00000085903	Gm15340	1
chr5:65967124-65967124	ENSMUSG00000029205	Chrna9	1
chr4:134095041-134095041	ENSMUSG00000000682	Cd52	-1
chr2:172979849-172979849	ENSMUSG00000005883	Spo11	1
chr11:46389515-46389515	ENSMUSG00000020395	Itk	-1
chr9:44981793-44981793	ENSMUSG00000032094	Cd3d	1
chr3:87846755-87846755	ENSMUSG00000028071	Sh2d2a	1
chr9:44980431-44980431	ENSMUSG00000002033	Cd3g	-1
chr7:68273839-68273839	ENSMUSG00000074071	Fam169b	1
chr11:73019008-73019008	ENSMUSG00000020785	Camkk1	1
chr13:19344558-19344558	ENSMUSG00000076757	Tcrg-C4	1
chr6:41121396-41121396	ENSMUSG00000076469	Trbv13-2	1
chr11:116671660-116671660	ENSMUSG00000020812	1810032O08Rik	1
chr11:70657202-70657202	ENSMUSG00000060600	Eno3	1
chr6:41059394-41059394	ENSMUSG00000076464	Trbv4	1
