tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr11:110168196-110168196	ENSMUSG00000041797	Abca9	-1
chr9:45079183-45079183	ENSMUSG00000048534	Amica1	1
chr6:129623864-129623864	ENSMUSG00000030149	Klrk1	-1
chr16:48842552-48842552	ENSMUSG00000061100	Retnla	1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr9:21927535-21927535	ENSMUSG00000040883	Tmem205	-1
chr13:4049011-4049011	ENSMUSG00000033715	Akr1c14	1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr17:45523434-45523434	ENSMUSG00000023949	Tcte1	1
chr10:22820128-22820128	ENSMUSG00000045680	Tcf21	-1
chr11:30649587-30649587	ENSMUSG00000060923	Acyp2	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr6:124779727-124779727	ENSMUSG00000030125	Lrrc23	-1
chr11:114727408-114727408	ENSMUSG00000034706	Dnaic2	1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:7804974-7804974	ENSMUSG00000071984	Fndc1	-1
chr17:29318877-29318877	ENSMUSG00000024011	Pi16	1
chr13:47122720-47122720	ENSMUSG00000038068	Rnf144b	1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chr19:4943092-4943092	ENSMUSG00000024901	Peli3	-1
chr11:90390895-90390895	ENSMUSG00000003949	Hlf	-1
chr11:82035571-82035571	ENSMUSG00000035385	Ccl2	1
chr6:97807058-97807058	ENSMUSG00000035158	Mitf	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr8:71395801-71395801	ENSMUSG00000034911	Ushbp1	-1
chr17:25081181-25081181	ENSMUSG00000024168	Tmem204	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr1:162984527-162984527	ENSMUSG00000026691	Fmo3	-1
chr15:28203752-28203752	ENSMUSG00000022262	Dnah5	1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr1:195176716-195176716	ENSMUSG00000026616	Cr2	-1
chr3:89831370-89831370	ENSMUSG00000046280	She	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr2:27079379-27079379	ENSMUSG00000036040	Adamtsl2	1
chr12:58269258-58269258	ENSMUSG00000045930	Clec14a	-1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr16:16829313-16829313	ENSMUSG00000022783	Spag6	-1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr3:154663859-154663859	ENSMUSG00000078161	BC007180	1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr18:31931507-31931507	ENSMUSG00000024395	Lims2	1
chr10:5593728-5593728	ENSMUSG00000046916	Myct1	1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr3:144760977-144760977	ENSMUSG00000056025	Clca1	-1
chr4:115640428-115640428	ENSMUSG00000028713	Cyp4b1	-1
chr1:20890606-20890606	ENSMUSG00000025931	Paqr8	1
chr17:8525372-8525372	ENSMUSG00000023868	Pde10a	1
chr1:93168725-93168725	ENSMUSG00000084989	E030010N08Rik	1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
chr12:112760655-112760655	ENSMUSG00000052160	Pld4	1
chr6:122602444-122602444	ENSMUSG00000040613	Apobec1	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr17:75435905-75435905	ENSMUSG00000071042	Rasgrp3	1
chr5:127241808-127241808	ENSMUSG00000034324	Tmem132c	1
chr5:136883121-136883121	ENSMUSG00000004415	Col26a1	-1
chr14:55784042-55784042	ENSMUSG00000022220	Adcy4	-1
chr12:35992907-35992907	ENSMUSG00000020581	Agr2	1
chr4:123233556-123233556	ENSMUSG00000032744	Heyl	1
chr15:7398351-7398351	ENSMUSG00000042961	Egflam	-1
chr1:162898712-162898712	ENSMUSG00000040170	Fmo2	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr13:31806691-31806691	ENSMUSG00000050295	Foxc1	1
chr5:123252102-123252102	ENSMUSG00000029442	Wdr66	1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr7:110982461-110982461	ENSMUSG00000005611	Mrvi1	-1
chr13:56178885-56178885	ENSMUSG00000049625	Tifab	-1
chr3:127789872-127789872	ENSMUSG00000046688	Tifa	1
chr4:126024550-126024550	ENSMUSG00000028859	Csf3r	1
chr5:75978458-75978458	ENSMUSG00000062960	Kdr	-1
chr8:104101625-104101625	ENSMUSG00000031871	Cdh5	1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr12:72409054-72409054	ENSMUSG00000021087	Rtn1	-1
chr3:90465866-90465866	ENSMUSG00000027931	Npr1	-1
chr17:36058371-36058371	ENSMUSG00000079492	Gm11127	-1
chr8:68276567-68276567	ENSMUSG00000053886	Sh2d4a	1
chr1:130731976-130731976	ENSMUSG00000042510	AA986860	1
chr15:101128522-101128522	ENSMUSG00000000530	Acvrl1	1
chr12:33957671-33957671	ENSMUSG00000035799	Twist1	1
chr16:14705852-14705852	ENSMUSG00000022676	Snai2	1
chr11:50602084-50602084	ENSMUSG00000036545	Adamts2	1
chr2:91118144-91118144	ENSMUSG00000002100	Mybpc3	1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr8:123407107-123407107	ENSMUSG00000074037	Mc1r	1
chr6:125320659-125320659	ENSMUSG00000030340	Scnn1a	1
chr3:87748623-87748623	ENSMUSG00000023084	Lrrc71	-1
chr11:65269941-65269941	ENSMUSG00000020542	Myocd	-1
chr6:36388084-36388084	ENSMUSG00000045613	Chrm2	1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr6:60924976-60924976	ENSMUSG00000054641	Mmrn1	1
chr1:162217623-162217623	ENSMUSG00000078190	Dnm3os	1
chr5:5694060-5694060	ENSMUSG00000015653	Steap2	-1
chr14:65953744-65953744	ENSMUSG00000034463	Scara3	-1
chr6:122505845-122505845	ENSMUSG00000030116	Mfap5	1
chr14:123659971-123659971	ENSMUSG00000032925	Itgbl1	1
chr3:129332720-129332720	ENSMUSG00000028024	Enpep	-1
chr11:104550663-104550663	ENSMUSG00000061086	Myl4	1
chr9:103480420-103480420	ENSMUSG00000032556	Bfsp2	-1
chr13:89540636-89540636	ENSMUSG00000021613	Hapln1	1
chr11:51289920-51289920	ENSMUSG00000063564	Col23a1	1
chr4:128962420-128962420	ENSMUSG00000028789	Azin2	-1
chr1:119422248-119422248	ENSMUSG00000037035	Inhbb	-1
chr7:110627661-110627661	ENSMUSG00000030790	Adm	1
chr15:37792433-37792433	ENSMUSG00000051359	Ncald	-1
chr7:144738543-144738543	ENSMUSG00000031075	Ano1	-1
chr14:50955992-50955992	ENSMUSG00000068417	Pnp2	1
chr9:66158223-66158223	ENSMUSG00000032380	Dapk2	1
chr12:78906964-78906964	ENSMUSG00000021118	Plek2	-1
chr5:137294629-137294629	ENSMUSG00000051502	Ufsp1	1
chr15:99590849-99590849	ENSMUSG00000044217	Aqp5	1
chr5:86518600-86518600	ENSMUSG00000079451	Tmprss11g	-1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr7:24862213-24862213	ENSMUSG00000091955	Gm9844	1
chr19:19001117-19001117	ENSMUSG00000036192	Rorb	-1
chr4:43669141-43669141	ENSMUSG00000043633	Fam221b	-1
chr3:122293547-122293547	ENSMUSG00000057359	Gm17494	-1
chr11:95587735-95587735	ENSMUSG00000000120	Ngfr	-1
chr6:21985916-21985916	ENSMUSG00000062980	Cped1	1
chr15:34306681-34306681	ENSMUSG00000022324	Matn2	1
chr17:14279506-14279506	ENSMUSG00000023886	Smoc2	1
chr15:74897021-74897021	ENSMUSG00000063522	2010109I03Rik	-1
chr19:3929761-3929761	ENSMUSG00000024885	Aldh3b1	-1
chr3:15838643-15838643	ENSMUSG00000074677	Sirpb1c	-1
chr9:110763646-110763646	ENSMUSG00000059741	Myl3	1
chr14:54994634-54994634	ENSMUSG00000053093	Myh7	-1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr16:22657173-22657173	ENSMUSG00000022861	Dgkg	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr5:92331827-92331827	ENSMUSG00000034842	Art3	1
chr14:41185198-41185198	ENSMUSG00000021795	Sftpd	-1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr19:38125321-38125321	ENSMUSG00000024990	Rbp4	-1
chr1:58029931-58029931	ENSMUSG00000063558	Aox1	1
chr6:59024549-59024549	ENSMUSG00000037709	Fam13a	-1
chr2:25621985-25621985	ENSMUSG00000026939	Tmem141	-1
chr10:88356996-88356996	ENSMUSG00000020057	Dram1	-1
chr3:30013156-30013156	ENSMUSG00000027684	Mecom	-1
chr6:142571356-142571356	ENSMUSG00000030247	Kcnj8	-1
chr14:32028989-32028989	ENSMUSG00000021903	Galnt15	1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr19:11443553-11443553	ENSMUSG00000056290	Ms4a4b	1
chr3:82074689-82074689	ENSMUSG00000028005	Gucy1b3	-1
chr15:89499623-89499623	ENSMUSG00000022623	Shank3	1
chr3:82145073-82145073	ENSMUSG00000033910	Gucy1a3	-1
chr14:70890130-70890130	ENSMUSG00000022103	Gfra2	1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr1:74601445-74601445	ENSMUSG00000033276	Stk36	1
chr4:47208161-47208161	ENSMUSG00000028339	Col15a1	1
chr13:34652671-34652671	ENSMUSG00000021411	Pxdc1	-1
chr9:37528078-37528078	ENSMUSG00000001946	Esam	1
chr4:118489755-118489755	ENSMUSG00000033191	Tie1	-1
chr4:94739289-94739289	ENSMUSG00000006386	Tek	1
chr3:137341067-137341067	ENSMUSG00000054690	Emcn	1
chr4:22408291-22408291	ENSMUSG00000103000	RP23-381K3.4	1
chr1:165235125-165235125	ENSMUSG00000102302	RP23-187M7.5	-1
chr1:58113130-58113130	ENSMUSG00000064294	Aox3	1
chr2:35061438-35061438	ENSMUSG00000026874	Hc	-1
chr13:114458730-114458730	ENSMUSG00000021765	Fst	-1
chr19:32061469-32061469	ENSMUSG00000024887	Asah2	-1
chr10:14545036-14545036	ENSMUSG00000039116	Gpr126	-1
chr6:17463800-17463800	ENSMUSG00000009376	Met	1
chr17:49564337-49564337	ENSMUSG00000040260	Daam2	-1
chr4:130047840-130047840	ENSMUSG00000040690	Col16a1	1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr4:132796387-132796387	ENSMUSG00000037731	Themis2	-1
chr13:102693558-102693558	ENSMUSG00000021624	Cd180	1
chr14:28504750-28504750	ENSMUSG00000021994	Wnt5a	1
chr1:82291416-82291416	ENSMUSG00000055980	Irs1	-1
chr3:138260991-138260991	ENSMUSG00000074207	Adh1	1
chr1:184883218-184883218	ENSMUSG00000039349	C130074G19Rik	-1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
