tss_loc	ensg	name	strand
chr5:71658308-71658308	ENSMUSG00000029211	Gabra4	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr6:77979699-77979699	ENSMUSG00000063063	Ctnna2	-1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr14:55524191-55524191	ENSMUSG00000040632	Nrl	-1
chr19:27322588-27322588	ENSMUSG00000047298	Kcnv2	1
chr1:4409241-4409241	ENSMUSG00000025900	Rp1	-1
chr5:72642752-72642752	ENSMUSG00000067220	Cnga1	-1
chr17:7804974-7804974	ENSMUSG00000071984	Fndc1	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:85613608-85613608	ENSMUSG00000038805	Six3	1
chr17:85615348-85615348	ENSMUSG00000093460	Six3os1	-1
chr7:19282662-19282662	ENSMUSG00000030401	Rtn2	1
chr19:4943092-4943092	ENSMUSG00000024901	Peli3	-1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chr9:21937033-21937033	ENSMUSG00000040563	Lppr2	1
chr1:69107756-69107756	ENSMUSG00000062209	Erbb4	-1
chr6:88843720-88843720	ENSMUSG00000033152	Podxl2	-1
chr2:148732467-148732467	ENSMUSG00000027438	Napb	-1
chr15:74714839-74714839	ENSMUSG00000022598	Psca	1
chr6:18428231-18428231	ENSMUSG00000000416	Cttnbp2	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr9:44288615-44288615	ENSMUSG00000032131	Abcg4	-1
chr2:178118975-178118975	ENSMUSG00000027525	Phactr3	1
chr7:141429425-141429425	ENSMUSG00000060240	Cend1	-1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr17:24689955-24689955	ENSMUSG00000007021	Syngr3	-1
chr6:48537569-48537569	ENSMUSG00000039347	Atp6v0e2	1
chr10:109010975-109010975	ENSMUSG00000035864	Syt1	-1
chr9:86880439-86880439	ENSMUSG00000033419	Snap91	-1
chr3:96181151-96181151	ENSMUSG00000038486	Sv2a	1
chr2:181314500-181314500	ENSMUSG00000027581	Stmn3	-1
chr10:49788766-49788766	ENSMUSG00000056073	Grik2	-1
chr15:84447097-84447097	ENSMUSG00000062760	1810041L15Rik	-1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr11:22001615-22001615	ENSMUSG00000005917	Otx1	-1
chr2:65620857-65620857	ENSMUSG00000075318	Scn2a1	1
chr10:80356459-80356459	ENSMUSG00000035486	Plk5	1
chr10:5593728-5593728	ENSMUSG00000046916	Myct1	1
chr4:42916660-42916660	ENSMUSG00000036062	N28178	1
chr1:33907768-33907768	ENSMUSG00000042182	Bend6	-1
chr6:5725639-5725639	ENSMUSG00000029757	Dync1i1	1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr3:105452330-105452330	ENSMUSG00000040896	Kcnd3	1
chr9:26733728-26733728	ENSMUSG00000045994	B3gat1	1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
