tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr12:93929102-93929102	ENSMUSG00000094935	Gm9726	-1
chr7:45551615-45551615	ENSMUSG00000085698	Gm16022	-1
chr14:57015134-57015134	ENSMUSG00000096144	B020004C17Rik	1
chr1:83038448-83038448	ENSMUSG00000038496	Slc19a3	-1
chr3:152266320-152266320	ENSMUSG00000039103	Nexn	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr11:69617905-69617905	ENSMUSG00000005202	Shbg	-1
chr17:56875477-56875477	ENSMUSG00000024209	1700061G19Rik	1
chr2:127341630-127341630	ENSMUSG00000050468	Astl	1
chr9:109234736-109234736	ENSMUSG00000061701	Fbxw20	-1
chrX:74177259-74177259	ENSMUSG00000031397	Tktl1	1
chr2:144331695-144331695	ENSMUSG00000037279	Ovol2	-1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr7:6995443-6995443	ENSMUSG00000070837	Aurkc	1
chrY:818649-818649	ENSMUSG00000069053	Uba1y	1
chr16:38902316-38902316	ENSMUSG00000022790	Igsf11	1
chr1:131744022-131744022	ENSMUSG00000042268	Slc26a9	1
chr17:50293599-50293599	ENSMUSG00000010592	Dazl	-1
chr15:85131957-85131957	ENSMUSG00000022432	Smc1b	-1
chr6:125286042-125286042	ENSMUSG00000067702	Tuba3a	-1
chr5:114774983-114774983	ENSMUSG00000092183	4930515G01Rik	-1
chr7:109170308-109170308	ENSMUSG00000036111	Lmo1	-1
chr7:102116713-102116713	ENSMUSG00000066279	Chrna10	-1
chr2:38998258-38998258	ENSMUSG00000085755	Gm13496	-1
chr1:74409376-74409376	ENSMUSG00000026175	Vil1	1
chr7:19282662-19282662	ENSMUSG00000030401	Rtn2	1
chrX:9063015-9063015	ENSMUSG00000072249	Gm5635	1
chr12:105159690-105159690	ENSMUSG00000066359	Tcl1b1	1
chr11:5058128-5058128	ENSMUSG00000034209	Rasl10a	1
chr17:71552061-71552061	ENSMUSG00000052525	Spdya	1
chr19:30232928-30232928	ENSMUSG00000024863	Mbl2	1
chr4:3872105-3872105	ENSMUSG00000078365	Mos	-1
chr1:117603878-117603878	ENSMUSG00000101373	Zfp813-ps	1
chr4:143994369-143994369	ENSMUSG00000078509	Pramef17	-1
chr11:97013394-97013394	ENSMUSG00000038560	Sp6	1
chr5:113735782-113735782	ENSMUSG00000053334	Ficd	1
chr10:34127972-34127972	ENSMUSG00000046031	Fam26f	-1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr13:56438355-56438355	ENSMUSG00000021509	Slc25a48	1
chr11:75937738-75937738	ENSMUSG00000020847	Rph3al	-1
chr11:94741782-94741782	ENSMUSG00000020870	Cdc34-ps	1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr3:137624037-137624037	ENSMUSG00000046818	Ddit4l	1
chr9:109449140-109449140	ENSMUSG00000074062	Fbxw16	-1
chr7:10687793-10687793	ENSMUSG00000034087	Nlrp4b	1
