tss_loc	ensg	name	strand
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr10:63386563-63386563	ENSMUSG00000036764	Dnajc12	1
chr9:100571090-100571090	ENSMUSG00000070287	Slc35g2	-1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr9:21927535-21927535	ENSMUSG00000040883	Tmem205	-1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr6:52234939-52234939	ENSMUSG00000000938	Hoxa10	-1
chr11:96271457-96271457	ENSMUSG00000020875	Hoxb9	1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr11:30649587-30649587	ENSMUSG00000060923	Acyp2	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr7:109170308-109170308	ENSMUSG00000036111	Lmo1	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr9:39604124-39604124	ENSMUSG00000038112	AW551984	-1
chr15:35296098-35296098	ENSMUSG00000022330	Osr2	1
chr11:90390895-90390895	ENSMUSG00000003949	Hlf	-1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr2:148732467-148732467	ENSMUSG00000027438	Napb	-1
chr17:34809754-34809754	ENSMUSG00000015451	C4a	-1
chr6:18428231-18428231	ENSMUSG00000000416	Cttnbp2	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr13:56438355-56438355	ENSMUSG00000021509	Slc25a48	1
chr11:75937738-75937738	ENSMUSG00000020847	Rph3al	-1
chr1:75507077-75507077	ENSMUSG00000032968	Inha	1
chr9:44288615-44288615	ENSMUSG00000032131	Abcg4	-1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr17:24689955-24689955	ENSMUSG00000007021	Syngr3	-1
chr6:48537569-48537569	ENSMUSG00000039347	Atp6v0e2	1
chr10:109010975-109010975	ENSMUSG00000035864	Syt1	-1
chr9:86880439-86880439	ENSMUSG00000033419	Snap91	-1
chr3:96181151-96181151	ENSMUSG00000038486	Sv2a	1
chr2:181314500-181314500	ENSMUSG00000027581	Stmn3	-1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr2:65620857-65620857	ENSMUSG00000075318	Scn2a1	1
chr18:31931507-31931507	ENSMUSG00000024395	Lims2	1
chr10:5593728-5593728	ENSMUSG00000046916	Myct1	1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr6:112489808-112489808	ENSMUSG00000049112	Oxtr	-1
chr1:156205026-156205026	ENSMUSG00000015484	Fam163a	-1
chr6:139587221-139587221	ENSMUSG00000030228	Pik3c2g	1
chr13:110280206-110280206	ENSMUSG00000021700	Rab3c	-1
chr14:12823079-12823079	ENSMUSG00000054423	Cadps	-1
chrX:20921004-20921004	ENSMUSG00000037217	Syn1	-1
chr2:38712234-38712234	ENSMUSG00000026751	Nr5a1	-1
chr12:73997761-73997761	ENSMUSG00000044912	Syt16	1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr1:20890606-20890606	ENSMUSG00000025931	Paqr8	1
chr17:8525372-8525372	ENSMUSG00000023868	Pde10a	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
