tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr7:109170308-109170308	ENSMUSG00000036111	Lmo1	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr7:73375739-73375739	ENSMUSG00000097756	A730056A06Rik	-1
chr9:72409945-72409945	ENSMUSG00000097211	BC065403	-1
chr15:101850786-101850786	ENSMUSG00000046834	Krt1	-1
chr11:55336564-55336564	ENSMUSG00000055333	Fat2	-1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr2:85519024-85519024	ENSMUSG00000075217	4833423E24Rik	-1
chr19:5349574-5349574	ENSMUSG00000024846	Cst6	-1
chr15:101370125-101370125	ENSMUSG00000037185	Krt80	-1
chr3:93015687-93015687	ENSMUSG00000027913	Crct1	-1
chr17:35552128-35552128	ENSMUSG00000039518	Cdsn	1
chr17:35065388-35065388	ENSMUSG00000092586	Ly6g6c	1
chr19:4477447-4477447	ENSMUSG00000049303	Syt12	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr14:57133611-57133611	ENSMUSG00000040055	Gjb6	-1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr1:106861173-106861173	ENSMUSG00000067006	Serpinb5	1
chr11:100135928-100135928	ENSMUSG00000054146	Krt15	-1
chr7:28863853-28863853	ENSMUSG00000053522	Lgals7	1
chr19:47692094-47692094	ENSMUSG00000025064	Col17a1	-1
chr11:99389364-99389364	ENSMUSG00000019761	Krt10	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr3:89365253-89365253	ENSMUSG00000042672	Dcst1	-1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr17:23745829-23745829	ENSMUSG00000040680	Kremen2	-1
chr10:76961788-76961788	ENSMUSG00000001120	Pcbp3	-1
chr4:25800146-25800146	ENSMUSG00000055373	Fut9	-1
chr5:138279958-138279958	ENSMUSG00000029510	Gpc2	-1
chr17:17830719-17830719	ENSMUSG00000080316	Spaca6	1
chrX:106485274-106485274	ENSMUSG00000033737	Fndc3c1	-1
chr12:36314169-36314169	ENSMUSG00000036169	Sostdc1	1
chr10:24223517-24223517	ENSMUSG00000020000	Moxd1	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr10:58675654-58675654	ENSMUSG00000003227	Edar	-1
chr11:96354691-96354691	ENSMUSG00000084844	Hoxb3os	-1
chr11:95146263-95146263	ENSMUSG00000020871	Dlx4	-1
chr8:123407107-123407107	ENSMUSG00000074037	Mc1r	1
chr11:11627824-11627824	ENSMUSG00000062511	4930512M02Rik	-1
chr19:10389090-10389090	ENSMUSG00000024743	Syt7	1
chr3:82358044-82358044	ENSMUSG00000033900	Map9	1
chrX:135839056-135839056	ENSMUSG00000072966	Gprasp2	1
chr3:92083142-92083142	ENSMUSG00000043165	Lor	-1
chr1:71414910-71414910	ENSMUSG00000050296	Abca12	-1
chr19:6276605-6276605	ENSMUSG00000085196	Gm14963	-1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr4:129309081-129309081	ENSMUSG00000096944	Gm26722	1
chr1:135919207-135919207	ENSMUSG00000026413	Pkp1	-1
chr9:43310763-43310763	ENSMUSG00000032013	Trim29	1
chr11:100206030-100206030	ENSMUSG00000045545	Krt14	-1
chr15:101712891-101712891	ENSMUSG00000061527	Krt5	-1
chr11:100261029-100261029	ENSMUSG00000035557	Krt17	-1
chr18:20002097-20002097	ENSMUSG00000059898	Dsc3	-1
chr16:25801916-25801916	ENSMUSG00000022510	Trp63	1
chr8:87804439-87804439	ENSMUSG00000045333	Zfp423	-1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr7:24862213-24862213	ENSMUSG00000091955	Gm9844	1
chr19:19001117-19001117	ENSMUSG00000036192	Rorb	-1
chr4:43669141-43669141	ENSMUSG00000043633	Fam221b	-1
chr3:122293547-122293547	ENSMUSG00000057359	Gm17494	-1
chr14:34085981-34085981	ENSMUSG00000021950	Anxa8	1
chr14:70554056-70554056	ENSMUSG00000022096	Hr	1
chr4:155010984-155010984	ENSMUSG00000029055	Plch2	-1
chr2:6130211-6130211	ENSMUSG00000045319	Proser2	-1
chr7:4164860-4164860	ENSMUSG00000063838	Cdc42ep5	-1
chr15:101940324-101940324	ENSMUSG00000061397	Krt79	-1
chr13:72628820-72628820	ENSMUSG00000001504	Irx2	1
chr9:108953586-108953586	ENSMUSG00000025650	Col7a1	1
chr15:34306681-34306681	ENSMUSG00000022324	Matn2	1
chr17:14279506-14279506	ENSMUSG00000023886	Smoc2	1
chr15:74897021-74897021	ENSMUSG00000063522	2010109I03Rik	-1
chr17:80127471-80127471	ENSMUSG00000035473	Galm	1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr6:29272488-29272488	ENSMUSG00000043421	Hilpda	1
chr7:141117806-141117806	ENSMUSG00000054662	Ano9	-1
chr11:69858730-69858730	ENSMUSG00000001583	Tnk1	-1
chr8:69044956-69044956	ENSMUSG00000089995	Gm15716	1
chr2:69670120-69670120	ENSMUSG00000075307	Klhl41	1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr4:22408291-22408291	ENSMUSG00000103000	RP23-381K3.4	1
chr1:165235125-165235125	ENSMUSG00000102302	RP23-187M7.5	-1
chr10:3366150-3366150	ENSMUSG00000040653	Ppp1r14c	1
chr13:114458730-114458730	ENSMUSG00000021765	Fst	-1
chr4:130047840-130047840	ENSMUSG00000040690	Col16a1	1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
chr11:97685953-97685953	ENSMUSG00000078695	Cisd3	1
chr1:180196020-180196020	ENSMUSG00000026489	Adck3	-1
chr2:57115038-57115038	ENSMUSG00000026826	Nr4a2	-1
chr15:81499548-81499548	ENSMUSG00000091198	Gm5218	-1
chr4:20778567-20778567	ENSMUSG00000055761	Nkain3	-1
chr17:31535460-31535460	ENSMUSG00000104159	RP23-106N22.5	-1
chr9:62026856-62026856	ENSMUSG00000032278	Paqr5	-1
chr2:119271272-119271272	ENSMUSG00000034226	Rhov	-1
chr15:101411043-101411043	ENSMUSG00000023039	Krt7	1
chr18:20558074-20558074	ENSMUSG00000044393	Dsg2	1
chr13:38151328-38151328	ENSMUSG00000054889	Dsp	1
chr7:141338880-141338880	ENSMUSG00000025504	Eps8l2	1
chr1:126492927-126492927	ENSMUSG00000049690	Nckap5	-1
chr1:21234722-21234722	ENSMUSG00000102633	RP23-278E1.4	1
chr15:39006333-39006333	ENSMUSG00000022297	Fzd6	1
chr11:116238077-116238077	ENSMUSG00000034282	Evpl	-1
chr3:49757316-49757316	ENSMUSG00000037892	Pcdh18	-1
chr6:29396309-29396309	ENSMUSG00000029769	Ccdc136	1
chr11:79296906-79296906	ENSMUSG00000055072	Gm9964	-1
chr16:90983907-90983907	ENSMUSG00000085279	Gm15965	1
chr9:56865104-56865104	ENSMUSG00000032911	Cspg4	1
chr5:21543527-21543527	ENSMUSG00000039883	Lrrc17	1
chr13:67306467-67306467	ENSMUSG00000055341	Zfp457	-1
chr1:73525627-73525627	ENSMUSG00000100444	C530043A13Rik	-1
chr13:32781716-32781716	ENSMUSG00000044951	Mylk4	-1
chr16:42340651-42340651	ENSMUSG00000047261	Gap43	-1
chr6:52164831-52164831	ENSMUSG00000014704	Hoxa2	-1
chr10:97565501-97565501	ENSMUSG00000036446	Lum	1
chr10:38965515-38965515	ENSMUSG00000019846	Lama4	1
