tss_loc	ensg	name	strand
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr9:45079183-45079183	ENSMUSG00000048534	Amica1	1
chr6:129623864-129623864	ENSMUSG00000030149	Klrk1	-1
chr1:4779212-4779212	ENSMUSG00000102275	RP23-34E15.5	-1
chr2:140152043-140152043	ENSMUSG00000078197	Gm17374	1
chr10:61171954-61171954	ENSMUSG00000020096	Tbata	1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr3:96829351-96829351	ENSMUSG00000038304	Cd160	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr2:156887078-156887078	ENSMUSG00000027636	Sla2	-1
chr4:59003210-59003210	ENSMUSG00000092345	Gm20503	1
chr6:129591782-129591782	ENSMUSG00000030165	Klrd1	1
chr2:13794064-13794064	ENSMUSG00000003418	St8sia6	-1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr1:171653035-171653035	ENSMUSG00000038179	Slamf7	-1
chr14:59341351-59341351	ENSMUSG00000091649	Phf11b	-1
chr1:173580353-173580353	ENSMUSG00000073491	Pydc4	-1
chr9:14903884-14903884	ENSMUSG00000031933	Folr4	-1
chr19:6363535-6363535	ENSMUSG00000079467	Gm14966	-1
chr1:86893573-86893573	ENSMUSG00000102649	RP23-26I10.5	1
chr5:25661275-25661275	ENSMUSG00000059244	Gm10062	-1
chr1:158551966-158551966	ENSMUSG00000102618	RP23-411L6.3	-1
chr1:51195221-51195221	ENSMUSG00000099625	Gm29325	1
chr1:164575455-164575455	ENSMUSG00000102389	RP24-272N10.6	1
chrX:7579676-7579676	ENSMUSG00000039521	Foxp3	1
chr1:39193731-39193731	ENSMUSG00000026077	Npas2	1
chr2:59484653-59484653	ENSMUSG00000026989	Dapl1	1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr3:87376387-87376387	ENSMUSG00000059994	Fcrl1	1
chr12:104214544-104214544	ENSMUSG00000066363	Serpina3f	1
chr16:48771956-48771956	ENSMUSG00000030775	Trat1	-1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr2:34913976-34913976	ENSMUSG00000026873	Phf19	-1
chr11:4948064-4948064	ENSMUSG00000020396	Nefh	-1
