tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr12:111271111-111271111	ENSMUSG00000021278	Amn	1
chr1:128328318-128328318	ENSMUSG00000026354	Lct	-1
chr1:166130238-166130238	ENSMUSG00000000544	Gpa33	1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr9:21927535-21927535	ENSMUSG00000040883	Tmem205	-1
chr13:4049011-4049011	ENSMUSG00000033715	Akr1c14	1
chr17:12675838-12675838	ENSMUSG00000023829	Slc22a1	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr6:52234939-52234939	ENSMUSG00000000938	Hoxa10	-1
chr11:96271457-96271457	ENSMUSG00000020875	Hoxb9	1
chr11:30649587-30649587	ENSMUSG00000060923	Acyp2	-1
chr1:74409376-74409376	ENSMUSG00000026175	Vil1	1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:46238492-46238492	ENSMUSG00000030838	Ush1c	-1
chr11:76902159-76902159	ENSMUSG00000020839	Tmigd1	1
chr8:5105232-5105232	ENSMUSG00000023073	Slc10a2	-1
chr9:77045749-77045749	ENSMUSG00000032357	Tinag	-1
chr11:90390895-90390895	ENSMUSG00000003949	Hlf	-1
chr1:14755990-14755990	ENSMUSG00000025930	Msc	-1
chr15:84720083-84720083	ENSMUSG00000078954	Arhgap8	1
chr3:116562973-116562973	ENSMUSG00000027961	Lrrc39	1
chr16:38362209-38362209	ENSMUSG00000022803	Popdc2	1
chr11:69948175-69948175	ENSMUSG00000018566	Slc2a4	-1
chr17:34809754-34809754	ENSMUSG00000015451	C4a	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr2:110597307-110597307	ENSMUSG00000041644	Slc5a12	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr15:85735776-85735776	ENSMUSG00000022383	Ppara	1
