tss_loc	ensg	name	strand
chr11:59541568-59541568	ENSMUSG00000032691	Nlrp3	1
chr9:45079183-45079183	ENSMUSG00000048534	Amica1	1
chr6:129623864-129623864	ENSMUSG00000030149	Klrk1	-1
chr19:11604849-11604849	ENSMUSG00000024679	Ms4a6d	-1
chr17:25244033-25244033	ENSMUSG00000047507	Baiap3	-1
chr2:165655298-165655298	ENSMUSG00000017897	Eya2	1
chr16:44765736-44765736	ENSMUSG00000022667	Cd200r1	1
chr11:114934386-114934386	ENSMUSG00000063193	Cd300lb	-1
chr7:104369884-104369884	ENSMUSG00000052749	Trim30b	-1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr11:79530559-79530559	ENSMUSG00000070354	Gm21975	-1
chr17:35188439-35188439	ENSMUSG00000073412	Lst1	-1
chr9:111057270-111057270	ENSMUSG00000043953	Ccrl2	-1
chr5:92348882-92348882	ENSMUSG00000034855	Cxcl10	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr3:96829351-96829351	ENSMUSG00000038304	Cd160	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr2:156887078-156887078	ENSMUSG00000027636	Sla2	-1
chr17:48264295-48264295	ENSMUSG00000051682	Treml4	1
chr11:82035571-82035571	ENSMUSG00000035385	Ccl2	1
chr6:97807058-97807058	ENSMUSG00000035158	Mitf	1
chr6:129740484-129740484	ENSMUSG00000043932	Klri2	-1
chr4:59003210-59003210	ENSMUSG00000092345	Gm20503	1
chr17:55749984-55749984	ENSMUSG00000032915	Emr4	1
chr2:129371139-129371139	ENSMUSG00000027398	Il1b	-1
chr6:129591782-129591782	ENSMUSG00000030165	Klrd1	1
chr10:34127972-34127972	ENSMUSG00000046031	Fam26f	-1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr1:171653035-171653035	ENSMUSG00000038179	Slamf7	-1
chr14:59341351-59341351	ENSMUSG00000091649	Phf11b	-1
chr1:173580353-173580353	ENSMUSG00000073491	Pydc4	-1
chr19:6363535-6363535	ENSMUSG00000079467	Gm14966	-1
chr1:86893573-86893573	ENSMUSG00000102649	RP23-26I10.5	1
chr5:25661275-25661275	ENSMUSG00000059244	Gm10062	-1
