tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr11:100096225-100096225	ENSMUSG00000048013	Krt35	-1
chr15:101743109-101743109	ENSMUSG00000051879	Krt71	-1
chr15:101802343-101802343	ENSMUSG00000063661	Krt73	-1
chr11:99322951-99322951	ENSMUSG00000035831	Krt25	-1
chr11:99351104-99351104	ENSMUSG00000017588	Krt27	-1
chr11:99374903-99374903	ENSMUSG00000055937	Krt28	-1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr3:96670131-96670131	ENSMUSG00000038354	Ankrd35	1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr16:36131241-36131241	ENSMUSG00000034362	Csta1	-1
chr2:130012349-130012349	ENSMUSG00000027401	Tgm3	1
chr2:131054036-131054036	ENSMUSG00000027318	Adam33	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:7804974-7804974	ENSMUSG00000071984	Fndc1	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chr9:39604124-39604124	ENSMUSG00000038112	AW551984	-1
chr15:35296098-35296098	ENSMUSG00000022330	Osr2	1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chr3:102086415-102086415	ENSMUSG00000027861	Casq2	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr15:74714839-74714839	ENSMUSG00000022598	Psca	1
chr15:101850786-101850786	ENSMUSG00000046834	Krt1	-1
chr11:55336564-55336564	ENSMUSG00000055333	Fat2	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr2:85519024-85519024	ENSMUSG00000075217	4833423E24Rik	-1
chr19:5349574-5349574	ENSMUSG00000024846	Cst6	-1
chrX:38252429-38252429	ENSMUSG00000036502	Tmem255a	-1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr12:58269258-58269258	ENSMUSG00000045930	Clec14a	-1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr15:101370125-101370125	ENSMUSG00000037185	Krt80	-1
chr3:93015687-93015687	ENSMUSG00000027913	Crct1	-1
chr17:35552128-35552128	ENSMUSG00000039518	Cdsn	1
chr17:35065388-35065388	ENSMUSG00000092586	Ly6g6c	1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr4:127354081-127354081	ENSMUSG00000046623	Gjb4	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr14:118052246-118052246	ENSMUSG00000022129	Dct	-1
chr10:121033960-121033960	ENSMUSG00000020218	Wif1	1
chr14:57133611-57133611	ENSMUSG00000040055	Gjb6	-1
chrX:114474333-114474333	ENSMUSG00000025597	Klhl4	1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr3:88334504-88334504	ENSMUSG00000001420	Tmem79	-1
chr6:113471427-113471427	ENSMUSG00000030281	Il17rc	1
chr1:106861173-106861173	ENSMUSG00000067006	Serpinb5	1
chr11:100135928-100135928	ENSMUSG00000054146	Krt15	-1
chr7:28863853-28863853	ENSMUSG00000053522	Lgals7	1
chr19:47692094-47692094	ENSMUSG00000025064	Col17a1	-1
chr11:99389364-99389364	ENSMUSG00000019761	Krt10	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr5:127241808-127241808	ENSMUSG00000034324	Tmem132c	1
chr5:136883121-136883121	ENSMUSG00000004415	Col26a1	-1
chr4:123233556-123233556	ENSMUSG00000032744	Heyl	1
chr15:7398351-7398351	ENSMUSG00000042961	Egflam	-1
chr2:151572622-151572622	ENSMUSG00000027456	Sdcbp2	1
chr5:24392143-24392143	ENSMUSG00000038295	Atg9b	-1
chr1:162898712-162898712	ENSMUSG00000040170	Fmo2	-1
chr1:40324610-40324610	ENSMUSG00000070942	Il1rl2	1
chr1:170644532-170644532	ENSMUSG00000038463	Olfml2b	1
chr19:58455398-58455398	ENSMUSG00000025089	Gfra1	-1
chr13:31806691-31806691	ENSMUSG00000050295	Foxc1	1
chr14:34355433-34355433	ENSMUSG00000043681	Fam25c	-1
chr7:140835018-140835018	ENSMUSG00000025481	Urah	1
chr4:138757626-138757626	ENSMUSG00000028749	Pla2g2f	-1
chr1:82233112-82233112	ENSMUSG00000022591	Gm9747	1
chr14:32856756-32856756	ENSMUSG00000050666	Vstm4	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr5:75978458-75978458	ENSMUSG00000062960	Kdr	-1
chr8:104101625-104101625	ENSMUSG00000031871	Cdh5	1
chr15:79516408-79516408	ENSMUSG00000010830	Kdelr3	1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr5:138279958-138279958	ENSMUSG00000029510	Gpc2	-1
chr17:17830719-17830719	ENSMUSG00000080316	Spaca6	1
chrX:106485274-106485274	ENSMUSG00000033737	Fndc3c1	-1
chr3:90465866-90465866	ENSMUSG00000027931	Npr1	-1
chr15:101128522-101128522	ENSMUSG00000000530	Acvrl1	1
chr9:120023598-120023598	ENSMUSG00000079243	Xirp1	-1
chr7:48848051-48848051	ENSMUSG00000030470	Csrp3	-1
chr3:123034990-123034990	ENSMUSG00000028116	Myoz2	-1
chr12:36314169-36314169	ENSMUSG00000036169	Sostdc1	1
chr10:24223517-24223517	ENSMUSG00000020000	Moxd1	1
chr12:33957671-33957671	ENSMUSG00000035799	Twist1	1
chr16:14705852-14705852	ENSMUSG00000022676	Snai2	1
chr11:50602084-50602084	ENSMUSG00000036545	Adamts2	1
chr15:10952332-10952332	ENSMUSG00000058914	C1qtnf3	1
chr2:91118144-91118144	ENSMUSG00000002100	Mybpc3	1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chr19:57008228-57008228	ENSMUSG00000025083	Afap1l2	-1
chr6:125320659-125320659	ENSMUSG00000030340	Scnn1a	1
chr3:92083142-92083142	ENSMUSG00000043165	Lor	-1
chr1:71414910-71414910	ENSMUSG00000050296	Abca12	-1
chr12:109729764-109729764	ENSMUSG00000097391	Mirg	1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr6:60924976-60924976	ENSMUSG00000054641	Mmrn1	1
chr1:162217623-162217623	ENSMUSG00000078190	Dnm3os	1
chr5:5694060-5694060	ENSMUSG00000015653	Steap2	-1
chr2:164779741-164779741	ENSMUSG00000017300	Tnnc2	-1
chr19:4863558-4863558	ENSMUSG00000006457	Actn3	-1
chr7:126463108-126463108	ENSMUSG00000030730	Atp2a1	-1
chr15:78204237-78204237	ENSMUSG00000005716	Pvalb	-1
chr11:67238029-67238029	ENSMUSG00000057003	Myh4	1
chr7:142441808-142441808	ENSMUSG00000031097	Tnni2	1
chr14:65953744-65953744	ENSMUSG00000034463	Scara3	-1
chr6:122505845-122505845	ENSMUSG00000030116	Mfap5	1
chr14:123659971-123659971	ENSMUSG00000032925	Itgbl1	1
chr11:104550663-104550663	ENSMUSG00000061086	Myl4	1
chr9:103480420-103480420	ENSMUSG00000032556	Bfsp2	-1
chr13:89540636-89540636	ENSMUSG00000021613	Hapln1	1
chr11:51289920-51289920	ENSMUSG00000063564	Col23a1	1
