tss_loc	ensg	name	strand
chr9:21927471-21927471	ENSMUSG00000006241	Ccdc159	1
chrX:54531208-54531208	ENSMUSG00000096468	Gm16405	1
chrX:54622211-54622211	ENSMUSG00000094714	Gm16430	1
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr4:138724792-138724792	ENSMUSG00000028750	Pla2g2c	1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr17:56875477-56875477	ENSMUSG00000024209	1700061G19Rik	1
chr8:25597487-25597487	ENSMUSG00000037363	Letm2	-1
chr6:30509849-30509849	ENSMUSG00000029784	Ssmem1	1
chr7:28291186-28291186	ENSMUSG00000046750	BC089491	-1
chrY:818649-818649	ENSMUSG00000069053	Uba1y	1
chr12:110682619-110682619	ENSMUSG00000056508	1700001K19Rik	-1
chr6:28427789-28427789	ENSMUSG00000029707	Fscn3	1
chr2:26294557-26294557	ENSMUSG00000048038	4932418E24Rik	-1
chr7:4532453-4532453	ENSMUSG00000055809	Dnaaf3	-1
chr17:45523434-45523434	ENSMUSG00000023949	Tcte1	1
chr16:38902316-38902316	ENSMUSG00000022790	Igsf11	1
chr17:50293599-50293599	ENSMUSG00000010592	Dazl	-1
chr15:85131957-85131957	ENSMUSG00000022432	Smc1b	-1
chr6:125286042-125286042	ENSMUSG00000067702	Tuba3a	-1
chr17:14934653-14934653	ENSMUSG00000046991	Wdr27	-1
chr17:43630299-43630299	ENSMUSG00000040140	Tdrd6	-1
chr6:96166243-96166243	ENSMUSG00000072878	1700123L14Rik	-1
chr11:116454347-116454347	ENSMUSG00000070331	Qrich2	-1
chr15:74634849-74634849	ENSMUSG00000022603	Mroh4	-1
chr9:111057270-111057270	ENSMUSG00000043953	Ccrl2	-1
chr5:92348882-92348882	ENSMUSG00000034855	Cxcl10	-1
chr6:124779727-124779727	ENSMUSG00000030125	Lrrc23	-1
chr11:114727408-114727408	ENSMUSG00000034706	Dnaic2	1
chr7:89903618-89903618	ENSMUSG00000039391	Ccdc81	-1
chr2:18699023-18699023	ENSMUSG00000037708	BC061194	1
chr14:32833962-32833962	ENSMUSG00000078127	Fam170b	1
chr4:56741443-56741443	ENSMUSG00000070980	Actl7b	-1
chr5:120589016-120589016	ENSMUSG00000029601	Iqcd	1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr10:93831555-93831555	ENSMUSG00000020020	Usp44	1
chr3:138186713-138186713	ENSMUSG00000012042	4930579F01Rik	-1
chr4:92147234-92147234	ENSMUSG00000028533	Izumo3	-1
chr4:94928843-94928843	ENSMUSG00000028575	Eqtn	-1
chr16:17147229-17147229	ENSMUSG00000022768	Ccdc116	-1
chr7:45418353-45418353	ENSMUSG00000038194	Lhb	1
chr5:149439706-149439706	ENSMUSG00000029660	Tex26	1
chr1:170308803-170308803	ENSMUSG00000042800	1700015E13Rik	1
chr12:113543908-113543908	ENSMUSG00000043945	Adam6a	1
chr11:105994675-105994675	ENSMUSG00000101605	Ace3	1
chr15:38219203-38219203	ENSMUSG00000061923	Odf1	1
chr7:30733068-30733068	ENSMUSG00000061099	Gapdhs	-1
chr11:76217608-76217608	ENSMUSG00000038057	Dbil5	1
chr8:83348471-83348471	ENSMUSG00000035057	Mgat4d	1
chr18:17035508-17035508	ENSMUSG00000087170	1700001G01Rik	1
chr6:138658444-138658444	ENSMUSG00000046717	Igbp1b	-1
chr3:40522912-40522912	ENSMUSG00000037884	1700017G19Rik	-1
chr17:71552061-71552061	ENSMUSG00000052525	Spdya	1
chr1:46066315-46066315	ENSMUSG00000041144	Dnah7b	1
chr1:177983423-177983423	ENSMUSG00000091476	Gm16432	1
chr13:21468509-21468509	ENSMUSG00000059395	Nkapl	-1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr6:52191753-52191753	ENSMUSG00000000942	Hoxa4	-1
chr13:62888282-62888282	ENSMUSG00000069805	Fbp1	-1
chr10:41303980-41303980	ENSMUSG00000091415	Ak9	1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr7:105640562-105640562	ENSMUSG00000030882	Dnhd1	1
chr11:52004265-52004265	ENSMUSG00000020389	Cdkl3	1
chr10:86655939-86655939	ENSMUSG00000090308	Gm5174	1
chr9:88719629-88719629	ENSMUSG00000074149	Gm10634	1
chr6:40519508-40519508	ENSMUSG00000029909	Prss37	-1
chr4:116173372-116173372	ENSMUSG00000078593	1700042G07Rik	1
chr4:101055263-101055263	ENSMUSG00000102578	RP23-336G7.4	-1
chr15:88954418-88954418	ENSMUSG00000022388	Ttll8	-1
chr7:24818795-24818795	ENSMUSG00000011350	Gm5893	1
chr15:98398419-98398419	ENSMUSG00000099353	1700031M16Rik	1
chr9:14500482-14500482	ENSMUSG00000053914	Kdm4d	-1
chr16:16829313-16829313	ENSMUSG00000022783	Spag6	-1
chr6:145614273-145614273	ENSMUSG00000054966	Lmntd1	-1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr8:105413502-105413502	ENSMUSG00000051648	Kctd19	-1
chr5:97457008-97457008	ENSMUSG00000050553	Gk2	-1
chr17:5418767-5418767	ENSMUSG00000101959	Ldhal6b	-1
chr8:24948804-24948804	ENSMUSG00000037437	Adam32	-1
chr3:154663859-154663859	ENSMUSG00000078161	BC007180	1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr8:40793273-40793273	ENSMUSG00000046282	Adam20	1
chr1:24964976-24964976	ENSMUSG00000100483	Gm28237	-1
chr17:34981788-34981788	ENSMUSG00000073415	Gm10501	-1
chrX:83487924-83487924	ENSMUSG00000035522	Tsga8	-1
chr4:133480132-133480132	ENSMUSG00000046694	Fam46b	1
chr11:72266602-72266602	ENSMUSG00000020805	Slc13a5	-1
chr17:36958592-36958592	ENSMUSG00000036214	Znrd1as	1
chr10:76562272-76562272	ENSMUSG00000009115	Spatc1l	1
chr6:30611010-30611010	ENSMUSG00000029788	Cpa5	1
chr8:13562461-13562461	ENSMUSG00000031452	1700029H14Rik	-1
chr14:32991382-32991382	ENSMUSG00000041673	Lrrc18	1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr3:88296999-88296999	ENSMUSG00000010538	Tsacc	-1
chr17:34644764-34644764	ENSMUSG00000033739	Fkbpl	1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr13:97034362-97034362	ENSMUSG00000052075	1700029F12Rik	-1
chr12:65225517-65225517	ENSMUSG00000035560	Wdr20rt	1
chr2:26934047-26934047	ENSMUSG00000049897	Stkld1	1
chr11:3895098-3895098	ENSMUSG00000020434	4921536K21Rik	-1
chr3:35932787-35932787	ENSMUSG00000103229	Dcun1d1	-1
chr4:118620777-118620777	ENSMUSG00000028730	Cfap57	-1
chr2:34913976-34913976	ENSMUSG00000026873	Phf19	-1
chr11:4948064-4948064	ENSMUSG00000020396	Nefh	-1
chr10:81393051-81393051	ENSMUSG00000078439	Smim24	1
chr5:121521695-121521695	ENSMUSG00000072647	Adam1a	-1
chr6:83762644-83762644	ENSMUSG00000014747	Ankrd53	1
chr12:83633833-83633833	ENSMUSG00000099708	Gm29361	-1
chr4:123323634-123323634	ENSMUSG00000076436	Oxct2a	-1
chr11:29825668-29825668	ENSMUSG00000078157	4931440F15Rik	-1
chr17:56300286-56300286	ENSMUSG00000073380	Arrdc5	-1
chr9:110844506-110844506	ENSMUSG00000049719	Prss46	1
chr12:87233556-87233556	ENSMUSG00000072919	Noxred1	-1
chrX:101263975-101263975	ENSMUSG00000090141	Gm614	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr6:18866318-18866318	ENSMUSG00000029517	Ankrd7	1
chr6:135247965-135247965	ENSMUSG00000030206	Gsg1	-1
chr1:37865079-37865079	ENSMUSG00000060771	Tsga10	-1
chr5:71548205-71548205	ENSMUSG00000049387	Cox7b2	-1
chr5:145042990-145042990	ENSMUSG00000029620	1700018F24Rik	1
chr14:66077733-66077733	ENSMUSG00000022039	Adam2	-1
chr4:49682024-49682024	ENSMUSG00000028310	Ppp3r2	-1
chr17:33139683-33139683	ENSMUSG00000048602	Morc2b	-1
chr17:9669704-9669704	ENSMUSG00000046173	Pabpc6	-1
chr17:7324646-7324646	ENSMUSG00000071322	Tcp10a	1
chr5:123252102-123252102	ENSMUSG00000029442	Wdr66	1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr7:40987555-40987555	ENSMUSG00000091692	4930433I11Rik	1
chr8:83389867-83389867	ENSMUSG00000002190	Clgn	1
chr1:129273302-129273302	ENSMUSG00000042581	Thsd7b	1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr13:50643232-50643232	ENSMUSG00000096641	Gm904	1
chr4:41942092-41942092	ENSMUSG00000085730	Gm13307	-1
chr12:86734383-86734383	ENSMUSG00000059114	Lrrc74a	1
chr9:6266547-6266547	ENSMUSG00000047619	Ddi1	-1
chr3:17948444-17948444	ENSMUSG00000027564	Cypt12	1
chr2:173578365-173578365	ENSMUSG00000027517	Ankrd60	-1
chr7:19054690-19054690	ENSMUSG00000040866	Rsph6a	1
chr9:24696293-24696293	ENSMUSG00000085576	Dpy19l2	-1
chr10:76961788-76961788	ENSMUSG00000001120	Pcbp3	-1
chr4:25800146-25800146	ENSMUSG00000055373	Fut9	-1
chr4:103290863-103290863	ENSMUSG00000028520	4921539E11Rik	-1
chr12:10370044-10370044	ENSMUSG00000020622	Nt5c1b	1
chr9:106544689-106544689	ENSMUSG00000023577	Iqcf3	-1
chr1:172258414-172258414	ENSMUSG00000007107	Atp1a4	-1
chr17:36058371-36058371	ENSMUSG00000079492	Gm11127	-1
chr10:23349887-23349887	ENSMUSG00000010461	Eya4	-1
chr5:48372392-48372392	ENSMUSG00000029089	Pacrgl	1
chr12:98628157-98628157	ENSMUSG00000021007	Spata7	1
chr7:41284327-41284327	ENSMUSG00000072259	Gm5592	1
chr13:24905593-24905593	ENSMUSG00000086796	4932702P03Rik	1
chr1:91406029-91406029	ENSMUSG00000100253	1700020N18Rik	-1
chr11:103208548-103208548	ENSMUSG00000020940	1700023F06Rik	-1
chr16:4835416-4835416	ENSMUSG00000022518	4930562C15Rik	1
chr5:77016023-77016023	ENSMUSG00000029248	1700023E05Rik	1
chr17:26973217-26973217	ENSMUSG00000048731	Ggnbp1	1
chr11:120348678-120348678	ENSMUSG00000043644	0610009L18Rik	1
chr18:74283090-74283090	ENSMUSG00000035394	Cfap53	1
chr10:87058045-87058045	ENSMUSG00000047129	1700113H08Rik	1
chr10:112163621-112163621	ENSMUSG00000035694	Caps2	1
chr1:128774421-128774421	ENSMUSG00000097283	Gm26686	-1
chr11:11627824-11627824	ENSMUSG00000062511	4930512M02Rik	-1
chr12:31073968-31073968	ENSMUSG00000036136	Fam110c	1
chr14:55618037-55618037	ENSMUSG00000002324	Rec8	1
chr3:87748623-87748623	ENSMUSG00000023084	Lrrc71	-1
chr7:127604445-127604445	ENSMUSG00000099579	1700120K04Rik	-1
chr8:3470862-3470862	ENSMUSG00000040340	1700019B03Rik	1
chr4:47996456-47996456	ENSMUSG00000085660	Gm12434	1
chr19:11130876-11130876	ENSMUSG00000024729	1700017D01Rik	-1
chr7:125368861-125368861	ENSMUSG00000090457	4930571K23Rik	1
chr1:53187636-53187636	ENSMUSG00000060715	1700019A02Rik	-1
chr13:59712284-59712284	ENSMUSG00000091311	Spata31d1b	1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr15:89568326-89568326	ENSMUSG00000022622	Acr	1
chr8:70373548-70373548	ENSMUSG00000031849	Comp	1
chr5:120777661-120777661	ENSMUSG00000032661	Oas3	-1
chr6:91914759-91914759	ENSMUSG00000034063	4930590J08Rik	1
chr11:23519223-23519223	ENSMUSG00000020286	1700093K21Rik	-1
chr9:119190407-119190407	ENSMUSG00000070280	Slc22a14	-1
chr2:181698442-181698442	ENSMUSG00000045794	Lkaaear1	-1
chr7:90265432-90265432	ENSMUSG00000030617	Ccdc83	-1
chr5:146185304-146185304	ENSMUSG00000095040	1700001J03Rik	-1
