tss_loc	ensg	name	strand
chr11:110168196-110168196	ENSMUSG00000041797	Abca9	-1
chr11:59541568-59541568	ENSMUSG00000032691	Nlrp3	1
chr9:45079183-45079183	ENSMUSG00000048534	Amica1	1
chr6:129623864-129623864	ENSMUSG00000030149	Klrk1	-1
chr17:48247777-48247777	ENSMUSG00000041754	Trem3	1
chr19:11604849-11604849	ENSMUSG00000024679	Ms4a6d	-1
chr16:44765736-44765736	ENSMUSG00000022667	Cd200r1	1
chr11:114934386-114934386	ENSMUSG00000063193	Cd300lb	-1
chr7:104369884-104369884	ENSMUSG00000052749	Trim30b	-1
chr5:136966616-136966616	ENSMUSG00000001739	Cldn15	1
chr11:79530559-79530559	ENSMUSG00000070354	Gm21975	-1
chr17:35188439-35188439	ENSMUSG00000073412	Lst1	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr17:29318877-29318877	ENSMUSG00000024011	Pi16	1
chr13:47122720-47122720	ENSMUSG00000038068	Rnf144b	1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr6:137252299-137252299	ENSMUSG00000030223	Ptpro	1
chr17:81649607-81649607	ENSMUSG00000054640	Slc8a1	-1
chr17:55749984-55749984	ENSMUSG00000032915	Emr4	1
chr2:129371139-129371139	ENSMUSG00000027398	Il1b	-1
chr17:17883940-17883940	ENSMUSG00000045551	Fpr1	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr17:55952623-55952623	ENSMUSG00000003206	Ebi3	1
chr14:61309753-61309753	ENSMUSG00000043157	Arl11	1
chr13:100246323-100246323	ENSMUSG00000071203	Naip5	-1
chr8:72009626-72009626	ENSMUSG00000003484	Cyp4f18	-1
chr6:123289870-123289870	ENSMUSG00000030142	Clec4e	-1
chr14:103046977-103046977	ENSMUSG00000022126	Irg1	1
chr16:3718124-3718124	ENSMUSG00000022534	Mefv	-1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
chr12:112760655-112760655	ENSMUSG00000052160	Pld4	1
chr6:122602444-122602444	ENSMUSG00000040613	Apobec1	-1
chr9:109849456-109849456	ENSMUSG00000038357	Camp	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr17:48167257-48167257	ENSMUSG00000043939	A530064D06Rik	-1
chr7:3821812-3821812	ENSMUSG00000074419	Gm15448	-1
chr7:43351341-43351341	ENSMUSG00000039013	Siglecf	1
chr13:56178885-56178885	ENSMUSG00000049625	Tifab	-1
chr3:127789872-127789872	ENSMUSG00000046688	Tifa	1
chr4:126024550-126024550	ENSMUSG00000028859	Csf3r	1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr8:95017692-95017692	ENSMUSG00000060470	Gpr97	1
chr15:101128522-101128522	ENSMUSG00000000530	Acvrl1	1
chr2:24336853-24336853	ENSMUSG00000026981	Il1rn	1
chr5:137871758-137871758	ENSMUSG00000066682	Pilrb2	-1
chr5:137858049-137858049	ENSMUSG00000066684	Pilrb1	-1
chr13:100317674-100317674	ENSMUSG00000078942	Naip6	-1
chr3:15574985-15574985	ENSMUSG00000095028	Sirpb1b	-1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr6:125320659-125320659	ENSMUSG00000030340	Scnn1a	1
chr14:46760541-46760541	ENSMUSG00000037628	Cdkn3	1
