tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr17:56875477-56875477	ENSMUSG00000024209	1700061G19Rik	1
chrX:29151825-29151825	ENSMUSG00000097037	Gm26818	-1
chr13:23757620-23757620	ENSMUSG00000075029	4930558J22Rik	-1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr17:50293599-50293599	ENSMUSG00000010592	Dazl	-1
chr15:85131957-85131957	ENSMUSG00000022432	Smc1b	-1
chr6:125286042-125286042	ENSMUSG00000067702	Tuba3a	-1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr3:137624037-137624037	ENSMUSG00000046818	Ddit4l	1
chr4:101055263-101055263	ENSMUSG00000102578	RP23-336G7.4	-1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr6:34920163-34920163	ENSMUSG00000029848	Stra8	1
chr3:30699830-30699830	ENSMUSG00000074653	Lrrc31	-1
chr11:100356128-100356128	ENSMUSG00000006930	Hap1	-1
chr12:83633833-83633833	ENSMUSG00000099708	Gm29361	-1
chr9:108826320-108826320	ENSMUSG00000023473	Celsr3	1
chr4:91372034-91372034	ENSMUSG00000008489	Elavl2	-1
chr11:101464999-101464999	ENSMUSG00000001313	Rnd2	1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr10:76961788-76961788	ENSMUSG00000001120	Pcbp3	-1
chr4:25800146-25800146	ENSMUSG00000055373	Fut9	-1
chrX:8042943-8042943	ENSMUSG00000087193	Gm14820	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chrX:136993155-136993155	ENSMUSG00000031428	Zcchc18	1
chr4:101496648-101496648	ENSMUSG00000028528	Dnajc6	1
chr6:124462744-124462744	ENSMUSG00000008153	Clstn3	-1
chr11:6065545-6065545	ENSMUSG00000057897	Camk2b	-1
chr12:19387809-19387809	ENSMUSG00000093908	Gm5784	1
chr13:51203065-51203065	ENSMUSG00000091383	Hist1h2al	-1
chr10:112163621-112163621	ENSMUSG00000035694	Caps2	1
chr1:128774421-128774421	ENSMUSG00000097283	Gm26686	-1
chr19:10389090-10389090	ENSMUSG00000024743	Syt7	1
chr3:82358044-82358044	ENSMUSG00000033900	Map9	1
chrX:135839056-135839056	ENSMUSG00000072966	Gprasp2	1
chr12:109729764-109729764	ENSMUSG00000097391	Mirg	1
chr2:177578199-177578199	ENSMUSG00000078865	Gm14406	-1
chr4:127329161-127329161	ENSMUSG00000042367	Gjb3	-1
chr2:172549593-172549593	ENSMUSG00000028640	Tfap2c	1
chr1:72212307-72212307	ENSMUSG00000039395	Mreg	-1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr7:109010825-109010825	ENSMUSG00000031028	Tub	1
