tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr1:14755990-14755990	ENSMUSG00000025930	Msc	-1
chr15:84720083-84720083	ENSMUSG00000078954	Arhgap8	1
chr5:113735782-113735782	ENSMUSG00000053334	Ficd	1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr13:62888282-62888282	ENSMUSG00000069805	Fbp1	-1
chr10:41303980-41303980	ENSMUSG00000091415	Ak9	1
chr5:95456806-95456806	ENSMUSG00000070677	D5Ertd577e	1
chr14:26221856-26221856	ENSMUSG00000094817	Cphx3	1
chr5:52582320-52582320	ENSMUSG00000095078	Gm5866	1
chr17:35016579-35016579	ENSMUSG00000007030	Vwa7	1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr4:127354081-127354081	ENSMUSG00000046623	Gjb4	-1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr11:115861612-115861612	ENSMUSG00000034427	Myo15b	1
chr18:31931507-31931507	ENSMUSG00000024395	Lims2	1
chr11:72266602-72266602	ENSMUSG00000020805	Slc13a5	-1
chr17:36958592-36958592	ENSMUSG00000036214	Znrd1as	1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr11:46571536-46571536	ENSMUSG00000046974	BC053393	1
chr6:38124586-38124586	ENSMUSG00000038600	Atp6v0a4	-1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr3:88334504-88334504	ENSMUSG00000001420	Tmem79	-1
chr6:113471427-113471427	ENSMUSG00000030281	Il17rc	1
chr19:5560575-5560575	ENSMUSG00000024922	Ovol1	-1
chr11:46645006-46645006	ENSMUSG00000086909	Gm4926	-1
chr10:128000678-128000678	ENSMUSG00000025396	Hsd17b6	-1
chr11:46629261-46629261	ENSMUSG00000064010	Dppa1	-1
chr17:7385305-7385305	ENSMUSG00000056133	Gm9992	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr4:118620777-118620777	ENSMUSG00000028730	Cfap57	-1
chr9:44440868-44440868	ENSMUSG00000074397	Foxr1	-1
chr5:95775870-95775870	ENSMUSG00000072813	E330014E10Rik	1
chr11:94782703-94782703	ENSMUSG00000075610	Tmem92	-1
chr9:89092690-89092690	ENSMUSG00000079162	Trim43b	-1
chr5:95190874-95190874	ENSMUSG00000095996	Gm16513	1
chr2:87492418-87492418	ENSMUSG00000025839	Pramel7	-1
chr2:87508458-87508458	ENSMUSG00000025838	Pramel6	1
chr4:144059126-144059126	ENSMUSG00000073724	Pramel4	1
chr16:57292865-57292865	ENSMUSG00000022753	Tmem30c	-1
chr8:121544382-121544382	ENSMUSG00000097424	1700030M09Rik	1
chr1:37865079-37865079	ENSMUSG00000060771	Tsga10	-1
chr14:34355433-34355433	ENSMUSG00000043681	Fam25c	-1
chr7:140835018-140835018	ENSMUSG00000025481	Urah	1
chr4:138757626-138757626	ENSMUSG00000028749	Pla2g2f	-1
chr12:111284784-111284784	ENSMUSG00000097381	A230087F16Rik	1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
