tss_loc	ensg	name	strand
chr11:53457110-53457110	ENSMUSG00000072963	Gm10447	-1
chr19:7382537-7382537	ENSMUSG00000099923	1700105P06Rik	1
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr13:53473074-53473074	ENSMUSG00000021469	Msx2	-1
chr1:136119822-136119822	ENSMUSG00000102717	RP23-211F21.1	-1
chr16:17561247-17561247	ENSMUSG00000022759	Lrrc74b	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr17:85613608-85613608	ENSMUSG00000038805	Six3	1
chr17:85615348-85615348	ENSMUSG00000093460	Six3os1	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chr11:3530157-3530157	ENSMUSG00000087291	Gm11946	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr11:62761236-62761236	ENSMUSG00000086674	Zfp286os	1
chr1:46066315-46066315	ENSMUSG00000041144	Dnah7b	1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chrX:38252429-38252429	ENSMUSG00000036502	Tmem255a	-1
chr8:110940314-110940314	ENSMUSG00000097380	Gm26816	-1
chr9:46998931-46998931	ENSMUSG00000094893	Gm4791	1
chr1:89683908-89683908	ENSMUSG00000102009	4933400F21Rik	-1
chr4:137388382-137388382	ENSMUSG00000101493	2810405F17Rik	-1
chr1:119329200-119329200	ENSMUSG00000101179	Gm29455	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
